0.0,II,D# Major,0
6.0,V7,B Major,0.9281417007167895
7.0,V,B Major,0.7425133605734316
8.0,V,B Major,0.6961062755375921
9.0,V7,B Major,0.9822326436213703
10.0,V,B Major,0.7857861148970963
11.0,V,B Major,0.7366744827160278
12.0,I,B Major,0.592400186274215
13.0,I,B Major,0.8227780364919652
16.0,I,B Major,0.822778036491965
17.0,I,B Major,0.822778036491965
18.0,V7,B Major,0.9873336437903582
19.0,V,B Major,0.7898669150322866
20.0,V,B Major,0.7405002328427686
21.0,V7,B Major,0.9873336437903582
22.0,V,B Major,0.7898669150322866
23.0,V,B Major,0.7405002328427686
24.0,I,B Major,0.592400186274215
25.0,I,B Major,0.9873336437903582
28.0,DimVII7,g# Minor,0.9007535407752909
29.0,VI,B Major,0.9787593485184183
31.0,I,B Major,0.5779527978987702
32.0,VI,B Major,0.9632546631646168
33.0,III,B Major,0.9724959927446944
34.0,V,B Major,0.7779967941957556
35.0,III,B Major,0.9724959927446944
36.0,IV,B Major,0.8404437137698633
38.0,VI,B Major,0.653678444043227
39.0,I,B Major,0.8170980550540337
40.0,III,B Major,0.8170980550540337
41.0,VI,B Major,0.8170980550540337
42.0,V7,B Major,0.9805176660648405
43.0,V,B Major,0.7844141328518724
44.0,V,B Major,0.7353882495486304
45.0,V7,B Major,0.9805176660648405
46.0,V,B Major,0.7844141328518724
47.0,V,B Major,0.7353882495486304
48.0,I,B Major,0.5951464431780449
49.0,I,B Major,0.9919107386300746
51.0,I,B Major,0.661273825753383
52.0,I,B Major,0.661273825753383
53.0,I,B Major,0.661273825753383
54.0,V7,B Major,0.9900739697941611
55.0,V,B Major,0.7920591758353289
56.0,V,B Major,0.7425554773456208
57.0,V7,B Major,0.9850630987684629
58.0,V,B Major,0.6156644367302893
60.0,I,B Major,0.6555193426023878
64.0,III,B Major,0.6986100821928442
67.0,V+,g# Minor,0.7179503851665218
68.0,V+,g# Minor,0.7852582337758831
69.0,VI,B Major,0.8156193478601219
70.0,VI,B Major,0.5825852484715156
71.0,V7,B Major,0.8156193478601219
72.0,I,B Major,0.9289759890936076
