0.0,I,f Minor,0.7666666666666666
1.0,IV+,f Minor,0.5
2.0,III,f Minor,0.4583333333333333
3.0,I+,f Minor,1.0
4.0,IV,f Minor,0.42857142857142855
5.0,III,f Minor,0.5
6.0,I,f Minor,0.775
7.0,IV,f Minor,0.42857142857142855
8.0,I,f Minor,0.725
9.0,I+,f Minor,0.875
10.0,I,f Minor,0.775
11.0,IIdim,f Minor,0.6666666666666666
12.0,I,f Minor,0.7666666666666666
13.0,IV+,f Minor,0.5
14.0,III,f Minor,0.4583333333333333
15.0,I+,f Minor,1.0
16.0,IV,f Minor,0.42857142857142855
17.0,III,f Minor,0.875
18.0,IV+,f Minor,0.5178571428571429
19.0,I+,f Minor,0.5416666666666666
20.0,IIdim,f Minor,0.75
21.0,I,f Minor,0.625
22.0,GerVI,f Minor,0.6607142857142857
23.0,GerVI,f Minor,0.5151515151515152
25.0,IV+,f Minor,0.5
26.0,III,f Minor,0.4583333333333333
27.0,I+,f Minor,1.0
28.0,IV,f Minor,0.42857142857142855
29.0,III,f Minor,0.5
30.0,I,f Minor,0.775
31.0,IV,f Minor,0.42857142857142855
32.0,I,f Minor,0.725
33.0,I+,f Minor,0.875
34.0,I,f Minor,0.775
35.0,IIdim,f Minor,0.6666666666666666
36.0,I,f Minor,0.7666666666666666
37.0,IV+,f Minor,0.5
38.0,III,f Minor,0.4583333333333333
39.0,I+,f Minor,1.0
40.0,IV,f Minor,0.42857142857142855
41.0,III,f Minor,0.875
42.0,IV+,f Minor,0.5178571428571429
43.0,I+,f Minor,0.5416666666666666
44.0,IIdim,f Minor,0.75
45.0,I,f Minor,0.775
48.0,I,f Minor,0.75
49.0,IV+,f Minor,0.43181818181818177
51.0,VII,f Minor,0.875
52.0,III,f Minor,0.4358974358974359
54.0,VI,f Minor,0.75
55.0,VI,f Minor,0.5625
56.0,VI,f Minor,0.75
57.0,V,D- Major,0.7499999999999999
60.0,II,D- Major,0.875
61.0,II,D- Major,0.6136363636363635
63.0,I,D- Major,0.37
65.0,II7,D- Major,0.675
69.0,II,C- Major,0.375
71.0,II,C- Major,0.75
72.0,II,C- Major,0.8999999999999999
73.0,III,C- Major,0.4205128205128205
75.0,I+,g Minor,0.875
76.0,IV+,g Minor,0.40740740740740744
78.0,III,B-- Major,0.35294117647058826
80.0,III,B-- Major,0.35294117647058826
82.0,III,G- Major,0.8888888888888888
84.0,I,f Minor,0.4583333333333333
85.0,V+,f Minor,0.44642857142857145
87.0,I,f Minor,0.5
88.0,III,f Minor,0.45
89.0,V+7,f Minor,0.36
91.0,IV+,f Minor,0.5119047619047619
92.0,V+,f Minor,0.7833333333333333
93.0,I,f Minor,0.46875
94.0,IV+,f Minor,0.5178571428571429
95.0,V+,f Minor,0.775
96.0,I,f Minor,0.7
97.0,III,f Minor,0.43846153846153846
98.0,IIdim,f Minor,0.625
501/5,I,f Minor,0.5
506/5,III,f Minor,0.45
511/5,V+,f Minor,0.5833333333333334
516/5,I,f Minor,0.41527777777777775
521/5,I,f Minor,0.475
526/5,V+,f Minor,0.7833333333333333
531/5,I+,f Minor,0.75
536/5,I+,f Minor,0.625
541/5,V+7,f Minor,0.5525
546/5,III,f Minor,0.85
556/5,I,f Minor,0.7666666666666666
561/5,IV+,f Minor,0.5
566/5,III,f Minor,0.4583333333333333
571/5,I+,f Minor,1.0
576/5,IV,f Minor,0.39215686274509803
581/5,III,f Minor,0.5
586/5,I,f Minor,0.775
591/5,IV,f Minor,0.39215686274509803
596/5,I,f Minor,0.725
601/5,I+,f Minor,0.875
606/5,I,f Minor,0.775
611/5,IIdim,f Minor,0.6666666666666666
616/5,I,f Minor,0.7666666666666666
621/5,IV+,f Minor,0.5
626/5,III,f Minor,0.4583333333333333
631/5,I+,f Minor,1.0
636/5,IV,f Minor,0.39215686274509803
641/5,III,f Minor,0.875
646/5,IV+,f Minor,0.5178571428571429
651/5,I+,f Minor,0.5416666666666666
656/5,IIdim,f Minor,0.75
661/5,I,f Minor,0.625
666/5,GerVI,f Minor,0.6607142857142857
671/5,GerVI,f Minor,0.8333333333333333
676/5,I,f Minor,0.775
681/5,IIdim7,f Minor,0.3561253561253562
691/5,I+,f Minor,1.0
696/5,IIdim7,f Minor,0.3594771241830066
706/5,I,f Minor,0.7833333333333333
711/5,I,f Minor,0.47549019607843135
721/5,I+,f Minor,0.9166666666666667
726/5,I,f Minor,0.7833333333333333
731/5,IIdim,f Minor,0.6666666666666667
736/5,I,F Major,0.75
741/5,I,F Major,0.33653846153846156
751/5,I,c Minor,0.4444444444444445
766/5,DimVII,c Minor,0.65625
771/5,IV+,c Minor,0.525
776/5,DimVII,c Minor,0.5416666666666667
786/5,III,D- Major,0.41666666666666663
791/5,III,D- Major,0.8333333333333333
796/5,I,D- Major,0.41391941391941395
806/5,I,D- Major,0.45833333333333326
