0.0,I,e Minor,33/56
7.0,I+,e Minor,1/2
8.0,V+7,e Minor,17/27
9.0,V+,e Minor,19/36
10.0,V+,e Minor,7/12
11.0,I+,e Minor,0.7500000000000001
12.0,DimVII,e Minor,7/12
13.0,V+,e Minor,3/4
14.0,IV,e Minor,5/12
15.0,IIdim7,e Minor,11/27
16.0,I+,b Minor,3/4
17.0,DimVII,b Minor,2/3
18.0,I+,b Minor,3/4
20.0,VI,b Minor,3/4
21.0,GerVI,b Minor,50/99
22.0,I+,b Minor,7/9
23.0,V+7,b Minor,55/81
24.0,I,b Minor,23/36
26.0,I,b Minor,2/3
28.0,I+,b Minor,11/18
29.0,IIdim7,b Minor,56/117
30.0,V+7,b Minor,29/45
32.0,I+,b Minor,1
33.0,IV,b Minor,5/14
35.0,I+,b Minor,7/8
36.0,I,e Minor,3/5
39.0,I+,e Minor,1/2
40.0,V+7,e Minor,52/81
41.0,V+,e Minor,14/27
42.0,V+7,e Minor,7/18
43.0,IIdim7,e Minor,10/27
44.0,DimVII,e Minor,5/9
45.0,IIdim,e Minor,47/108
46.0,I,e Minor,38/81
47.0,IIdim7,e Minor,7/18
48.0,V+,e Minor,11/15
49.0,I,e Minor,28/45
50.0,V,e Minor,57/104
53.0,III,e Minor,5/8
54.0,V,e Minor,17/36
55.0,VI,e Minor,3/4
56.0,V7,C Major,43/90
57.0,V7,C Major,0.3946666666666666
58.0,I,C Major,3/4
60.0,IV+,e Minor,7/12
61.0,IV+,e Minor,19/36
62.0,VII,e Minor,11/18
64.0,V+7,e Minor,67/108
65.0,IIdim,e Minor,19/36
66.0,I,e Minor,29/55
68.0,V,e Minor,23/36
70.0,V,e Minor,23/45
72.0,V+7,e Minor,47/81
73.0,V+7,e Minor,22/45
74.0,I,e Minor,13/21
76.0,V+7,b Minor,55/117
77.0,V+7,b Minor,47/90
78.0,I,b Minor,20/33
80.0,I+,b Minor,1/2
81.0,V,b Minor,35/81
82.0,V+,b Minor,29/45
83.0,DimVII,b Minor,11/18
84.0,I,B Major,1087/1935
89.0,I,B Major,0.7619047619047619
90.0,I,B Major,4/9
91.0,VI,B Major,0.29047619047619044
92.0,II7,B Major,27/44
95.0,IV,B Major,8/27
96.0,DimVII,B Major,1/2
97.0,DimVII,B Major,17/42
98.0,I,B Major,55/144
99.0,DimVII7,B Major,11/21
100.0,IV,B Major,5/9
101.0,I,B Major,269/450
106.0,I,B Major,23/60
107.0,I,B Major,13/24
108.0,II7,B Major,31/48
112.0,DimVII,B Major,17/36
113.0,V7,B Major,3/8
114.0,III,B Major,17/48
115.0,DimVII7,B Major,11/21
116.0,IV,B Major,11/24
117.0,I,B Major,7/16
118.0,III,B Major,2/3
119.0,bII,B Major,4/7
123.0,ItaVI,e Minor,0.6100000000000001
124.0,V+7,e Minor,17/27
125.0,V+,e Minor,19/36
126.0,V+,e Minor,7/12
127.0,V+7,e Minor,121/325
128.0,DimVII,e Minor,7/12
129.0,V+,e Minor,2/3
130.0,I,e Minor,23/30
131.0,V+,e Minor,67/182
132.0,I+,b Minor,11/14
133.0,DimVII7,b Minor,0.49587912087912084
134.0,I+,b Minor,113/180
136.0,VI,b Minor,3/4
137.0,III,b Minor,2/5
138.0,I,b Minor,23/30
139.0,V+7,b Minor,1679/4446
140.0,I,b Minor,9/14
142.0,I,b Minor,2/3
143.0,DimVII,b Minor,893/2426
144.0,I,b Minor,2921/5880
145.0,IIdim7,b Minor,1357/3352
146.0,V+7,b Minor,4591/8335
147.0,V+7,b Minor,2153/7225
148.0,I+,b Minor,1
35761/240,IV,e Minor,73/196
36241/240,V+,e Minor,7/8
36481/240,I,e Minor,3/5
37201/240,I+,e Minor,1/2
37441/240,V+7,e Minor,52/81
37681/240,V+,e Minor,14/27
37921/240,V+,e Minor,2/5
38161/240,IV,e Minor,5/12
38401/240,DimVII,e Minor,5/9
38641/240,IIdim,e Minor,7/16
38881/240,I,e Minor,38/81
39121/240,IIdim7,e Minor,7/18
39361/240,V+,e Minor,11/15
39601/240,I,e Minor,28/45
39841/240,V+,e Minor,32/45
40321/240,V+7,e Minor,85/156
40561/240,DimVII7,e Minor,71/132
40801/240,V+7,e Minor,11/18
41041/240,V+7,e Minor,7/12
41281/240,I,e Minor,2/3
41761/240,I,e Minor,3/5
42481/240,I,e Minor,0.4744318181818182
42721/240,IV+,e Minor,10/21
42961/240,V+7,e Minor,76/135
43201/240,I+,e Minor,1141/2133
44641/240,I,E Major,4/9
44881/240,VI,E Major,0.29047619047619044
45121/240,II7,E Major,27/44
45841/240,IV,E Major,8/27
46081/240,bVI,E Major,1/2
46321/240,DimVII,E Major,17/42
46561/240,I,E Major,55/144
46801/240,DimVII7,E Major,11/21
47041/240,IV,E Major,5/9
47281/240,I,E Major,491/815
48481/240,I,E Major,13/30
48721/240,I,E Major,0.41666666666666674
48961/240,I,A Major,247/441
49921/240,DimVII,E Major,17/36
50161/240,V7,E Major,3/8
50401/240,III,E Major,17/48
50641/240,DimVII7,E Major,11/21
50881/240,I,E Major,151/270
51841/240,DimVII7,E Major,15/28
52081/240,DimVII,E Major,19/30
52321/240,DimVII7,E Major,15/28
52561/240,DimVII,E Major,19/30
52801/240,I,E Major,0.5568888888888889
