offset,key
0.0,F Major
4.25,F Major
6.25,F Major
8.25,F Major
9.25,F Major
10.25,F Major
12.25,F Major
14.25,F Major
15.25,F Major
16.25,F Major
17.25,F Major
18.25,F Major
19.25,F Major
20.25,C Major
22.25,C Major
23.25,C Major
24.25,C Major
25.25,C Major
26.25,C Major
27.25,C Major
28.25,C Major
29.25,C Major
30.25,C Major
32.25,C Major
33.25,C Major
34.25,C Major
36.25,C Major
37.25,C Major
38.25,C Major
39.25,C Major
40.25,F Major
41.25,F Major
42.25,F Major
44.25,F Major
45.25,F Major
46.25,F Major
