offset,key
0.0,c Minor
4.0,c Minor
11.0,c Minor
12.0,c Minor
16.0,c Minor
20.0,c Minor
21.0,c Minor
22.0,c Minor
23.0,c Minor
24.0,c Minor
27.0,c Minor
30.25,c Minor
31.25,c Minor
32.25,c Minor
33.25,c Minor
34.25,c Minor
38.25,c Minor
46.25,C Major
50.25,D- Major
54.25,C Major
58.25,C Major
64.25,C Major
65.25,C Major
66.25,C Major
72.25,C Major
73.25,C Major
74.25,C Major
81.25,C Major
86.25,A- Major
90.25,A- Major
96.25,A- Major
97.25,A- Major
98.25,A- Major
104.25,A- Major
105.25,A- Major
106.25,A- Major
113.25,A- Major
118.25,D- Major
120.25,D- Major
122.25,c Minor
126.25,c Minor
130.25,f Minor
132.25,f Minor
134.25,G Major
142.25,f Minor
