offset,key
0.0,G- Major
1.0,G- Major
2.0,G- Major
3.0,G- Major
4.0,G- Major
5.0,G- Major
6.0,G- Major
7.0,G- Major
8.0,G- Major
9.0,G- Major
10.0,G- Major
11.0,G- Major
12.0,G- Major
13.0,G- Major
14.0,D- Major
15.0,D- Major
16.0,D- Major
17.0,D- Major
18.0,D- Major
19.0,D- Major
20.0,D- Major
21.0,D- Major
22.0,D- Major
23.0,D- Major
24.0,D- Major
25.0,D- Major
26.0,D- Major
27.0,D- Major
28.0,D- Major
29.0,D- Major
30.0,D- Major
31.0,D- Major
32.0,G- Major
33.0,G- Major
34.0,g- Minor
35.0,g- Minor
36.0,G- Major
37.0,G- Major
38.0,D- Major
39.0,D- Major
40.0,g- Minor
41.0,g- Minor
42.0,g- Minor
43.0,g- Minor
44.0,G- Major
45.0,G- Major
46.0,G- Major
47.0,G- Major
48.0,G- Major
49.0,G- Major
50.0,G- Major
51.0,G- Major
52.0,G- Major
53.0,G- Major
54.0,G- Major
55.0,G- Major
56.0,G- Major
57.0,G- Major
58.0,a- Minor
59.0,a- Minor
60.0,a- Minor
61.0,a- Minor
62.0,a- Minor
63.0,a- Minor
64.0,G- Major
65.0,G- Major
66.0,G- Major
67.0,G- Major
68.0,G- Major
69.0,G- Major
70.0,G- Major
71.0,G- Major
72.0,G- Major
73.0,G- Major
74.0,G- Major
75.0,G- Major
76.0,G- Major
77.0,G- Major
78.0,G- Major
79.0,G- Major
80.0,G- Major
81.0,G- Major
82.0,G- Major
83.0,G- Major
84.0,G- Major
85.0,G- Major
86.0,G- Major
87.0,G- Major
88.0,G- Major
89.0,G- Major
90.0,G- Major
91.0,G- Major
92.0,G- Major
93.0,G- Major
94.0,G- Major
95.0,G- Major
96.0,G- Major
99.0,G- Major
100.0,G- Major
