chord,measure,beat,totbeat,op,no,mov,length,global_key,is_major,unified_chord,Case
#vii%7/V,72,3,216,18,1,3,1,FALSE,TRUE,?,TRUE
#viio6/ii,237,1,709,18,1,1,3,FALSE,TRUE,?,TRUE
#i,65,2,194,95,11,3,2,FALSE,FALSE,?,TRUE
#viio6,95,4,427,18,1,2,1.5,d,TRUE,?,TRUE
#viio6,100,1,446.5,18,1,2,4.5,d,TRUE,?,TRUE
#viio6/V,218,2.5,436.5,18,1,4,0.5,FALSE,TRUE,?,TRUE
#viio/V,372,2.5,744.5,18,1,4,0.5,FALSE,TRUE,?,TRUE
#viio6,1,4,4,18,1,2,1.5,d,TRUE,?,TRUE
#viio6,7,4.5,31.5,18,1,2,0.5,d,TRUE,?,TRUE
#viio/V,9,5,41,18,1,2,0.5,d,TRUE,?,TRUE
#viio/V,10,5,45.5,18,1,2,0.5,d,TRUE,?,TRUE
#viio7(6)/vi,14,1,40,18,1,1,2,FALSE,TRUE,?,TRUE
#viio7/vi,14,3,42,18,1,1,4,FALSE,TRUE,?,TRUE
#iio,179,1,527,127,12,3,6,Eb,FALSE,?,TRUE
#iio,213,1,629,127,12,3,6,Eb,FALSE,?,TRUE
#iio6,266,3,1034,59,9,1,1,C,FALSE,?,TRUE
#iio7,249,1,737,127,12,3,6,Eb,TRUE,#IIdim7,FALSE
#iio7,257,1,761,127,12,3,6,Eb,TRUE,#IIdim7,FALSE
#iio2],295,1,1181,131,14,5,2,E,TRUE,#IIdim7,FALSE
#iio7,221,2,882,132,15,1,0.75,a,TRUE,#IIdim7,FALSE
#iio7,3,2,6,18,3,2,0.5,Bb,TRUE,#IIdim7,FALSE
#iio7,49,2,98,18,3,2,0.5,Bb,TRUE,#IIdim7,FALSE
#iio7,112,2,224,18,3,2,0.5,Bb,TRUE,#IIdim7,FALSE
#iio43,116,2,232,18,3,2,0.5,Bb,TRUE,#IIdim7,FALSE
#iio7,337,2.5,1008.5,18,3,4,1.5,D,TRUE,#IIdim7,FALSE
#iio43,38,3.5,113,18,6,3,1,Bb,TRUE,#IIdim7,FALSE
#iio43,40,3.5,119,18,6,3,1,Bb,TRUE,#IIdim7,FALSE
#iio43,41,2.5,121,18,6,3,1,Bb,TRUE,#IIdim7,FALSE
#iio43,42,1.5,123,18,6,3,1,Bb,TRUE,#IIdim7,FALSE
#iio43,42,3.5,125,18,6,3,1,Bb,TRUE,#IIdim7,FALSE
#iio43,74,2,148,18,3,2,0.5,Bb,FALSE,#IIdim7,FALSE
#iio2,78,2,156,18,3,2,0.5,Bb,FALSE,#IIdim7,FALSE
#viio7(4)/ii,16,1,46,18,1,1,2,FALSE,TRUE,?,TRUE
#viio7/ii,16,3,48,18,1,1,4,FALSE,TRUE,?,TRUE
#viio7(b4)/V,22,1,64,18,1,1,2,FALSE,TRUE,?,TRUE
#viio7/V,22,3,66,18,1,1,4,FALSE,TRUE,?,TRUE
#viio7/V,70,3,210,18,1,1,1,FALSE,TRUE,?,TRUE
#viio65/ii,76,1,226,18,1,1,3,FALSE,TRUE,?,TRUE
#viio7/V,99,1,295,18,1,1,2,FALSE,TRUE,?,TRUE
#viio7/V,231,3,693,18,1,1,1,FALSE,TRUE,?,TRUE
#io6(7),196,1,781,59,7,1,2,FALSE,FALSE,?,TRUE
#io6,196,3,783,59,7,1,2,FALSE,FALSE,?,TRUE
#io6,266,1,1032,59,9,1,1,C,FALSE,?,TRUE
#viio65/ii,238,1,712,18,1,1,3,FALSE,TRUE,?,TRUE
#viio7/V,260,1,778,18,1,1,2,FALSE,TRUE,?,TRUE
#viio7/vi,293,3,879,18,1,1,1,FALSE,TRUE,?,TRUE
#viio65/vi,295,1,883,18,1,1,3,FALSE,TRUE,?,TRUE
#viio7/ii,296,1,886,18,1,1,3,FALSE,TRUE,?,TRUE
#viio7/V,299,1,895,18,1,1,3,FALSE,TRUE,?,TRUE
#viio7/V,59,1,262,18,1,2,4.5,d,TRUE,?,TRUE
#viio65(2),67,1,298,18,1,2,1.5,d,TRUE,?,TRUE
#viio65,67,2.5,299.5,18,1,2,7.5,d,TRUE,?,TRUE
#viio7/V,70,4,314.5,18,1,2,1.5,d,TRUE,?,TRUE
#viio7/V,71,5,320,18,1,2,0.5,d,TRUE,?,TRUE
#io7,194,1,773,59,7,1,2,FALSE,FALSE,?,TRUE
#io65,194,3,775,59,7,1,2,FALSE,FALSE,?,TRUE
#io43,196,2,294.5,59,7,2,0.5,Bb,FALSE,?,TRUE
#viio7/V,72,5,324.5,18,1,2,0.5,d,TRUE,?,TRUE
#viio65,99,2.5,443.5,18,1,2,3,d,TRUE,?,TRUE
#io7,210,0.125,807.125,59,9,1,4.875,C,FALSE,?,TRUE
#io7,212,0.125,815.125,59,9,1,4.875,C,FALSE,?,TRUE
#viio65/iv,103,1,460,18,1,2,4.5,d,TRUE,?,TRUE
#viio7/V,105,1,469,18,1,2,3,d,TRUE,?,TRUE
#viio7/V,37,3,111,18,1,3,1,FALSE,TRUE,?,TRUE
#viio7/vi,39,3,117,18,1,3,1,FALSE,TRUE,?,TRUE
#viio65/ii,57,1,169,18,1,3,3,FALSE,TRUE,?,TRUE
#viio65/ii,61,1,181,18,1,3,3,FALSE,TRUE,?,TRUE
#viio7/V,64,3,192,18,1,3,1,FALSE,TRUE,?,TRUE
#viio43/ii,70,2,209,18,1,3,1,FALSE,TRUE,?,TRUE
#iv%43,64,4,256,59,8,2,1,E,FALSE,?,TRUE
#viio65/ii,71,1,211,18,1,3,1,FALSE,TRUE,?,TRUE
#ivo6,147,3,587,127,12,4,2,Eb,TRUE,#IVdim,FALSE
#ivo6,220,4.5,880.5,132,15,1,1.25,a,TRUE,#IVdim,FALSE
#ivo,110,2,329,132,15,2,1,A,TRUE,#IVdim,FALSE
#ivo64,256,2.5,765.5,18,3,4,1.5,D,TRUE,#IVdim,FALSE
#ivo6(2),317,2.5,948.5,18,3,4,1,D,TRUE,#IVdim,FALSE
#ivo6,317,3.5,949.5,18,3,4,0.5,D,TRUE,#IVdim,FALSE
#ivo6,39,2.5,115,18,6,3,-2.5,Bb,TRUE,#IVdim,FALSE
#ivo,39,0,112.5,18,6,3,4,Bb,TRUE,#IVdim,FALSE
#ivo,40,1,116.5,18,6,3,-2,Bb,TRUE,#IVdim,FALSE
#ivo,40,-0.5,115,18,6,3,4,Bb,TRUE,#IVdim,FALSE
#ivo,107,1.5,213.5,95,11,2,0.5,D,TRUE,#IVdim,FALSE
#viio7/ii,71,3,213,18,1,3,1,FALSE,TRUE,?,TRUE
#viio43/V,78,3,234,18,1,3,1,FALSE,TRUE,?,TRUE
#viio43,80,3,240,18,1,3,1,FALSE,TRUE,?,TRUE
#viio7/ii,15,2.5,30.5,18,1,4,0.5,FALSE,TRUE,?,TRUE
#viio7/vi,16,1.5,31.5,18,1,4,0.5,FALSE,TRUE,?,TRUE
#viio65/ii,103,1,205,18,1,4,2,FALSE,TRUE,?,TRUE
#viio7/ii,249,2.5,498.5,18,1,4,0.5,FALSE,TRUE,?,TRUE
#viio7/vi,250,1.5,499.5,18,1,4,0.5,FALSE,TRUE,?,TRUE
#viio65/V,330,1,659,18,1,4,1,FALSE,TRUE,?,TRUE
#viio7/V,330,2,660,18,1,4,1,FALSE,TRUE,?,TRUE
#viio7/vi,332,1,663,18,1,4,8,FALSE,TRUE,?,TRUE
#viio7/ii,336,1,671,18,1,4,4,FALSE,TRUE,?,TRUE
#viio7/V,338,1,675,18,1,4,8,FALSE,TRUE,?,TRUE
#viio65(2),5,1,19,18,1,2,1.5,d,TRUE,?,TRUE
#ivo7(+9),127,-0.9375,474.063,59,9,1,1,C,FALSE,#IVdim,FALSE
#ivo7],62,1,123,95,11,2,1.5,D,FALSE,#IVdim,FALSE
#ivo2,67,2,134,95,11,2,1,D,FALSE,#IVdim,FALSE
#ivo2,71,2,142,95,11,2,1,D,FALSE,#IVdim,FALSE
#viio65,5,2.5,20.5,18,1,2,7.5,d,TRUE,?,TRUE
#viio7/V,19,4,85,18,1,2,1.5,d,TRUE,?,TRUE
#vi6,52,3,150,127,12,1,0.5,Eb,FALSE,?,TRUE
#viio7/iv,85,2.5,380.5,18,1,2,3,d,TRUE,?,TRUE
#vi%2,18,1,52,95,11,3,1,FALSE,FALSE,?,TRUE
#vi%43,24,1.75,70.75,95,11,3,0.25,FALSE,FALSE,?,TRUE
#vi%2,121,1,361,95,11,3,1,FALSE,FALSE,?,TRUE
#vi%43,127,1.75,379.75,95,11,3,0.25,FALSE,FALSE,?,TRUE
#vi%2,185,1,553,95,11,3,1,FALSE,FALSE,?,TRUE
#vi%43,191,1.75,571.75,95,11,3,0.25,FALSE,FALSE,?,TRUE
.bVII,276,1,826,18,1,1,6,FALSE,TRUE,?,TRUE
.bVII,35,1,154,18,1,2,1.5,d,TRUE,?,TRUE
i,70,2,209,18,1,1,1,FALSE,TRUE,?,TRUE
i,97,1,289,18,1,1,3,FALSE,TRUE,?,TRUE
i,231,2,692,18,1,1,1,FALSE,TRUE,?,TRUE
i6\\\\,311,1,621,18,1,4,0.5,FALSE,TRUE,?,TRUE
.d.i,1,1,1,18,1,2,1.5,d,TRUE,?,TRUE
ii.#vii,39,1,77,18,6,4,1,Bb,FALSE,?,TRUE
i6,1,2.5,2.5,18,1,2,1.5,d,TRUE,?,TRUE
i,2,1,5.5,18,1,2,1.5,d,TRUE,?,TRUE
i6,2,2.5,7,18,1,2,1.5,d,TRUE,?,TRUE
i,3,1,10,18,1,2,1.5,d,TRUE,?,TRUE
i6,3,2.5,11.5,18,1,2,1.5,d,TRUE,?,TRUE
i,4,1,14.5,18,1,2,3,d,TRUE,?,TRUE
i6(2),7,1,28,18,1,2,1.5,d,TRUE,?,TRUE
i6,7,2.5,29.5,18,1,2,2,d,TRUE,?,TRUE
i,7,5,32,18,1,2,0.5,d,TRUE,?,TRUE
i,9,4,40,18,1,2,0.5,d,TRUE,?,TRUE
i,10,4,44.5,18,1,2,0.5,d,TRUE,?,TRUE
i,14,1,59.5,18,1,2,1.5,d,TRUE,?,TRUE
i6,14,2.5,61,18,1,2,1.5,d,TRUE,?,TRUE
i,15,1,64,18,1,2,1.5,d,TRUE,?,TRUE
i6,15,2.5,65.5,18,1,2,1.5,d,TRUE,?,TRUE
i,16,1,68.5,18,1,2,1,d,TRUE,?,TRUE
i,36,4,161.5,18,1,2,1.5,d,TRUE,?,TRUE
i,86,4,386.5,18,1,2,1.5,d,TRUE,?,TRUE
ii6,7,3,21,18,1,1,1,FALSE,TRUE,?,TRUE
ii6(11#7b6),18,1,52,18,1,1,1.5,FALSE,TRUE,?,TRUE
ii6,18,2.5,53.5,18,1,1,1.5,FALSE,TRUE,?,TRUE
ii6(9#4),27,1,79,18,1,1,2,FALSE,TRUE,?,TRUE
ii6,27,3,81,18,1,1,1,FALSE,TRUE,?,TRUE
ii,57,1,169,18,1,1,3,FALSE,TRUE,?,TRUE
ii,65,1,193,18,1,1,3,FALSE,TRUE,?,TRUE
ii6,78,1,232,18,1,1,12,FALSE,TRUE,?,TRUE
ii,100,2,299,18,1,1,1,FALSE,TRUE,?,TRUE
ii6,185,3.25,555.25,18,1,1,0.75,FALSE,TRUE,?,TRUE
ii,218,1,652,18,1,1,3,FALSE,TRUE,?,TRUE
ii6,224,1,670,18,1,1,1,FALSE,TRUE,?,TRUE
ii,224,2,671,18,1,1,1,FALSE,TRUE,?,TRUE
#vii%7/V,304,2,608,18,2,4,1,G,FALSE,VIIhdim7,FALSE
I.ii,226,1,676,18,1,1,3,FALSE,TRUE,?,TRUE
#vii%43/V,86,2.25,129.75,18,4,2,0.25,C,FALSE,VIIhdim7,FALSE
#vii%43/V,87,2.25,131.25,18,4,2,0.25,C,FALSE,VIIhdim7,FALSE
#vii%43/V,88,2.25,132.75,18,4,2,0.25,C,FALSE,VIIhdim7,FALSE
ii6,239,1,715,18,1,1,9,FALSE,TRUE,?,TRUE
ii,242,1,724,18,1,1,3,FALSE,TRUE,?,TRUE
ii,261,2,782,18,1,1,1,FALSE,TRUE,?,TRUE
ii,279,1,835,18,1,1,3,FALSE,TRUE,?,TRUE
ii,297,1,889,18,1,1,3,FALSE,TRUE,?,TRUE
#vii43,243,2,941,59,9,1,1,C,FALSE,?,TRUE
#vii43,139,3,555,95,11,1,2,FALSE,FALSE,?,TRUE
#vii43/V,62,3.5,180,95,11,4,6,FALSE,FALSE,?,TRUE
#viio6,52,3.5,150.5,127,12,1,0.5,Eb,FALSE,VIIdim,FALSE
ii,3,1,7,18,1,3,1,FALSE,TRUE,?,TRUE
ii6,3,2,8,18,1,3,2,FALSE,TRUE,?,TRUE
ii6,58,1,172,18,1,3,3,FALSE,TRUE,?,TRUE
ii6,62,1,184,18,1,3,3,FALSE,TRUE,?,TRUE
ii,66,1,196,18,1,3,1,FALSE,TRUE,?,TRUE
ii6,66,2,197,18,1,3,1,FALSE,TRUE,?,TRUE
ii6,70,3,210,18,1,3,1,FALSE,TRUE,?,TRUE
ii,71,2,212,18,1,3,1,FALSE,TRUE,?,TRUE
ii,72,1,214,18,1,3,1,FALSE,TRUE,?,TRUE
ii6,72,2,215,18,1,3,1,FALSE,TRUE,?,TRUE
ii,74,1,220,18,1,3,1,FALSE,TRUE,?,TRUE
ii6,77,1,229,18,1,3,1,FALSE,TRUE,?,TRUE
ii,77,2,230,18,1,3,1,FALSE,TRUE,?,TRUE
ii,16,1,31,18,1,4,0.5,FALSE,TRUE,?,TRUE
ii,69,1,137,18,1,4,2,FALSE,TRUE,?,TRUE
ii,105,1,209,18,1,4,2,FALSE,TRUE,?,TRUE
I.ii,215,18,446,18,1,4,-15,FALSE,TRUE,?,TRUE
ii,250,1,499,18,1,4,0.5,FALSE,TRUE,?,TRUE
ii6,272,1,543,18,1,4,2,FALSE,TRUE,?,TRUE
ii,275,1,549,18,1,4,25,FALSE,TRUE,?,TRUE
ii6,299,2.5,598.5,18,1,4,0.5,FALSE,TRUE,?,TRUE
ii,305,1,609,18,1,4,2,FALSE,TRUE,?,TRUE
ii6,309,2.5,618.5,18,1,4,0.5,FALSE,TRUE,?,TRUE
ii,30,4,134.5,18,1,2,1.5,d,TRUE,?,TRUE
ii,31,4,139,18,1,2,1.5,d,TRUE,?,TRUE
ii6,44,2,195.5,18,1,2,0.5,d,TRUE,?,TRUE
ii,80,4,359.5,18,1,2,1.5,d,TRUE,?,TRUE
ii,81,4,364,18,1,2,1.5,d,TRUE,?,TRUE
ii6,94,2,420.5,18,1,2,0.5,d,TRUE,?,TRUE
vii.ii%65,52,1,230.5,18,1,2,1.5,d,TRUE,?,TRUE
ii%65,61,1,271,18,1,2,4.5,d,TRUE,?,TRUE
ii%65(2),70,1,311.5,18,1,2,1.5,d,TRUE,?,TRUE
ii%65,70,2.5,313,18,1,2,1.5,d,TRUE,?,TRUE
ii%7,99,1,442,18,1,2,1.5,d,TRUE,?,TRUE
