offset,0/1,0/2,0/3,0/4,0/5,0/6,0/7,0/8,0/9,0/10,0/11,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,4/5,4/6,4/7,4/8,4/9,4/10,4/11,5/6,5/7,5/8,5/9,5/10,5/11,6/7,6/8,6/9,6/10,6/11,7/8,7/9,7/10,7/11,8/9,8/10,8/11,9/10,9/11,10/11,total,tonic,is_major,numeral,chord_tonality
0.0,0.4445,0.0,0.0,0.111,0.0,0.0,0.0,0.111,0.0,0.0,0.3335,0.4445,0.4445,0.3335,0.4445,0.4445,0.4445,0.3335,0.4445,0.4445,0.111,0.0,0.111,0.0,0.0,0.0,0.111,0.0,0.0,0.3335,0.111,0.0,0.0,0.0,0.111,0.0,0.0,0.3335,0.111,0.111,0.111,0.0,0.111,0.111,0.2225,0.0,0.0,0.111,0.0,0.0,0.3335,0.0,0.111,0.0,0.0,0.3335,0.111,0.0,0.0,0.3335,0.111,0.111,0.2225,0.0,0.3335,0.3335,1.0,C#,False,I,Minor
8.0,0.111,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.778,0.0,0.0,0.111,0.111,0.0,0.111,0.111,0.111,0.111,0.667,0.111,0.111,0.0,0.111,0.0,0.0,0.0,0.0,0.778,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.778,0.0,0.0,0.111,0.111,0.111,0.111,0.667,0.111,0.111,0.0,0.0,0.0,0.778,0.0,0.0,0.0,0.0,0.778,0.0,0.0,0.0,0.778,0.0,0.0,0.778,0.0,0.0,0.778,0.778,0.0,1.0,C#,False,VI,Major
10.0,0.0,0.111,0.0,0.0,0.0,0.778,0.0,0.0,0.111,0.0,0.0,0.111,0.0,0.0,0.0,0.778,0.0,0.0,0.111,0.0,0.0,0.111,0.111,0.111,0.667,0.111,0.111,0.0,0.111,0.111,0.0,0.0,0.778,0.0,0.0,0.111,0.0,0.0,0.0,0.778,0.0,0.0,0.111,0.0,0.0,0.778,0.0,0.0,0.111,0.0,0.0,0.778,0.778,0.667,0.778,0.778,0.0,0.111,0.0,0.0,0.111,0.0,0.0,0.111,0.111,0.0,1.0,C#,False,bII,Major
12.0,0.0,0.0555,0.0,0.02775,0.0555,0.0,0.0555,0.69475,0.0555,0.0555,0.0555,0.0555,0.0,0.02775,0.0555,0.0,0.0555,0.69475,0.0555,0.0555,0.0555,0.0555,0.02775,0.0,0.0555,0.0,0.75025,0.0,0.0,0.0,0.02775,0.0555,0.0,0.0555,0.69475,0.0555,0.0555,0.0555,0.02775,0.02775,0.02775,0.7225,0.02775,0.02775,0.02775,0.0555,0.0,0.75025,0.0,0.0,0.0,0.0555,0.69475,0.0555,0.0555,0.0555,0.75025,0.0,0.0,0.0,0.75025,0.75025,0.75025,0.0,0.0,0.0,1.0,C#,False,V+7,Dominant seventh
16.0,0.549241,0.0,0.0,0.078362,0.0,0.0,0.0,0.372573,0.0,0.0,0.0,0.549241,0.549241,0.470879,0.549241,0.549241,0.549241,0.176668,0.549241,0.549241,0.549241,0.0,0.078362,0.0,0.0,0.0,0.372573,0.0,0.0,0.0,0.078362,0.0,0.0,0.0,0.372573,0.0,0.0,0.0,0.078362,0.078362,0.078362,0.294211,0.078362,0.078362,0.078362,0.0,0.0,0.372573,0.0,0.0,0.0,0.0,0.372573,0.0,0.0,0.0,0.372573,0.0,0.0,0.0,0.372573,0.372573,0.372573,0.0,0.0,0.0,1.0,C#,False,I,Minor
20.0,0.40012,0.40012,0.333533,0.40012,0.40012,0.333533,0.40012,0.066587,0.40012,0.40012,0.40012,0.0,0.066587,0.0,0.0,0.066587,0.0,0.466707,0.0,0.0,0.0,0.066587,0.0,0.0,0.066587,0.0,0.466707,0.0,0.0,0.0,0.066587,0.066587,0.0,0.066587,0.40012,0.066587,0.066587,0.066587,0.0,0.066587,0.0,0.466707,0.0,0.0,0.0,0.066587,0.0,0.466707,0.0,0.0,0.0,0.066587,0.40012,0.066587,0.066587,0.066587,0.466707,0.0,0.0,0.0,0.466707,0.466707,0.466707,0.0,0.0,0.0,1.0,C#,False,V+7,Dominant seventh
24.0,0.583646,0.0,0.0,0.083271,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.583646,0.583646,0.500375,0.583646,0.583646,0.583646,0.250313,0.583646,0.583646,0.583646,0.0,0.083271,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.083271,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.083271,0.083271,0.083271,0.250062,0.083271,0.083271,0.083271,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.333333,0.333333,0.0,0.0,0.0,1.0,C#,False,I,Minor
26.0,0.083271,0.0,0.0,0.0,0.0,0.583646,0.0,0.0,0.333333,0.0,0.0,0.083271,0.083271,0.083271,0.083271,0.500375,0.083271,0.083271,0.250062,0.083271,0.083271,0.0,0.0,0.0,0.583646,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.583646,0.0,0.0,0.333333,0.0,0.0,0.0,0.583646,0.0,0.0,0.333333,0.0,0.0,0.583646,0.0,0.0,0.333333,0.0,0.0,0.583646,0.583646,0.250313,0.583646,0.583646,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.333333,0.333333,0.0,1.0,C#,False,IV,Minor
28.0,0.0,0.0,0.0,0.083271,0.0,0.0,0.0,0.333333,0.0,0.0,0.583646,0.0,0.0,0.083271,0.0,0.0,0.0,0.333333,0.0,0.0,0.583646,0.0,0.083271,0.0,0.0,0.0,0.333333,0.0,0.0,0.583646,0.083271,0.0,0.0,0.0,0.333333,0.0,0.0,0.583646,0.083271,0.083271,0.083271,0.250062,0.083271,0.083271,0.500375,0.0,0.0,0.333333,0.0,0.0,0.583646,0.0,0.333333,0.0,0.0,0.583646,0.333333,0.0,0.0,0.583646,0.333333,0.333333,0.250313,0.0,0.583646,0.583646,1.0,E,False,I+,Major
30.0,0.0,0.0,0.083271,0.0,0.0,0.124906,0.0,0.0,0.083271,0.0,0.708552,0.0,0.083271,0.0,0.0,0.124906,0.0,0.0,0.083271,0.0,0.708552,0.083271,0.0,0.0,0.124906,0.0,0.0,0.083271,0.0,0.708552,0.083271,0.083271,0.041635,0.083271,0.083271,0.0,0.083271,0.625281,0.0,0.124906,0.0,0.0,0.083271,0.0,0.708552,0.124906,0.0,0.0,0.083271,0.0,0.708552,0.124906,0.124906,0.041635,0.124906,0.583646,0.0,0.083271,0.0,0.708552,0.083271,0.0,0.708552,0.083271,0.625281,0.708552,1.0,E,False,V+7,Dominant seventh
