offset,0/1,0/2,0/3,0/4,0/5,0/6,0/7,0/8,0/9,0/10,0/11,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,4/5,4/6,4/7,4/8,4/9,4/10,4/11,5/6,5/7,5/8,5/9,5/10,5/11,6/7,6/8,6/9,6/10,6/11,7/8,7/9,7/10,7/11,8/9,8/10,8/11,9/10,9/11,10/11,total,tonic,is_major,numeral,chord_tonality
0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.5,0.25,0.5,0.5,0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,1.0,F,False,I,Minor
1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.25,0.0,0.5,0.5,0.25,0.5,0.0,0.25,0.0,0.25,0.0,0.25,1.0,F,False,V+,Major
2.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.25,0.25,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.0,1.0,F,False,I,Minor
3.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.4,0.0,0.2,0.2,0.2,0.2,0.0,0.4,0.0,0.4,0.0,0.4,1.0,F,False,VIIdim7,Diminished seventh
4.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.4,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.4,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.4,0.2,0.0,0.0,0.4,0.2,0.2,0.2,0.0,0.4,0.4,1.0,C,True,VIIdim7,Diminished seventh
6.0,0.393939,0.393939,0.393939,0.121212,0.393939,0.393939,0.060606,0.393939,0.393939,0.393939,0.393939,0.0,0.0,0.272727,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.272727,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.272727,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.272727,0.272727,0.060606,0.272727,0.272727,0.272727,0.272727,0.0,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.333333,0.333333,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C,True,I,Major
13.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.2,0.6,0.6,0.6,0.4,0.0,0.0,0.2,0.0,0.2,0.2,1.0,C,True,V,Major
14.0,0.466667,0.433334,0.466667,0.266667,0.466667,0.466667,0.3,0.4,0.466667,0.466667,0.4,0.033333,0.0,0.2,0.0,0.0,0.166667,0.066667,0.0,0.0,0.066667,0.033333,0.166667,0.033333,0.033333,0.133334,0.033334,0.033333,0.033333,0.033334,0.2,0.0,0.0,0.166667,0.066667,0.0,0.0,0.066667,0.2,0.2,0.033333,0.133333,0.2,0.2,0.133333,0.0,0.166667,0.066667,0.0,0.0,0.066667,0.166667,0.066667,0.0,0.0,0.066667,0.1,0.166667,0.166667,0.1,0.066667,0.066667,0.0,0.0,0.066667,0.066667,1.0,C,True,I,Major
21.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,1.0,D-,True,VIIdim,Diminished
23.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.2,1.0,E-,True,V7,Dominant seventh
