offset,0/1,0/2,0/3,0/4,0/5,0/6,0/7,0/8,0/9,0/10,0/11,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,4/5,4/6,4/7,4/8,4/9,4/10,4/11,5/6,5/7,5/8,5/9,5/10,5/11,6/7,6/8,6/9,6/10,6/11,7/8,7/9,7/10,7/11,8/9,8/10,8/11,9/10,9/11,10/11,total,tonic,is_major,numeral,chord_tonality
0.0,0.3125,0.3125,0.0,0.3125,0.3125,0.3125,0.0625,0.3125,0.3125,0.3125,0.3125,0.0,0.3125,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.3125,0.3125,0.3125,0.0625,0.3125,0.3125,0.3125,0.3125,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.375,0.375,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C,False,I,Minor
4.0,0.3125,0.0,0.3125,0.3125,0.125,0.3125,0.3125,0.125,0.3125,0.3125,0.3125,0.3125,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.0,0.3125,0.3125,0.125,0.3125,0.3125,0.125,0.3125,0.3125,0.3125,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.0,0.1875,0.1875,0.0,0.1875,0.1875,0.1875,0.0,0.1875,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.0,0.0,0.0,1.0,C,False,IIdim,Diminished
8.0,0.5,0.5,0.5,0.5,0.1875,0.5,0.46875,0.34375,0.5,0.5,0.5,0.0,0.0,0.0,0.3125,0.0,0.03125,0.15625,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.03125,0.15625,0.0,0.0,0.0,0.0,0.3125,0.0,0.03125,0.15625,0.0,0.0,0.0,0.3125,0.0,0.03125,0.15625,0.0,0.0,0.0,0.3125,0.28125,0.15625,0.3125,0.3125,0.3125,0.03125,0.15625,0.0,0.0,0.0,0.125,0.03125,0.03125,0.03125,0.15625,0.15625,0.15625,0.0,0.0,0.0,1.0,C,False,IV,Minor
12.0,0.3125,0.3125,0.0,0.3125,0.3125,0.3125,0.0625,0.3125,0.3125,0.3125,0.3125,0.0,0.3125,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.3125,0.3125,0.3125,0.0625,0.3125,0.3125,0.3125,0.3125,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.375,0.375,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C,False,I,Minor
16.0,0.3125,0.0,0.3125,0.3125,0.125,0.3125,0.3125,0.125,0.3125,0.3125,0.3125,0.3125,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.0,0.3125,0.3125,0.125,0.3125,0.3125,0.125,0.3125,0.3125,0.3125,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.0,0.1875,0.1875,0.0,0.1875,0.1875,0.1875,0.0,0.1875,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.0,0.0,0.0,1.0,C,False,IIdim,Diminished
20.0,0.15625,0.15625,0.15625,0.15625,0.0,0.15625,0.125,0.03125,0.15625,0.15625,0.0,0.0,0.3125,0.0,0.15625,0.0,0.03125,0.1875,0.0,0.0,0.15625,0.3125,0.0,0.15625,0.0,0.03125,0.1875,0.0,0.0,0.15625,0.3125,0.15625,0.3125,0.28125,0.125,0.3125,0.3125,0.15625,0.15625,0.0,0.03125,0.1875,0.0,0.0,0.15625,0.15625,0.125,0.03125,0.15625,0.15625,0.0,0.03125,0.1875,0.0,0.0,0.15625,0.15625,0.03125,0.03125,0.125,0.1875,0.1875,0.03125,0.0,0.15625,0.15625,1.0,C,False,VIIdim,Diminished
24.0,0.461538,0.461538,0.282051,0.461538,0.461538,0.461538,0.282051,0.384615,0.461538,0.358974,0.461538,0.0,0.179487,0.0,0.0,0.0,0.179487,0.076923,0.0,0.102564,0.0,0.179487,0.0,0.0,0.0,0.179487,0.076923,0.0,0.102564,0.0,0.179487,0.179487,0.179487,0.0,0.102564,0.179487,0.076923,0.179487,0.0,0.0,0.179487,0.076923,0.0,0.102564,0.0,0.0,0.179487,0.076923,0.0,0.102564,0.0,0.179487,0.076923,0.0,0.102564,0.0,0.102564,0.179487,0.076923,0.179487,0.076923,0.025641,0.076923,0.102564,0.0,0.102564,1.0,C,False,I,Minor
28.0,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.363636,0.0,0.090909,0.090909,0.090909,0.181818,0.0,0.0,0.0,0.0,0.454545,0.090909,0.0,0.0,0.181818,0.181818,0.181818,0.181818,0.181818,0.272727,0.090909,0.181818,0.181818,0.0,0.0,0.0,0.0,0.454545,0.090909,0.0,0.0,0.181818,0.0,0.0,0.454545,0.090909,0.0,0.0,0.181818,0.0,0.454545,0.090909,0.0,0.0,0.181818,0.454545,0.090909,0.0,0.0,0.181818,0.363636,0.454545,0.454545,0.272727,0.090909,0.090909,0.090909,0.0,0.181818,0.181818,1.0,C,False,V+,Major
29.0,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.454546,0.090909,0.090909,0.090909,0.090909,0.181818,0.181818,0.181818,0.181818,0.181818,0.363637,0.181818,0.181818,0.0,0.181818,0.0,0.0,0.0,0.0,0.545455,0.0,0.0,0.181818,0.0,0.0,0.0,0.0,0.545455,0.0,0.0,0.181818,0.0,0.0,0.0,0.545455,0.0,0.0,0.181818,0.0,0.0,0.545455,0.0,0.0,0.181818,0.0,0.545455,0.0,0.0,0.181818,0.0,0.545455,0.545455,0.363637,0.545455,0.0,0.181818,0.0,0.181818,0.0,0.181818,1.0,F,False,VIIdim,Diminished
30.0,0.272727,0.272727,0.272727,0.272727,0.181818,0.272727,0.181818,0.272727,0.090909,0.272727,0.272727,0.0,0.0,0.0,0.454545,0.0,0.090909,0.0,0.181818,0.0,0.0,0.0,0.0,0.454545,0.0,0.090909,0.0,0.181818,0.0,0.0,0.0,0.454545,0.0,0.090909,0.0,0.181818,0.0,0.0,0.454545,0.0,0.090909,0.0,0.181818,0.0,0.0,0.454545,0.363636,0.454545,0.272727,0.454545,0.454545,0.090909,0.0,0.181818,0.0,0.0,0.090909,0.090909,0.090909,0.090909,0.181818,0.0,0.0,0.181818,0.181818,0.0,1.0,F,False,I+,Major
31.0,0.090909,0.090909,0.090909,0.090909,0.454546,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.0,0.0,0.0,0.545455,0.0,0.0,0.181818,0.0,0.0,0.181818,0.0,0.0,0.545455,0.0,0.0,0.181818,0.0,0.0,0.181818,0.0,0.545455,0.0,0.0,0.181818,0.0,0.0,0.181818,0.545455,0.0,0.0,0.181818,0.0,0.0,0.181818,0.545455,0.545455,0.363637,0.545455,0.545455,0.363637,0.0,0.181818,0.0,0.0,0.181818,0.181818,0.0,0.0,0.181818,0.181818,0.181818,0.0,0.0,0.181818,0.181818,1.0,C,False,IIdim,Diminished
32.0,0.3125,0.3125,0.0,0.3125,0.3125,0.3125,0.0625,0.3125,0.3125,0.3125,0.3125,0.0,0.3125,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.3125,0.3125,0.3125,0.0625,0.3125,0.3125,0.3125,0.3125,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.375,0.375,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C,False,I,Minor
36.0,0.3125,0.0,0.3125,0.3125,0.125,0.3125,0.3125,0.125,0.3125,0.3125,0.3125,0.3125,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.0,0.3125,0.3125,0.125,0.3125,0.3125,0.125,0.3125,0.3125,0.3125,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.0,0.1875,0.1875,0.0,0.1875,0.1875,0.1875,0.0,0.1875,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.0,0.0,0.0,1.0,C,False,IIdim,Diminished
40.0,0.5,0.5,0.5,0.5,0.1875,0.5,0.5,0.3125,0.5,0.5,0.5,0.0,0.0,0.0,0.3125,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.1875,0.0,0.0,0.0,0.3125,0.0,0.0,0.1875,0.0,0.0,0.0,0.3125,0.3125,0.125,0.3125,0.3125,0.3125,0.0,0.1875,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.0,0.0,0.0,1.0,C,False,IV,Minor
44.0,0.5,0.5,0.5,0.1875,0.5,0.5,0.3125,0.5,0.5,0.5,0.5,0.0,0.0,0.3125,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.3125,0.3125,0.125,0.3125,0.3125,0.3125,0.3125,0.0,0.1875,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C,False,I+,Major
48.0,0.375,0.0,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.0,0.375,0.375,0.375,0.0625,0.375,0.375,0.0625,0.375,0.375,0.375,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.0,0.3125,0.3125,0.0,0.3125,0.3125,0.3125,0.0,0.3125,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.3125,0.3125,0.3125,0.0,0.0,0.0,1.0,C,False,bII,Major
52.0,0.0,0.1875,0.0,0.0,0.125,0.0,0.5,0.0,0.0,0.0,0.1875,0.1875,0.0,0.0,0.125,0.0,0.5,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.0625,0.1875,0.3125,0.1875,0.1875,0.1875,0.0,0.0,0.125,0.0,0.5,0.0,0.0,0.0,0.1875,0.125,0.0,0.5,0.0,0.0,0.0,0.1875,0.125,0.375,0.125,0.125,0.125,0.0625,0.5,0.0,0.0,0.0,0.1875,0.5,0.5,0.5,0.3125,0.0,0.0,0.1875,0.0,0.1875,0.1875,1.0,C,False,V+,Major
