offset,0/1,0/2,0/3,0/4,0/5,0/6,0/7,0/8,0/9,0/10,0/11,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,4/5,4/6,4/7,4/8,4/9,4/10,4/11,5/6,5/7,5/8,5/9,5/10,5/11,6/7,6/8,6/9,6/10,6/11,7/8,7/9,7/10,7/11,8/9,8/10,8/11,9/10,9/11,10/11,total,tonic,is_major,numeral,chord_tonality
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,
1.0,0.380952,0.333333,0.380952,0.380952,0.095238,0.380952,0.357142,0.380952,0.309523,0.380952,0.380952,0.047619,0.0,0.0,0.47619,0.0,0.02381,0.0,0.071429,0.0,0.0,0.047619,0.047619,0.428571,0.047619,0.023809,0.047619,0.02381,0.047619,0.047619,0.0,0.47619,0.0,0.02381,0.0,0.071429,0.0,0.0,0.47619,0.0,0.02381,0.0,0.071429,0.0,0.0,0.47619,0.45238,0.47619,0.404761,0.47619,0.47619,0.02381,0.0,0.071429,0.0,0.0,0.02381,0.047619,0.02381,0.02381,0.071429,0.0,0.0,0.071429,0.071429,0.0,1.0,F,True,I,Major
4.0,0.380952,0.333333,0.380952,0.309523,0.238095,0.380952,0.119047,0.380952,0.357142,0.309523,0.380952,0.047619,0.0,0.071429,0.142857,0.0,0.261905,0.0,0.02381,0.071429,0.0,0.047619,0.02381,0.095238,0.047619,0.214286,0.047619,0.023809,0.02381,0.047619,0.071429,0.142857,0.0,0.261905,0.0,0.02381,0.071429,0.0,0.071428,0.071429,0.190476,0.071429,0.047619,0.0,0.071429,0.142857,0.119048,0.142857,0.119047,0.071428,0.142857,0.261905,0.0,0.02381,0.071429,0.0,0.261905,0.238095,0.190476,0.261905,0.02381,0.071429,0.0,0.047619,0.02381,0.071429,1.0,F,True,V,Major
7.0,0.190476,0.047619,0.190476,0.190476,0.071429,0.190476,0.071428,0.190476,0.023809,0.190476,0.166666,0.238095,0.0,0.0,0.261905,0.0,0.119048,0.0,0.166667,0.0,0.02381,0.238095,0.238095,0.02381,0.238095,0.119047,0.238095,0.071428,0.238095,0.214285,0.0,0.261905,0.0,0.119048,0.0,0.166667,0.0,0.02381,0.261905,0.0,0.119048,0.0,0.166667,0.0,0.02381,0.261905,0.142857,0.261905,0.095238,0.261905,0.238095,0.119048,0.0,0.166667,0.0,0.02381,0.119048,0.047619,0.119048,0.095238,0.166667,0.0,0.02381,0.166667,0.142857,0.02381,1.0,F,True,I,Major
10.0,0.404762,0.380952,0.404762,0.333333,0.404762,0.404762,0.02381,0.404762,0.357143,0.333333,0.404762,0.02381,0.0,0.071429,0.0,0.0,0.380952,0.0,0.047619,0.071429,0.0,0.02381,0.047619,0.02381,0.02381,0.357142,0.02381,0.023809,0.047619,0.02381,0.071429,0.0,0.0,0.380952,0.0,0.047619,0.071429,0.0,0.071429,0.071429,0.309523,0.071429,0.02381,0.0,0.071429,0.0,0.380952,0.0,0.047619,0.071429,0.0,0.380952,0.0,0.047619,0.071429,0.0,0.380952,0.333333,0.309523,0.380952,0.047619,0.071429,0.0,0.02381,0.047619,0.071429,1.0,F,True,V,Major
13.0,0.380952,0.333333,0.380952,0.380952,0.095238,0.380952,0.357142,0.380952,0.309523,0.380952,0.380952,0.047619,0.0,0.0,0.47619,0.0,0.02381,0.0,0.071429,0.0,0.0,0.047619,0.047619,0.428571,0.047619,0.023809,0.047619,0.02381,0.047619,0.047619,0.0,0.47619,0.0,0.02381,0.0,0.071429,0.0,0.0,0.47619,0.0,0.02381,0.0,0.071429,0.0,0.0,0.47619,0.45238,0.47619,0.404761,0.47619,0.47619,0.02381,0.0,0.071429,0.0,0.0,0.02381,0.047619,0.02381,0.02381,0.071429,0.0,0.0,0.071429,0.071429,0.0,1.0,F,True,I,Major
16.0,0.380952,0.333333,0.380952,0.309523,0.238095,0.380952,0.119047,0.380952,0.357142,0.309523,0.380952,0.047619,0.0,0.071429,0.142857,0.0,0.261905,0.0,0.02381,0.071429,0.0,0.047619,0.02381,0.095238,0.047619,0.214286,0.047619,0.023809,0.02381,0.047619,0.071429,0.142857,0.0,0.261905,0.0,0.02381,0.071429,0.0,0.071428,0.071429,0.190476,0.071429,0.047619,0.0,0.071429,0.142857,0.119048,0.142857,0.119047,0.071428,0.142857,0.261905,0.0,0.02381,0.071429,0.0,0.261905,0.238095,0.190476,0.261905,0.02381,0.071429,0.0,0.047619,0.02381,0.071429,1.0,F,True,V,Major
19.0,0.178571,0.035715,0.178571,0.142857,0.035715,0.178571,0.178571,0.178571,0.142858,0.178571,0.142857,0.214286,0.0,0.035714,0.214286,0.0,0.0,0.0,0.321429,0.0,0.035714,0.214286,0.178572,0.0,0.214286,0.214286,0.214286,0.107143,0.214286,0.178572,0.035714,0.214286,0.0,0.0,0.0,0.321429,0.0,0.035714,0.178572,0.035714,0.035714,0.035714,0.285715,0.035714,0.0,0.214286,0.214286,0.214286,0.107143,0.214286,0.178572,0.0,0.0,0.321429,0.0,0.035714,0.0,0.321429,0.0,0.035714,0.321429,0.0,0.035714,0.321429,0.285715,0.035714,1.0,F,True,I,Major
21.0,0.357143,0.285714,0.357143,0.285714,0.357143,0.357143,0.071428,0.357143,0.357143,0.285714,0.357143,0.071429,0.0,0.071429,0.0,0.0,0.428571,0.0,0.0,0.071429,0.0,0.071429,0.0,0.071429,0.071429,0.357142,0.071429,0.071429,0.0,0.071429,0.071429,0.0,0.0,0.428571,0.0,0.0,0.071429,0.0,0.071429,0.071429,0.357142,0.071429,0.071429,0.0,0.071429,0.0,0.428571,0.0,0.0,0.071429,0.0,0.428571,0.0,0.0,0.071429,0.0,0.428571,0.428571,0.357142,0.428571,0.0,0.071429,0.0,0.071429,0.0,0.071429,1.0,F,True,V,Major
22.0,0.363636,0.30303,0.363636,0.363636,0.127273,0.363636,0.351515,0.363636,0.290909,0.363636,0.363636,0.060606,0.0,0.0,0.490909,0.0,0.012121,0.0,0.072727,0.0,0.0,0.060606,0.060606,0.430303,0.060606,0.048485,0.060606,0.012121,0.060606,0.060606,0.0,0.490909,0.0,0.012121,0.0,0.072727,0.0,0.0,0.490909,0.0,0.012121,0.0,0.072727,0.0,0.0,0.490909,0.478788,0.490909,0.418182,0.490909,0.490909,0.012121,0.0,0.072727,0.0,0.0,0.012121,0.060606,0.012121,0.012121,0.072727,0.0,0.0,0.072727,0.072727,0.0,1.0,F,True,I,Major
28.0,0.37037,0.320987,0.37037,0.296296,0.222222,0.37037,0.111111,0.37037,0.345679,0.296296,0.37037,0.049383,0.0,0.074074,0.148148,0.0,0.259259,0.0,0.024691,0.074074,0.0,0.049383,0.024691,0.098765,0.049383,0.209876,0.049383,0.024692,0.024691,0.049383,0.074074,0.148148,0.0,0.259259,0.0,0.024691,0.074074,0.0,0.074074,0.074074,0.185185,0.074074,0.049383,0.0,0.074074,0.148148,0.111111,0.148148,0.123457,0.074074,0.148148,0.259259,0.0,0.024691,0.074074,0.0,0.259259,0.234568,0.185185,0.259259,0.024691,0.074074,0.0,0.049383,0.024691,0.074074,1.0,F,True,V,Major
31.0,0.17284,0.074074,0.17284,0.17284,0.098765,0.17284,0.061729,0.17284,0.0,0.17284,0.148149,0.246914,0.0,0.0,0.271605,0.0,0.111111,0.0,0.17284,0.0,0.024691,0.246914,0.246914,0.024691,0.246914,0.135803,0.246914,0.074074,0.246914,0.222223,0.0,0.271605,0.0,0.111111,0.0,0.17284,0.0,0.024691,0.271605,0.0,0.111111,0.0,0.17284,0.0,0.024691,0.271605,0.160494,0.271605,0.098765,0.271605,0.246914,0.111111,0.0,0.17284,0.0,0.024691,0.111111,0.061729,0.111111,0.08642,0.17284,0.0,0.024691,0.17284,0.148149,0.024691,1.0,F,True,I,Major
34.0,0.407407,0.382716,0.407407,0.333333,0.407407,0.407407,0.037037,0.407407,0.358024,0.333333,0.407407,0.024691,0.0,0.074074,0.0,0.0,0.37037,0.0,0.049383,0.074074,0.0,0.024691,0.049383,0.024691,0.024691,0.345679,0.024691,0.024692,0.049383,0.024691,0.074074,0.0,0.0,0.37037,0.0,0.049383,0.074074,0.0,0.074074,0.074074,0.296296,0.074074,0.024691,0.0,0.074074,0.0,0.37037,0.0,0.049383,0.074074,0.0,0.37037,0.0,0.049383,0.074074,0.0,0.37037,0.320987,0.296296,0.37037,0.049383,0.074074,0.0,0.024691,0.049383,0.074074,1.0,F,True,V,Major
37.0,0.37037,0.320987,0.37037,0.37037,0.111111,0.37037,0.345679,0.37037,0.296296,0.37037,0.37037,0.049383,0.0,0.0,0.481481,0.0,0.024691,0.0,0.074074,0.0,0.0,0.049383,0.049383,0.432098,0.049383,0.024692,0.049383,0.024691,0.049383,0.049383,0.0,0.481481,0.0,0.024691,0.0,0.074074,0.0,0.0,0.481481,0.0,0.024691,0.0,0.074074,0.0,0.0,0.481481,0.45679,0.481481,0.407407,0.481481,0.481481,0.024691,0.0,0.074074,0.0,0.0,0.024691,0.049383,0.024691,0.024691,0.074074,0.0,0.0,0.074074,0.074074,0.0,1.0,F,True,I,Major
40.0,0.37037,0.320987,0.37037,0.296296,0.222222,0.37037,0.111111,0.37037,0.345679,0.296296,0.37037,0.049383,0.0,0.074074,0.148148,0.0,0.259259,0.0,0.024691,0.074074,0.0,0.049383,0.024691,0.098765,0.049383,0.209876,0.049383,0.024692,0.024691,0.049383,0.074074,0.148148,0.0,0.259259,0.0,0.024691,0.074074,0.0,0.074074,0.074074,0.185185,0.074074,0.049383,0.0,0.074074,0.148148,0.111111,0.148148,0.123457,0.074074,0.148148,0.259259,0.0,0.024691,0.074074,0.0,0.259259,0.234568,0.185185,0.259259,0.024691,0.074074,0.0,0.049383,0.024691,0.074074,1.0,F,True,V,Major
43.0,0.302469,0.185185,0.302469,0.277778,0.006173,0.302469,0.228395,0.302469,0.154321,0.290123,0.290123,0.117284,0.0,0.024691,0.308642,0.0,0.074074,0.0,0.148148,0.012346,0.012346,0.117284,0.092593,0.191358,0.117284,0.04321,0.117284,0.030864,0.104938,0.104938,0.024691,0.308642,0.0,0.074074,0.0,0.148148,0.012346,0.012346,0.283951,0.024691,0.049383,0.024691,0.123457,0.012345,0.012345,0.308642,0.234568,0.308642,0.160494,0.296296,0.296296,0.074074,0.0,0.148148,0.012346,0.012346,0.074074,0.074074,0.061728,0.061728,0.148148,0.012346,0.012346,0.135802,0.135802,0.0,1.0,F,True,I,Major
49.0,0.428571,0.357142,0.428571,0.357142,0.428571,0.428571,0.0,0.428571,0.428571,0.428571,0.428571,0.071429,0.0,0.071429,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.071429,0.0,0.071429,0.071429,0.357142,0.071429,0.071429,0.071429,0.071429,0.071429,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.071429,0.071429,0.357142,0.071429,0.071429,0.071429,0.071429,0.0,0.428571,0.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.428571,0.428571,0.428571,0.428571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,F,True,V,Major
50.0,0.428571,0.357142,0.357142,0.428571,0.428571,0.428571,0.0,0.428571,0.428571,0.428571,0.428571,0.071429,0.071429,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.0,0.071429,0.071429,0.071429,0.357142,0.071429,0.071429,0.071429,0.071429,0.071429,0.071429,0.071429,0.357142,0.071429,0.071429,0.071429,0.071429,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.428571,0.428571,0.428571,0.428571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,B-,True,II,Minor
51.0,0.357143,0.285714,0.285714,0.357143,0.142857,0.357143,0.357143,0.357143,0.071429,0.357143,0.357143,0.071429,0.071429,0.0,0.214286,0.0,0.0,0.0,0.285714,0.0,0.0,0.0,0.071429,0.142857,0.071429,0.071429,0.071429,0.214285,0.071429,0.071429,0.071429,0.142857,0.071429,0.071429,0.071429,0.214285,0.071429,0.071429,0.214286,0.0,0.0,0.0,0.285714,0.0,0.0,0.214286,0.214286,0.214286,0.071428,0.214286,0.214286,0.0,0.0,0.285714,0.0,0.0,0.0,0.285714,0.0,0.0,0.285714,0.0,0.0,0.285714,0.285714,0.0,1.0,B-,True,V,Major
52.0,0.071429,0.02381,0.047619,0.071429,0.309523,0.071429,0.071429,0.071429,0.071429,0.404761,0.071429,0.047619,0.02381,0.0,0.380952,0.0,0.0,0.0,0.0,0.47619,0.0,0.023809,0.047619,0.333333,0.047619,0.047619,0.047619,0.047619,0.428571,0.047619,0.02381,0.357142,0.02381,0.02381,0.02381,0.02381,0.45238,0.02381,0.380952,0.0,0.0,0.0,0.0,0.47619,0.0,0.380952,0.380952,0.380952,0.380952,0.095238,0.380952,0.0,0.0,0.0,0.47619,0.0,0.0,0.0,0.47619,0.0,0.0,0.47619,0.0,0.47619,0.0,0.47619,1.0,B-,True,I,Major
55.0,0.0,0.071429,0.071429,0.071429,0.357142,0.071429,0.071429,0.071429,0.071429,0.357142,0.071429,0.071429,0.071429,0.071429,0.357142,0.071429,0.071429,0.071429,0.071429,0.357142,0.071429,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.428571,0.0,0.428571,0.0,0.0,0.0,0.0,0.428571,0.0,0.428571,0.428571,0.428571,0.428571,0.0,0.428571,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.428571,0.0,0.0,0.428571,0.0,0.428571,0.0,0.428571,1.0,A-,True,II,Minor
57.0,0.0,0.071429,0.214285,0.071429,0.071429,0.071429,0.214285,0.071429,0.071429,0.214285,0.071429,0.071429,0.214285,0.071429,0.071429,0.071429,0.214285,0.071429,0.071429,0.214285,0.071429,0.285714,0.0,0.0,0.0,0.285714,0.0,0.0,0.285714,0.0,0.285714,0.285714,0.285714,0.0,0.285714,0.285714,0.0,0.285714,0.0,0.0,0.285714,0.0,0.0,0.285714,0.0,0.0,0.285714,0.0,0.0,0.285714,0.0,0.285714,0.0,0.0,0.285714,0.0,0.285714,0.285714,0.0,0.285714,0.0,0.285714,0.0,0.285714,0.0,0.285714,1.0,A-,True,V,Major
58.0,0.023809,0.047619,0.333333,0.047619,0.047619,0.047619,0.047619,0.428571,0.047619,0.02381,0.047619,0.02381,0.357142,0.02381,0.02381,0.02381,0.02381,0.45238,0.02381,0.047619,0.02381,0.380952,0.0,0.0,0.0,0.0,0.47619,0.0,0.071429,0.0,0.380952,0.380952,0.380952,0.380952,0.095238,0.380952,0.309523,0.380952,0.0,0.0,0.0,0.47619,0.0,0.071429,0.0,0.0,0.0,0.47619,0.0,0.071429,0.0,0.0,0.47619,0.0,0.071429,0.0,0.47619,0.0,0.071429,0.0,0.47619,0.404761,0.47619,0.071429,0.0,0.071429,1.0,A-,True,I,Major
61.0,0.071429,0.071429,0.309523,0.071429,0.02381,0.071429,0.071428,0.214285,0.071429,0.0,0.071429,0.0,0.380952,0.0,0.047619,0.0,0.142857,0.285714,0.0,0.071429,0.0,0.380952,0.0,0.047619,0.0,0.142857,0.285714,0.0,0.071429,0.0,0.380952,0.333333,0.380952,0.238095,0.095238,0.380952,0.309523,0.380952,0.047619,0.0,0.142857,0.285714,0.0,0.071429,0.0,0.047619,0.095238,0.238095,0.047619,0.02381,0.047619,0.142857,0.285714,0.0,0.071429,0.0,0.142857,0.142857,0.071428,0.142857,0.285714,0.214285,0.285714,0.071429,0.0,0.071429,1.0,C,False,VI,Major
