offset,0/1,0/2,0/3,0/4,0/5,0/6,0/7,0/8,0/9,0/10,0/11,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,4/5,4/6,4/7,4/8,4/9,4/10,4/11,5/6,5/7,5/8,5/9,5/10,5/11,6/7,6/8,6/9,6/10,6/11,7/8,7/9,7/10,7/11,8/9,8/10,8/11,9/10,9/11,10/11,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,,,
1.0,0.107143,0.0,0.035714,0.25,0.0,0.0,0.0,0.321429,0.035714,0.0,0.25,0.107143,0.071429,0.142857,0.107143,0.107143,0.107143,0.214286,0.071429,0.107143,0.142857,0.035714,0.25,0.0,0.0,0.0,0.321429,0.035714,0.0,0.25,0.214286,0.035714,0.035714,0.035714,0.285715,0.0,0.035714,0.214286,0.25,0.25,0.25,0.071429,0.214286,0.25,0.0,0.0,0.0,0.321429,0.035714,0.0,0.25,0.0,0.321429,0.035714,0.0,0.25,0.321429,0.035714,0.0,0.25,0.285715,0.321429,0.071429,0.035714,0.214286,0.25,1.0,E,True,I,Major
5.0,0.0,0.0,0.181818,0.0,0.0,0.227273,0.0,0.045455,0.181818,0.0,0.363636,0.0,0.181818,0.0,0.0,0.227273,0.0,0.045455,0.181818,0.0,0.363636,0.181818,0.0,0.0,0.227273,0.0,0.045455,0.181818,0.0,0.363636,0.181818,0.181818,0.045455,0.181818,0.136363,0.0,0.181818,0.181818,0.0,0.227273,0.0,0.045455,0.181818,0.0,0.363636,0.227273,0.0,0.045455,0.181818,0.0,0.363636,0.227273,0.181818,0.045455,0.227273,0.136363,0.045455,0.181818,0.0,0.363636,0.136363,0.045455,0.318181,0.181818,0.181818,0.363636,1.0,E,True,V,Major
9.0,0.428571,0.0,0.0,0.428571,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.428571,0.428571,0.0,0.428571,0.428571,0.428571,0.285714,0.428571,0.428571,0.428571,0.0,0.428571,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.428571,0.428571,0.428571,0.285714,0.428571,0.428571,0.428571,0.0,0.0,0.142857,0.0,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.142857,0.142857,0.142857,0.0,0.0,0.0,1.0,E,True,VI,Minor
11.0,0.0,0.142857,0.0,0.142857,0.0,0.071429,0.0,0.214286,0.071429,0.0,0.357143,0.142857,0.0,0.142857,0.0,0.071429,0.0,0.214286,0.071429,0.0,0.357143,0.142857,0.0,0.142857,0.071428,0.142857,0.071429,0.071428,0.142857,0.214286,0.142857,0.0,0.071429,0.0,0.214286,0.071429,0.0,0.357143,0.142857,0.071428,0.142857,0.071429,0.071428,0.142857,0.214286,0.071429,0.0,0.214286,0.071429,0.0,0.357143,0.071429,0.142857,0.0,0.071429,0.285714,0.214286,0.071429,0.0,0.357143,0.142857,0.214286,0.142857,0.071429,0.285714,0.357143,1.0,A,True,V,Major
13.0,0.5,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.5,0.5,0.333333,0.5,0.5,0.5,0.5,0.166667,0.5,0.5,0.0,0.166667,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166666,0.166667,0.166667,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.333333,0.333333,0.0,1.0,A,True,I,Major
15.0,0.307692,0.0,0.0,0.0,0.153846,0.0,0.0,0.307692,0.0,0.0,0.230769,0.307692,0.307692,0.307692,0.153846,0.307692,0.307692,0.0,0.307692,0.307692,0.076923,0.0,0.0,0.153846,0.0,0.0,0.307692,0.0,0.0,0.230769,0.0,0.153846,0.0,0.0,0.307692,0.0,0.0,0.230769,0.153846,0.0,0.0,0.307692,0.0,0.0,0.230769,0.153846,0.153846,0.153846,0.153846,0.153846,0.076923,0.0,0.307692,0.0,0.0,0.230769,0.307692,0.0,0.0,0.230769,0.307692,0.307692,0.076923,0.0,0.230769,0.230769,1.0,F#,False,V+,Major
17.0,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.166667,0.0,0.166667,0.333333,0.333333,0.333333,0.333333,0.0,0.333333,0.333333,0.166666,0.333333,0.166666,0.0,0.0,0.0,0.333333,0.0,0.0,0.166667,0.0,0.166667,0.0,0.0,0.333333,0.0,0.0,0.166667,0.0,0.166667,0.0,0.333333,0.0,0.0,0.166667,0.0,0.166667,0.333333,0.0,0.0,0.166667,0.0,0.166667,0.333333,0.333333,0.166666,0.333333,0.166666,0.0,0.166667,0.0,0.166667,0.166667,0.0,0.166667,0.166667,0.0,0.166667,1.0,F#,False,I,Minor
19.0,0.24,0.08,0.0,0.0,0.17336,0.2,0.0,0.06664,0.08,0.0,0.16,0.16,0.24,0.24,0.06664,0.04,0.24,0.17336,0.16,0.24,0.08,0.08,0.08,0.09336,0.12,0.08,0.01336,0.0,0.08,0.08,0.0,0.17336,0.2,0.0,0.06664,0.08,0.0,0.16,0.17336,0.2,0.0,0.06664,0.08,0.0,0.16,0.02664,0.17336,0.10672,0.09336,0.17336,0.01336,0.2,0.13336,0.12,0.2,0.04,0.06664,0.08,0.0,0.16,0.01336,0.06664,0.09336,0.08,0.08,0.16,1.0,F#,False,VIIdim,Diminished
23.0,0.0,0.0,0.181818,0.0,0.0,0.181818,0.0,0.0,0.272727,0.090909,0.272727,0.0,0.181818,0.0,0.0,0.181818,0.0,0.0,0.272727,0.090909,0.272727,0.181818,0.0,0.0,0.181818,0.0,0.0,0.272727,0.090909,0.272727,0.181818,0.181818,0.0,0.181818,0.181818,0.090909,0.090909,0.090909,0.0,0.181818,0.0,0.0,0.272727,0.090909,0.272727,0.181818,0.0,0.0,0.272727,0.090909,0.272727,0.181818,0.181818,0.090909,0.090909,0.090909,0.0,0.272727,0.090909,0.272727,0.272727,0.090909,0.272727,0.181818,0.0,0.181818,1.0,E,True,V,Major
