offset,0/1,0/2,0/3,0/4,0/5,0/6,0/7,0/8,0/9,0/10,0/11,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,4/5,4/6,4/7,4/8,4/9,4/10,4/11,5/6,5/7,5/8,5/9,5/10,5/11,6/7,6/8,6/9,6/10,6/11,7/8,7/9,7/10,7/11,8/9,8/10,8/11,9/10,9/11,10/11,total,tonic,is_major,numeral,chord_tonality
0.0,0.105945,0.105945,0.105945,0.145525,0.105945,0.066206,0.238277,0.105945,0.105945,0.105945,0.152122,0.0,0.0,0.25147,0.0,0.039739,0.344222,0.0,0.0,0.0,0.258067,0.0,0.25147,0.0,0.039739,0.344222,0.0,0.0,0.0,0.258067,0.25147,0.0,0.039739,0.344222,0.0,0.0,0.0,0.258067,0.25147,0.211731,0.092752,0.25147,0.25147,0.25147,0.006597,0.039739,0.344222,0.0,0.0,0.0,0.258067,0.304483,0.039739,0.039739,0.039739,0.218328,0.344222,0.344222,0.344222,0.086155,0.0,0.0,0.258067,0.0,0.258067,0.258067,1.0,E,False,I,Minor
8.0,0.083208,0.083208,0.416042,0.083208,0.083208,0.083209,0.083208,0.083208,0.0,0.083208,0.083209,0.0,0.49925,0.0,0.0,0.166417,0.0,0.0,0.083208,0.0,0.166417,0.49925,0.0,0.0,0.166417,0.0,0.0,0.083208,0.0,0.166417,0.49925,0.49925,0.332833,0.49925,0.49925,0.416042,0.49925,0.332833,0.0,0.166417,0.0,0.0,0.083208,0.0,0.166417,0.166417,0.0,0.0,0.083208,0.0,0.166417,0.166417,0.166417,0.083209,0.166417,0.0,0.0,0.083208,0.0,0.166417,0.083208,0.0,0.166417,0.083208,0.083209,0.166417,1.0,E,False,V+7,Dominant seventh
10.0,0.125045,0.125045,0.029923,0.035563,0.125045,0.029851,0.017782,0.125045,0.029851,0.125045,0.160465,0.0,0.095122,0.160608,0.0,0.095194,0.142827,0.0,0.095194,0.0,0.28551,0.095122,0.160608,0.0,0.095194,0.142827,0.0,0.095194,0.0,0.28551,0.065486,0.095122,7.2e-05,0.047705,0.095122,7.2e-05,0.095122,0.190388,0.160608,0.065414,0.017781,0.160608,0.065414,0.160608,0.124902,0.095194,0.142827,0.0,0.095194,0.0,0.28551,0.047633,0.095194,0.0,0.095194,0.190316,0.142827,0.047633,0.142827,0.142683,0.095194,0.0,0.28551,0.095194,0.190316,0.28551,1.0,E,False,I,Minor
16.0,0.0,0.0,0.203578,0.111012,0.0,0.203578,0.148128,0.0,0.0,0.074008,0.25914,0.0,0.203578,0.111012,0.0,0.203578,0.148128,0.0,0.0,0.074008,0.25914,0.203578,0.111012,0.0,0.203578,0.148128,0.0,0.0,0.074008,0.25914,0.092566,0.203578,0.0,0.05545,0.203578,0.203578,0.12957,0.055562,0.111012,0.092566,0.037116,0.111012,0.111012,0.037004,0.148128,0.203578,0.148128,0.0,0.0,0.074008,0.25914,0.05545,0.203578,0.203578,0.12957,0.055562,0.148128,0.148128,0.07412,0.111012,0.0,0.074008,0.25914,0.074008,0.25914,0.185132,1.0,E,False,V+,Major
20.0,0.0,0.277667,0.0,0.0555,0.1665,0.0,0.111,0.0,0.0,0.0,0.388667,0.277667,0.0,0.0555,0.1665,0.0,0.111,0.0,0.0,0.0,0.388667,0.277667,0.222167,0.111167,0.277667,0.166667,0.277667,0.277667,0.277667,0.111,0.0555,0.1665,0.0,0.111,0.0,0.0,0.0,0.388667,0.111,0.0555,0.0555,0.0555,0.0555,0.0555,0.333167,0.1665,0.0555,0.1665,0.1665,0.1665,0.222167,0.111,0.0,0.0,0.0,0.388667,0.111,0.111,0.111,0.277667,0.0,0.0,0.388667,0.0,0.388667,0.388667,1.0,E,False,III,Major
22.0,0.277667,0.0,0.0,0.0555,0.0,0.333333,0.0,0.0,0.0,0.1665,0.1665,0.277667,0.277667,0.222167,0.277667,0.055666,0.277667,0.277667,0.277667,0.111167,0.111167,0.0,0.0555,0.0,0.333333,0.0,0.0,0.0,0.1665,0.1665,0.0555,0.0,0.333333,0.0,0.0,0.0,0.1665,0.1665,0.0555,0.277833,0.0555,0.0555,0.0555,0.111,0.111,0.333333,0.0,0.0,0.0,0.1665,0.1665,0.333333,0.333333,0.333333,0.166833,0.166833,0.0,0.0,0.1665,0.1665,0.0,0.1665,0.1665,0.1665,0.1665,0.0,1.0,B,False,V+7,Dominant seventh
24.0,0.0,0.388667,0.0,0.0,0.0,0.111,0.0555,0.0,0.0,0.0,0.444333,0.388667,0.0,0.0,0.0,0.111,0.0555,0.0,0.0,0.0,0.444333,0.388667,0.388667,0.388667,0.277667,0.333167,0.388667,0.388667,0.388667,0.055666,0.0,0.0,0.111,0.0555,0.0,0.0,0.0,0.444333,0.0,0.111,0.0555,0.0,0.0,0.0,0.444333,0.111,0.0555,0.0,0.0,0.0,0.444333,0.0555,0.111,0.111,0.111,0.333333,0.0555,0.0555,0.0555,0.388833,0.0,0.0,0.444333,0.0,0.444333,0.444333,1.0,B,False,I,Minor
26.0,0.0,0.388667,0.0,0.0,0.1665,0.0,0.0,0.0555,0.0,0.0,0.388667,0.388667,0.0,0.0,0.1665,0.0,0.0,0.0555,0.0,0.0,0.388667,0.388667,0.388667,0.222167,0.388667,0.388667,0.333167,0.388667,0.388667,0.0,0.0,0.1665,0.0,0.0,0.0555,0.0,0.0,0.388667,0.1665,0.0,0.0,0.0555,0.0,0.0,0.388667,0.1665,0.1665,0.111,0.1665,0.1665,0.222167,0.0,0.0555,0.0,0.0,0.388667,0.0555,0.0,0.0,0.388667,0.0555,0.0555,0.333167,0.0,0.388667,0.388667,1.0,F#,False,VIIdim7,Diminished seventh
28.0,0.388667,0.0,0.0,0.0555,0.0,0.1665,0.02775,0.0,0.0,0.194333,0.1665,0.388667,0.388667,0.333167,0.388667,0.222167,0.360917,0.388667,0.388667,0.194334,0.222167,0.0,0.0555,0.0,0.1665,0.02775,0.0,0.0,0.194333,0.1665,0.0555,0.0,0.1665,0.02775,0.0,0.0,0.194333,0.1665,0.0555,0.111,0.02775,0.0555,0.0555,0.138833,0.111,0.1665,0.02775,0.0,0.0,0.194333,0.1665,0.13875,0.1665,0.1665,0.027833,0.0,0.02775,0.02775,0.166583,0.13875,0.0,0.194333,0.1665,0.194333,0.1665,0.027833,1.0,B,False,V+7,Dominant seventh
32.0,0.0,0.0,0.0,0.0,0.0,0.166417,0.0,0.0,0.0,0.0,0.833083,0.0,0.0,0.0,0.0,0.166417,0.0,0.0,0.0,0.0,0.833083,0.0,0.0,0.0,0.166417,0.0,0.0,0.0,0.0,0.833083,0.0,0.0,0.166417,0.0,0.0,0.0,0.0,0.833083,0.0,0.166417,0.0,0.0,0.0,0.0,0.833083,0.166417,0.0,0.0,0.0,0.0,0.833083,0.166417,0.166417,0.166417,0.166417,0.666666,0.0,0.0,0.0,0.833083,0.0,0.0,0.833083,0.0,0.833083,0.833083,1.0,B,False,I,Minor
