offset,0/1,0/2,0/3,0/4,0/5,0/6,0/7,0/8,0/9,0/10,0/11,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,4/5,4/6,4/7,4/8,4/9,4/10,4/11,5/6,5/7,5/8,5/9,5/10,5/11,6/7,6/8,6/9,6/10,6/11,7/8,7/9,7/10,7/11,8/9,8/10,8/11,9/10,9/11,10/11,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.75,0.25,0.0,0.75,0.25,0.75,0.25,0.5,1.0,,,,
0.5,0.611111,0.0,0.0,0.0,0.166667,0.0,0.0,0.055556,0.0,0.055556,0.111111,0.611111,0.611111,0.611111,0.444444,0.611111,0.611111,0.555555,0.611111,0.555555,0.5,0.0,0.0,0.166667,0.0,0.0,0.055556,0.0,0.055556,0.111111,0.0,0.166667,0.0,0.0,0.055556,0.0,0.055556,0.111111,0.166667,0.0,0.0,0.055556,0.0,0.055556,0.111111,0.166667,0.166667,0.111111,0.166667,0.111111,0.055556,0.0,0.055556,0.0,0.055556,0.111111,0.055556,0.0,0.055556,0.111111,0.055556,0.0,0.055555,0.055556,0.111111,0.055555,1.0,F#,True,V7,Dominant seventh
2.5,0.472222,0.0,0.027778,0.0,0.0,0.25,0.0,0.0,0.0,0.222222,0.027778,0.472222,0.444444,0.472222,0.472222,0.222222,0.472222,0.472222,0.472222,0.25,0.444444,0.027778,0.0,0.0,0.25,0.0,0.0,0.0,0.222222,0.027778,0.027778,0.027778,0.222222,0.027778,0.027778,0.027778,0.194444,0.0,0.0,0.25,0.0,0.0,0.0,0.222222,0.027778,0.25,0.0,0.0,0.0,0.222222,0.027778,0.25,0.25,0.25,0.027778,0.222222,0.0,0.0,0.222222,0.027778,0.0,0.222222,0.027778,0.222222,0.027778,0.194444,1.0,F#,True,I,Major
4.5,0.6,0.044444,0.0,0.0,0.155556,0.0,0.0,0.044444,0.0,0.044444,0.111111,0.555556,0.6,0.6,0.444444,0.6,0.6,0.555556,0.6,0.555556,0.488889,0.044444,0.044444,0.111112,0.044444,0.044444,0.0,0.044444,0.0,0.066667,0.0,0.155556,0.0,0.0,0.044444,0.0,0.044444,0.111111,0.155556,0.0,0.0,0.044444,0.0,0.044444,0.111111,0.155556,0.155556,0.111112,0.155556,0.111112,0.044445,0.0,0.044444,0.0,0.044444,0.111111,0.044444,0.0,0.044444,0.111111,0.044444,0.0,0.066667,0.044444,0.111111,0.066667,1.0,F#,True,V7,Dominant seventh
6.5,0.494444,0.0,0.022222,0.0,0.0,0.266667,0.0,0.0,0.0,0.133333,0.083333,0.494444,0.472222,0.494444,0.494444,0.227777,0.494444,0.494444,0.494444,0.361111,0.411111,0.022222,0.0,0.0,0.266667,0.0,0.0,0.0,0.133333,0.083333,0.022222,0.022222,0.244445,0.022222,0.022222,0.022222,0.111111,0.061111,0.0,0.266667,0.0,0.0,0.0,0.133333,0.083333,0.266667,0.0,0.0,0.0,0.133333,0.083333,0.266667,0.266667,0.266667,0.133334,0.183334,0.0,0.0,0.133333,0.083333,0.0,0.133333,0.083333,0.133333,0.083333,0.05,1.0,F#,True,I,Major
8.5,0.111111,0.0,0.611111,0.0,0.0,0.0,0.166667,0.0,0.0,0.055556,0.055556,0.111111,0.5,0.111111,0.111111,0.111111,0.055556,0.111111,0.111111,0.055555,0.055555,0.611111,0.0,0.0,0.0,0.166667,0.0,0.0,0.055556,0.055556,0.611111,0.611111,0.611111,0.444444,0.611111,0.611111,0.555555,0.555555,0.0,0.0,0.166667,0.0,0.0,0.055556,0.055556,0.0,0.166667,0.0,0.0,0.055556,0.055556,0.166667,0.0,0.0,0.055556,0.055556,0.166667,0.166667,0.111111,0.111111,0.0,0.055556,0.055556,0.055556,0.055556,0.0,1.0,G#,False,V+,Major
10.5,0.0,0.0,0.333333,0.0,0.0,0.166667,0.0,0.333333,0.0,0.0,0.166667,0.0,0.333333,0.0,0.0,0.166667,0.0,0.333333,0.0,0.0,0.166667,0.333333,0.0,0.0,0.166667,0.0,0.333333,0.0,0.0,0.166667,0.333333,0.333333,0.166666,0.333333,0.0,0.333333,0.333333,0.166666,0.0,0.166667,0.0,0.333333,0.0,0.0,0.166667,0.166667,0.0,0.333333,0.0,0.0,0.166667,0.166667,0.166666,0.166667,0.166667,0.0,0.333333,0.0,0.0,0.166667,0.333333,0.333333,0.166666,0.0,0.166667,0.166667,1.0,G#,False,I,Minor
11.5,0.0,0.0,0.416667,0.0,0.0,0.166667,0.0,0.25,0.0,0.0,0.166667,0.0,0.416667,0.0,0.0,0.166667,0.0,0.25,0.0,0.0,0.166667,0.416667,0.0,0.0,0.166667,0.0,0.25,0.0,0.0,0.166667,0.416667,0.416667,0.25,0.416667,0.166667,0.416667,0.416667,0.25,0.0,0.166667,0.0,0.25,0.0,0.0,0.166667,0.166667,0.0,0.25,0.0,0.0,0.166667,0.166667,0.083333,0.166667,0.166667,0.0,0.25,0.0,0.0,0.166667,0.25,0.25,0.083333,0.0,0.166667,0.166667,1.0,F#,True,II,Minor
12.5,0.249369,0.0,0.249369,0.0,0.0,0.0,0.0,0.249369,0.0,0.252398,0.0,0.249369,0.0,0.249369,0.249369,0.249369,0.249369,0.0,0.249369,0.003029,0.249369,0.249369,0.0,0.0,0.0,0.0,0.249369,0.0,0.252398,0.0,0.249369,0.249369,0.249369,0.249369,0.0,0.249369,0.003029,0.249369,0.0,0.0,0.0,0.249369,0.0,0.252398,0.0,0.0,0.0,0.249369,0.0,0.252398,0.0,0.0,0.249369,0.0,0.252398,0.0,0.249369,0.0,0.252398,0.0,0.249369,0.003029,0.249369,0.252398,0.0,0.252398,1.0,F#,True,I,Major
13.0,0.25,0.0,0.25,0.0,0.0,0.247,0.0,0.003,0.0,0.0625,0.1875,0.25,0.0,0.25,0.25,0.003,0.25,0.247,0.25,0.1875,0.0625,0.25,0.0,0.0,0.247,0.0,0.003,0.0,0.0625,0.1875,0.25,0.25,0.003,0.25,0.247,0.25,0.1875,0.0625,0.0,0.247,0.0,0.003,0.0,0.0625,0.1875,0.247,0.0,0.003,0.0,0.0625,0.1875,0.247,0.244,0.247,0.1845,0.0595,0.003,0.0,0.0625,0.1875,0.003,0.0595,0.1845,0.0625,0.1875,0.125,1.0,F#,True,IV,Major
