offset,0/1,0/2,0/3,0/4,0/5,0/6,0/7,0/8,0/9,0/10,0/11,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,4/5,4/6,4/7,4/8,4/9,4/10,4/11,5/6,5/7,5/8,5/9,5/10,5/11,6/7,6/8,6/9,6/10,6/11,7/8,7/9,7/10,7/11,8/9,8/10,8/11,9/10,9/11,10/11,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.333333,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.333333,0.0,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.333333,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.333333,0.0,0.333333,0.0,0.0,0.333333,0.0,0.333333,0.0,0.333333,0.0,0.333333,0.0,0.333333,0.0,0.333333,0.0,0.333333,0.0,0.333333,0.0,0.333333,0.333333,0.0,0.333333,0.0,0.333333,0.0,0.333333,0.333333,0.0,0.333333,1.0,,,,
0.375,0.1875,0.1875,0.0,0.1875,0.0,0.125,0.0625,0.0,0.0625,0.0,0.1875,0.0,0.1875,0.0,0.1875,0.0625,0.125,0.1875,0.125,0.1875,0.0,0.1875,0.0,0.1875,0.0625,0.125,0.1875,0.125,0.1875,0.0,0.1875,0.0,0.125,0.0625,0.0,0.0625,0.0,0.1875,0.1875,0.0625,0.125,0.1875,0.125,0.1875,0.0,0.125,0.0625,0.0,0.0625,0.0,0.1875,0.0625,0.125,0.0625,0.125,0.0625,0.0625,0.0,0.0625,0.125,0.0625,0.0,0.1875,0.0625,0.125,0.1875,1.0,B,False,I,Minor
2.375,0.125,0.0625,0.0,0.0,0.0,0.0625,0.25,0.0,0.3125,0.0,0.1875,0.0625,0.125,0.125,0.125,0.0625,0.125,0.125,0.1875,0.125,0.0625,0.0625,0.0625,0.0625,0.0,0.1875,0.0625,0.25,0.0625,0.125,0.0,0.0,0.0625,0.25,0.0,0.3125,0.0,0.1875,0.0,0.0625,0.25,0.0,0.3125,0.0,0.1875,0.0625,0.25,0.0,0.3125,0.0,0.1875,0.1875,0.0625,0.25,0.0625,0.125,0.25,0.0625,0.25,0.0625,0.3125,0.0,0.1875,0.3125,0.125,0.1875,1.0,B,False,VI,Major
4.375,0.0,0.0,0.0,0.0625,0.0625,0.0,0.125,0.0,0.0,0.375,0.375,0.0,0.0,0.0625,0.0625,0.0,0.125,0.0,0.0,0.375,0.375,0.0,0.0625,0.0625,0.0,0.125,0.0,0.0,0.375,0.375,0.0625,0.0625,0.0,0.125,0.0,0.0,0.375,0.375,0.0,0.0625,0.0625,0.0625,0.0625,0.3125,0.3125,0.0625,0.0625,0.0625,0.0625,0.3125,0.3125,0.125,0.0,0.0,0.375,0.375,0.125,0.125,0.25,0.25,0.0,0.375,0.375,0.375,0.375,0.0,1.0,B,False,IV,Minor
6.375,0.111111,0.125,0.0,0.027778,0.0,0.375,0.0,0.0,0.0,0.0,0.361111,0.013889,0.111111,0.083333,0.111111,0.263889,0.111111,0.111111,0.111111,0.111111,0.25,0.125,0.097222,0.125,0.25,0.125,0.125,0.125,0.125,0.236111,0.027778,0.0,0.375,0.0,0.0,0.0,0.0,0.361111,0.027778,0.347222,0.027778,0.027778,0.027778,0.027778,0.333333,0.375,0.0,0.0,0.0,0.0,0.361111,0.375,0.375,0.375,0.375,0.013889,0.0,0.0,0.0,0.361111,0.0,0.0,0.361111,0.0,0.361111,0.361111,1.0,B,False,I,Minor
9.375,0.041667,0.041667,0.0,0.083333,0.0,0.125,0.041667,0.0,0.0,0.666667,0.0,0.0,0.041667,0.041666,0.041667,0.083333,0.0,0.041667,0.041667,0.625,0.041667,0.041667,0.041666,0.041667,0.083333,0.0,0.041667,0.041667,0.625,0.041667,0.083333,0.0,0.125,0.041667,0.0,0.0,0.666667,0.0,0.083333,0.041667,0.041666,0.083333,0.083333,0.583334,0.083333,0.125,0.041667,0.0,0.0,0.666667,0.0,0.083333,0.125,0.125,0.541667,0.125,0.041667,0.041667,0.625,0.041667,0.0,0.666667,0.0,0.666667,0.0,0.666667,1.0,B,False,V+7,Dominant seventh
10.375,0.229167,0.416667,0.0,0.0625,0.0,0.041667,0.020833,0.0,0.020833,0.0,0.208333,0.1875,0.229167,0.166667,0.229167,0.1875,0.208334,0.229167,0.208334,0.229167,0.020834,0.416667,0.354167,0.416667,0.375,0.395834,0.416667,0.395834,0.416667,0.208334,0.0625,0.0,0.041667,0.020833,0.0,0.020833,0.0,0.208333,0.0625,0.020833,0.041667,0.0625,0.041667,0.0625,0.145833,0.041667,0.020833,0.0,0.020833,0.0,0.208333,0.020834,0.041667,0.020834,0.041667,0.166666,0.020833,0.0,0.020833,0.1875,0.020833,0.0,0.208333,0.020833,0.1875,0.208333,1.0,B,False,I,Minor
12.375,0.0,0.791667,0.0,0.0,0.125,0.0,0.0,0.041667,0.0,0.0,0.041667,0.791667,0.0,0.0,0.125,0.0,0.0,0.041667,0.0,0.0,0.041667,0.791667,0.791667,0.666667,0.791667,0.791667,0.75,0.791667,0.791667,0.75,0.0,0.125,0.0,0.0,0.041667,0.0,0.0,0.041667,0.125,0.0,0.0,0.041667,0.0,0.0,0.041667,0.125,0.125,0.083333,0.125,0.125,0.083333,0.0,0.041667,0.0,0.0,0.041667,0.041667,0.0,0.0,0.041667,0.041667,0.041667,0.0,0.0,0.041667,0.041667,1.0,B,False,IV+,Major
13.375,0.708333,0.0,0.0,0.083333,0.0,0.083333,0.083333,0.0,0.0,0.041667,0.0,0.708333,0.708333,0.625,0.708333,0.625,0.625,0.708333,0.708333,0.666666,0.708333,0.0,0.083333,0.0,0.083333,0.083333,0.0,0.0,0.041667,0.0,0.083333,0.0,0.083333,0.083333,0.0,0.0,0.041667,0.0,0.083333,0.0,0.0,0.083333,0.083333,0.041666,0.083333,0.083333,0.083333,0.0,0.0,0.041667,0.0,0.0,0.083333,0.083333,0.041666,0.083333,0.083333,0.083333,0.041666,0.083333,0.0,0.041667,0.0,0.041667,0.0,0.041667,1.0,B,False,V+7,Dominant seventh
14.375,0.041667,0.229167,0.0,0.208333,0.0,0.375,0.041667,0.0,0.041667,0.0,0.0625,0.1875,0.041667,0.166666,0.041667,0.333333,0.0,0.041667,0.0,0.041667,0.020833,0.229167,0.020834,0.229167,0.145833,0.1875,0.229167,0.1875,0.229167,0.166667,0.208333,0.0,0.375,0.041667,0.0,0.041667,0.0,0.0625,0.208333,0.166667,0.166666,0.208333,0.166666,0.208333,0.145833,0.375,0.041667,0.0,0.041667,0.0,0.0625,0.333333,0.375,0.333333,0.375,0.3125,0.041667,0.0,0.041667,0.020833,0.041667,0.0,0.0625,0.041667,0.020833,0.0625,1.0,B,False,I,Minor
