offset,0/1,0/2,0/3,0/4,0/5,0/6,0/7,0/8,0/9,0/10,0/11,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,4/5,4/6,4/7,4/8,4/9,4/10,4/11,5/6,5/7,5/8,5/9,5/10,5/11,6/7,6/8,6/9,6/10,6/11,7/8,7/9,7/10,7/11,8/9,8/10,8/11,9/10,9/11,10/11,total,tonic,is_major,numeral,chord_tonality
0.0,0.289474,0.0,0.0,0.0,0.289474,0.0,0.0,0.421053,0.0,0.0,0.0,0.289474,0.289474,0.289474,0.0,0.289474,0.289474,0.131579,0.289474,0.289474,0.289474,0.0,0.0,0.289474,0.0,0.0,0.421053,0.0,0.0,0.0,0.0,0.289474,0.0,0.0,0.421053,0.0,0.0,0.0,0.289474,0.0,0.0,0.421053,0.0,0.0,0.0,0.289474,0.289474,0.131579,0.289474,0.289474,0.289474,0.0,0.421053,0.0,0.0,0.0,0.421053,0.0,0.0,0.0,0.421053,0.421053,0.421053,0.0,0.0,0.0,1.0,D-,True,I,Major
3.0,0.285714,0.0,0.0,0.0,0.285714,0.0,0.0,0.142857,0.0,0.285714,0.0,0.285714,0.285714,0.285714,0.0,0.285714,0.285714,0.142857,0.285714,0.0,0.285714,0.0,0.0,0.285714,0.0,0.0,0.142857,0.0,0.285714,0.0,0.0,0.285714,0.0,0.0,0.142857,0.0,0.285714,0.0,0.285714,0.0,0.0,0.142857,0.0,0.285714,0.0,0.285714,0.285714,0.142857,0.285714,0.0,0.285714,0.0,0.142857,0.0,0.285714,0.0,0.142857,0.0,0.285714,0.0,0.142857,0.142857,0.142857,0.285714,0.0,0.285714,1.0,D-,True,VI,Minor
4.0,0.26087,0.26087,0.0,0.26087,0.26087,0.0,0.26087,0.086957,0.26087,0.217392,0.26087,0.0,0.26087,0.0,0.0,0.26087,0.0,0.173913,0.0,0.043478,0.0,0.26087,0.0,0.0,0.26087,0.0,0.173913,0.0,0.043478,0.0,0.26087,0.26087,0.0,0.26087,0.086957,0.26087,0.217392,0.26087,0.0,0.26087,0.0,0.173913,0.0,0.043478,0.0,0.26087,0.0,0.173913,0.0,0.043478,0.0,0.26087,0.086957,0.26087,0.217392,0.26087,0.173913,0.0,0.043478,0.0,0.173913,0.130435,0.173913,0.043478,0.0,0.043478,1.0,D-,True,V,Major
7.0,0.571429,0.0,0.0,0.0,0.285714,0.0,0.0,0.142857,0.0,0.0,0.0,0.571429,0.571429,0.571429,0.285715,0.571429,0.571429,0.428572,0.571429,0.571429,0.571429,0.0,0.0,0.285714,0.0,0.0,0.142857,0.0,0.0,0.0,0.0,0.285714,0.0,0.0,0.142857,0.0,0.0,0.0,0.285714,0.0,0.0,0.142857,0.0,0.0,0.0,0.285714,0.285714,0.142857,0.285714,0.285714,0.285714,0.0,0.142857,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.142857,0.142857,0.142857,0.0,0.0,0.0,1.0,D-,True,I,Major
8.0,0.25,0.25,0.1875,0.25,0.229167,0.020833,0.25,0.020833,0.25,0.083333,0.25,0.0,0.0625,0.0,0.020833,0.229167,0.0,0.270833,0.0,0.166667,0.0,0.0625,0.0,0.020833,0.229167,0.0,0.270833,0.0,0.166667,0.0,0.0625,0.041667,0.166667,0.0625,0.208333,0.0625,0.104167,0.0625,0.020833,0.229167,0.0,0.270833,0.0,0.166667,0.0,0.208334,0.020833,0.25,0.020833,0.145834,0.020833,0.229167,0.041666,0.229167,0.0625,0.229167,0.270833,0.0,0.166667,0.0,0.270833,0.104166,0.270833,0.166667,0.0,0.166667,1.0,D-,True,V,Major
11.0,0.09081,0.09081,0.09081,0.09081,0.18271,0.09081,0.09081,0.36324,0.09081,0.09081,0.09081,0.18162,0.18162,0.18162,0.0919,0.18162,0.18162,0.27243,0.18162,0.18162,0.18162,0.0,0.0,0.27352,0.0,0.0,0.45405,0.0,0.0,0.0,0.0,0.27352,0.0,0.0,0.45405,0.0,0.0,0.0,0.27352,0.0,0.0,0.45405,0.0,0.0,0.0,0.27352,0.27352,0.18053,0.27352,0.27352,0.27352,0.0,0.45405,0.0,0.0,0.0,0.45405,0.0,0.0,0.0,0.45405,0.45405,0.45405,0.0,0.0,0.0,1.0,D-,True,I,Major
12.00625,0.333445,0.333445,0.333445,0.333445,0.0,0.167729,0.333445,0.165716,0.333445,0.333445,0.333445,0.0,0.0,0.0,0.333445,0.165716,0.0,0.167729,0.0,0.0,0.0,0.0,0.0,0.333445,0.165716,0.0,0.167729,0.0,0.0,0.0,0.0,0.333445,0.165716,0.0,0.167729,0.0,0.0,0.0,0.333445,0.165716,0.0,0.167729,0.0,0.0,0.0,0.167729,0.333445,0.165716,0.333445,0.333445,0.333445,0.165716,0.002013,0.165716,0.165716,0.165716,0.167729,0.0,0.0,0.0,0.167729,0.167729,0.167729,0.0,0.0,0.0,1.0,D-,True,III,Minor
13.00625,0.165289,0.167273,0.0,0.167273,0.001984,0.16529,0.167273,0.001984,0.167273,0.167273,0.167273,0.332562,0.165289,0.332562,0.167273,0.330579,0.332562,0.167273,0.332562,0.332562,0.332562,0.167273,0.0,0.165289,0.001983,0.0,0.165289,0.0,0.0,0.0,0.167273,0.001984,0.16529,0.167273,0.001984,0.167273,0.167273,0.167273,0.165289,0.001983,0.0,0.165289,0.0,0.0,0.0,0.163306,0.165289,0.0,0.165289,0.165289,0.165289,0.001983,0.163306,0.001983,0.001983,0.001983,0.165289,0.0,0.0,0.0,0.165289,0.165289,0.165289,0.0,0.0,0.0,1.0,D-,True,V,Major
14.00625,0.11551,0.152386,0.074295,0.152386,0.074295,0.0,0.152386,0.118764,0.152386,0.152386,0.152386,0.267896,0.189805,0.267896,0.189805,0.11551,0.267896,0.003254,0.267896,0.267896,0.267896,0.078091,0.0,0.078091,0.152386,0.0,0.27115,0.0,0.0,0.0,0.078091,0.0,0.074295,0.078091,0.193059,0.078091,0.078091,0.078091,0.078091,0.152386,0.0,0.27115,0.0,0.0,0.0,0.074295,0.078091,0.193059,0.078091,0.078091,0.078091,0.152386,0.118764,0.152386,0.152386,0.152386,0.27115,0.0,0.0,0.0,0.27115,0.27115,0.27115,0.0,0.0,0.0,1.0,D-,True,I,Major
15.00625,0.132246,0.045289,0.041667,0.132246,0.045289,0.086957,0.132246,0.169686,0.132246,0.132246,0.132246,0.086957,0.173913,0.0,0.086957,0.219203,0.0,0.301932,0.0,0.0,0.0,0.086956,0.086957,0.0,0.132246,0.086957,0.214975,0.086957,0.086957,0.086957,0.173913,0.086956,0.04529,0.173913,0.128019,0.173913,0.173913,0.173913,0.086957,0.219203,0.0,0.301932,0.0,0.0,0.0,0.132246,0.086957,0.214975,0.086957,0.086957,0.086957,0.219203,0.082729,0.219203,0.219203,0.219203,0.301932,0.0,0.0,0.0,0.301932,0.301932,0.301932,0.0,0.0,0.0,1.0,D-,True,V,Major
