offset,0/1,0/2,0/3,0/4,0/5,0/6,0/7,0/8,0/9,0/10,0/11,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,4/5,4/6,4/7,4/8,4/9,4/10,4/11,5/6,5/7,5/8,5/9,5/10,5/11,6/7,6/8,6/9,6/10,6/11,7/8,7/9,7/10,7/11,8/9,8/10,8/11,9/10,9/11,10/11,total,tonic,is_major,numeral,chord_tonality
0.0,0.2,0.15,0.2,0.15,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.05,0.0,0.35,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.05,0.3,0.05,0.05,0.05,0.05,0.35,0.05,0.05,0.35,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.35,0.35,0.35,0.35,0.05,0.35,0.35,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.4,0.0,1.0,A,False,I,Minor
3.0,0.0,0.1,0.0,0.0,0.25,0.0,0.05,0.0,0.4,0.0,0.2,0.1,0.0,0.0,0.25,0.0,0.05,0.0,0.4,0.0,0.2,0.1,0.1,0.15,0.1,0.05,0.1,0.3,0.1,0.1,0.0,0.25,0.0,0.05,0.0,0.4,0.0,0.2,0.25,0.0,0.05,0.0,0.4,0.0,0.2,0.25,0.2,0.25,0.15,0.25,0.05,0.05,0.0,0.4,0.0,0.2,0.05,0.35,0.05,0.15,0.4,0.0,0.2,0.4,0.2,0.2,1.0,A,False,IIdim,Diminished
6.0,0.2,0.15,0.2,0.15,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.05,0.0,0.35,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.05,0.3,0.05,0.05,0.05,0.05,0.35,0.05,0.05,0.35,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.35,0.35,0.35,0.35,0.05,0.35,0.35,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.4,0.0,1.0,A,False,I,Minor
9.0,0.0,0.1,0.0,0.0,0.25,0.0,0.05,0.0,0.4,0.0,0.2,0.1,0.0,0.0,0.25,0.0,0.05,0.0,0.4,0.0,0.2,0.1,0.1,0.15,0.1,0.05,0.1,0.3,0.1,0.1,0.0,0.25,0.0,0.05,0.0,0.4,0.0,0.2,0.25,0.0,0.05,0.0,0.4,0.0,0.2,0.25,0.2,0.25,0.15,0.25,0.05,0.05,0.0,0.4,0.0,0.2,0.05,0.35,0.05,0.15,0.4,0.0,0.2,0.4,0.2,0.2,1.0,A,False,IIdim,Diminished
12.0,0.254907,0.254907,0.19118,0.195386,0.151415,0.254907,0.254907,0.254907,0.127454,0.254907,0.254907,0.0,0.063727,0.450293,0.103492,0.0,0.0,0.0,0.127453,0.0,0.0,0.063727,0.450293,0.103492,0.0,0.0,0.0,0.127453,0.0,0.0,0.386566,0.039765,0.063727,0.063727,0.063727,0.063726,0.063727,0.063727,0.346801,0.450293,0.450293,0.450293,0.32284,0.450293,0.450293,0.103492,0.103492,0.103492,0.023961,0.103492,0.103492,0.0,0.0,0.127453,0.0,0.0,0.0,0.127453,0.0,0.0,0.127453,0.0,0.0,0.127453,0.127453,0.0,1.0,A,False,I,Minor
15.0,0.2,0.2,0.0,0.1,0.2,0.1,0.2,0.2,0.05,0.2,0.15,0.0,0.2,0.3,0.0,0.1,0.0,0.0,0.15,0.0,0.05,0.2,0.3,0.0,0.1,0.0,0.0,0.15,0.0,0.05,0.1,0.2,0.1,0.2,0.2,0.05,0.2,0.15,0.3,0.2,0.3,0.3,0.15,0.3,0.25,0.1,0.0,0.0,0.15,0.0,0.05,0.1,0.1,0.05,0.1,0.05,0.0,0.15,0.0,0.05,0.15,0.0,0.05,0.15,0.1,0.05,1.0,E,True,V,Major
18.0,0.041667,0.125,0.041667,0.458333,0.041667,0.041667,0.041667,0.041666,0.041667,0.0,0.125,0.166667,0.0,0.5,0.0,0.0,0.0,0.083333,0.0,0.041667,0.166667,0.166667,0.333333,0.166667,0.166667,0.166667,0.083334,0.166667,0.125,0.0,0.5,0.0,0.0,0.0,0.083333,0.0,0.041667,0.166667,0.5,0.5,0.5,0.416667,0.5,0.458333,0.333333,0.0,0.0,0.083333,0.0,0.041667,0.166667,0.0,0.083333,0.0,0.041667,0.166667,0.083333,0.0,0.041667,0.166667,0.083333,0.041666,0.083334,0.041667,0.166667,0.125,1.0,E,True,I,Major
22.0,0.111111,0.111111,0.111111,0.222222,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,0.0,0.222222,0.0,0.333333,0.0,0.0,0.0,0.222222,0.0,0.0,0.111111,0.222222,0.111111,0.222222,0.222222,0.222222,0.0,0.222222,0.222222,0.111111,0.333333,0.0,0.0,0.0,0.222222,0.0,0.0,0.111111,0.333333,0.333333,0.333333,0.111111,0.333333,0.333333,0.222222,0.0,0.0,0.222222,0.0,0.0,0.111111,0.0,0.222222,0.0,0.0,0.111111,0.222222,0.0,0.0,0.111111,0.222222,0.222222,0.111111,0.0,0.111111,0.111111,1.0,A,False,V+,Major
24.0,0.2,0.15,0.2,0.15,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.05,0.0,0.35,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.05,0.3,0.05,0.05,0.05,0.05,0.35,0.05,0.05,0.35,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.35,0.35,0.35,0.35,0.05,0.35,0.35,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.4,0.0,1.0,A,False,I,Minor
27.0,0.0,0.1,0.0,0.0,0.25,0.0,0.05,0.0,0.4,0.0,0.2,0.1,0.0,0.0,0.25,0.0,0.05,0.0,0.4,0.0,0.2,0.1,0.1,0.15,0.1,0.05,0.1,0.3,0.1,0.1,0.0,0.25,0.0,0.05,0.0,0.4,0.0,0.2,0.25,0.0,0.05,0.0,0.4,0.0,0.2,0.25,0.2,0.25,0.15,0.25,0.05,0.05,0.0,0.4,0.0,0.2,0.05,0.35,0.05,0.15,0.4,0.0,0.2,0.4,0.2,0.2,1.0,A,False,IIdim,Diminished
