offset,0/1,0/2,0/3,0/4,0/5,0/6,0/7,0/8,0/9,0/10,0/11,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,4/5,4/6,4/7,4/8,4/9,4/10,4/11,5/6,5/7,5/8,5/9,5/10,5/11,6/7,6/8,6/9,6/10,6/11,7/8,7/9,7/10,7/11,8/9,8/10,8/11,9/10,9/11,10/11,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.35,0.35,0.35,0.35,0.35,0.05,0.35,0.35,0.35,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.35,0.0,0.0,0.3,0.0,0.0,0.0,0.35,0.0,0.3,0.0,0.0,0.0,0.35,0.3,0.0,0.0,0.0,0.35,0.3,0.3,0.3,0.05,0.0,0.0,0.35,0.0,0.35,0.35,1.0,G,True,I,Major
2.0,0.5,0.5,0.5,0.166667,0.5,0.5,0.5,0.5,0.333333,0.5,0.5,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.333333,0.333333,0.333333,0.333333,0.166666,0.333333,0.333333,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0,0.0,0.166667,0.166667,0.0,1.0,G,True,II,Minor
3.5,0.25,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,1.0,G,True,V7,Dominant seventh
5.0,0.0,0.25,0.0,0.0,0.0,0.0,0.388889,0.0,0.0,0.0,0.361111,0.25,0.0,0.0,0.0,0.0,0.388889,0.0,0.0,0.0,0.361111,0.25,0.25,0.25,0.25,0.138889,0.25,0.25,0.25,0.111111,0.0,0.0,0.0,0.388889,0.0,0.0,0.0,0.361111,0.0,0.0,0.388889,0.0,0.0,0.0,0.361111,0.0,0.388889,0.0,0.0,0.0,0.361111,0.388889,0.0,0.0,0.0,0.361111,0.388889,0.388889,0.388889,0.027778,0.0,0.0,0.361111,0.0,0.361111,0.361111,1.0,G,True,I,Major
8.0,0.5,0.5,0.5,0.166667,0.5,0.5,0.5,0.5,0.333333,0.5,0.5,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.333333,0.333333,0.333333,0.333333,0.166666,0.333333,0.333333,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0,0.0,0.166667,0.166667,0.0,1.0,G,True,II,Minor
9.5,0.25,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,1.0,G,True,V7,Dominant seventh
11.0,0.0,0.115385,0.0,0.0,0.0,0.0,0.615385,0.0,0.0,0.0,0.269231,0.115385,0.0,0.0,0.0,0.0,0.615385,0.0,0.0,0.0,0.269231,0.115385,0.115385,0.115385,0.115385,0.5,0.115385,0.115385,0.115385,0.153846,0.0,0.0,0.0,0.615385,0.0,0.0,0.0,0.269231,0.0,0.0,0.615385,0.0,0.0,0.0,0.269231,0.0,0.615385,0.0,0.0,0.0,0.269231,0.615385,0.0,0.0,0.0,0.269231,0.615385,0.615385,0.615385,0.346154,0.0,0.0,0.269231,0.0,0.269231,0.269231,1.0,G,True,I,Major
14.0,0.333333,0.166666,0.333333,0.333333,0.333333,0.0,0.333333,0.333333,0.166666,0.333333,0.333333,0.166667,0.0,0.0,0.0,0.333333,0.0,0.0,0.166667,0.0,0.0,0.166667,0.166667,0.166667,0.166666,0.166667,0.166667,0.0,0.166667,0.166667,0.0,0.0,0.333333,0.0,0.0,0.166667,0.0,0.0,0.0,0.333333,0.0,0.0,0.166667,0.0,0.0,0.333333,0.0,0.0,0.166667,0.0,0.0,0.333333,0.333333,0.166666,0.333333,0.333333,0.0,0.166667,0.0,0.0,0.166667,0.0,0.0,0.166667,0.166667,0.0,1.0,G,True,V7,Dominant seventh
17.0,0.0,0.133333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.533333,0.133333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.533333,0.133333,0.133333,0.133333,0.133333,0.2,0.133333,0.133333,0.133333,0.4,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.533333,0.0,0.0,0.333333,0.0,0.0,0.0,0.533333,0.0,0.333333,0.0,0.0,0.0,0.533333,0.333333,0.0,0.0,0.0,0.533333,0.333333,0.333333,0.333333,0.2,0.0,0.0,0.533333,0.0,0.533333,0.533333,1.0,G,True,I,Major
20.0,0.190476,0.047619,0.190476,0.190476,0.190476,0.0,0.190476,0.190476,0.190476,0.190476,0.190476,0.238095,0.0,0.0,0.0,0.190476,0.0,0.0,0.380952,0.0,0.0,0.238095,0.238095,0.238095,0.047619,0.238095,0.238095,0.142857,0.238095,0.238095,0.0,0.0,0.190476,0.0,0.0,0.380952,0.0,0.0,0.0,0.190476,0.0,0.0,0.380952,0.0,0.0,0.190476,0.0,0.0,0.380952,0.0,0.0,0.190476,0.190476,0.190476,0.190476,0.190476,0.0,0.380952,0.0,0.0,0.380952,0.0,0.0,0.380952,0.380952,0.0,1.0,G,True,V7,Dominant seventh
23.0,0.0,0.153846,0.0,0.0,0.0,0.0,0.538462,0.0,0.0,0.0,0.307692,0.153846,0.0,0.0,0.0,0.0,0.538462,0.0,0.0,0.0,0.307692,0.153846,0.153846,0.153846,0.153846,0.384616,0.153846,0.153846,0.153846,0.153846,0.0,0.0,0.0,0.538462,0.0,0.0,0.0,0.307692,0.0,0.0,0.538462,0.0,0.0,0.0,0.307692,0.0,0.538462,0.0,0.0,0.0,0.307692,0.538462,0.0,0.0,0.0,0.307692,0.538462,0.538462,0.538462,0.23077,0.0,0.0,0.307692,0.0,0.307692,0.307692,1.0,G,True,I,Major
26.0,0.208333,0.083334,0.208333,0.208333,0.208333,0.083334,0.208333,0.208333,0.0,0.208333,0.208333,0.291667,0.0,0.0,0.0,0.291667,0.0,0.0,0.208333,0.0,0.0,0.291667,0.291667,0.291667,0.0,0.291667,0.291667,0.083334,0.291667,0.291667,0.0,0.0,0.291667,0.0,0.0,0.208333,0.0,0.0,0.0,0.291667,0.0,0.0,0.208333,0.0,0.0,0.291667,0.0,0.0,0.208333,0.0,0.0,0.291667,0.291667,0.083334,0.291667,0.291667,0.0,0.208333,0.0,0.0,0.208333,0.0,0.0,0.208333,0.208333,0.0,1.0,G,True,V7,Dominant seventh
29.0,0.0,0.375,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.291667,0.375,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.291667,0.375,0.375,0.375,0.375,0.041667,0.375,0.375,0.375,0.083333,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.291667,0.0,0.0,0.333333,0.0,0.0,0.0,0.291667,0.0,0.333333,0.0,0.0,0.0,0.291667,0.333333,0.0,0.0,0.0,0.291667,0.333333,0.333333,0.333333,0.041666,0.0,0.0,0.291667,0.0,0.291667,0.291667,1.0,G,True,I,Major
32.0,0.208333,0.083334,0.208333,0.208333,0.208333,0.083334,0.208333,0.208333,0.0,0.208333,0.208333,0.291667,0.0,0.0,0.0,0.291667,0.0,0.0,0.208333,0.0,0.0,0.291667,0.291667,0.291667,0.0,0.291667,0.291667,0.083334,0.291667,0.291667,0.0,0.0,0.291667,0.0,0.0,0.208333,0.0,0.0,0.0,0.291667,0.0,0.0,0.208333,0.0,0.0,0.291667,0.0,0.0,0.208333,0.0,0.0,0.291667,0.291667,0.083334,0.291667,0.291667,0.0,0.208333,0.0,0.0,0.208333,0.0,0.0,0.208333,0.208333,0.0,1.0,G,True,V7,Dominant seventh
35.0,0.03125,0.1875,0.03125,0.0,0.03125,0.0,0.46875,0.03125,0.0,0.03125,0.125,0.21875,0.0,0.03125,0.0,0.03125,0.5,0.0,0.03125,0.0,0.15625,0.21875,0.1875,0.21875,0.1875,0.28125,0.21875,0.1875,0.21875,0.0625,0.03125,0.0,0.03125,0.5,0.0,0.03125,0.0,0.15625,0.03125,0.0,0.46875,0.03125,0.0,0.03125,0.125,0.03125,0.5,0.0,0.03125,0.0,0.15625,0.46875,0.03125,0.0,0.03125,0.125,0.5,0.46875,0.5,0.34375,0.03125,0.0,0.15625,0.03125,0.125,0.15625,1.0,G,True,I,Major
38.0,0.236842,0.052632,0.236842,0.210526,0.236842,0.078947,0.210526,0.236842,0.026316,0.236842,0.18421,0.289474,0.0,0.026316,0.0,0.157895,0.026316,0.0,0.210526,0.0,0.052632,0.289474,0.263158,0.289474,0.131579,0.263158,0.289474,0.078948,0.289474,0.236842,0.026316,0.0,0.157895,0.026316,0.0,0.210526,0.0,0.052632,0.026316,0.131579,0.0,0.026316,0.18421,0.026316,0.026316,0.157895,0.026316,0.0,0.210526,0.0,0.052632,0.131579,0.157895,0.052631,0.157895,0.105263,0.026316,0.18421,0.026316,0.026316,0.210526,0.0,0.052632,0.210526,0.157894,0.052632,1.0,G,True,V7,Dominant seventh
41.0,0.03125,0.0,0.03125,0.0,0.03125,0.0,0.375,0.03125,0.03125,0.03125,0.375,0.03125,0.0,0.03125,0.0,0.03125,0.40625,0.0,0.0625,0.0,0.40625,0.03125,0.0,0.03125,0.0,0.375,0.03125,0.03125,0.03125,0.375,0.03125,0.0,0.03125,0.40625,0.0,0.0625,0.0,0.40625,0.03125,0.0,0.375,0.03125,0.03125,0.03125,0.375,0.03125,0.40625,0.0,0.0625,0.0,0.40625,0.375,0.03125,0.03125,0.03125,0.375,0.40625,0.34375,0.40625,0.0,0.0625,0.0,0.40625,0.0625,0.34375,0.40625,1.0,G,True,I,Major
44.0,0.236842,0.052632,0.236842,0.210526,0.236842,0.078947,0.210526,0.236842,0.026316,0.236842,0.18421,0.289474,0.0,0.026316,0.0,0.157895,0.026316,0.0,0.210526,0.0,0.052632,0.289474,0.263158,0.289474,0.131579,0.263158,0.289474,0.078948,0.289474,0.236842,0.026316,0.0,0.157895,0.026316,0.0,0.210526,0.0,0.052632,0.026316,0.131579,0.0,0.026316,0.18421,0.026316,0.026316,0.157895,0.026316,0.0,0.210526,0.0,0.052632,0.131579,0.157895,0.052631,0.157895,0.105263,0.026316,0.18421,0.026316,0.026316,0.210526,0.0,0.052632,0.210526,0.157894,0.052632,1.0,G,True,V7,Dominant seventh
47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.642857,0.0,0.0,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.642857,0.0,0.0,0.0,0.357143,0.0,0.0,0.0,0.0,0.642857,0.0,0.0,0.0,0.357143,0.0,0.0,0.0,0.642857,0.0,0.0,0.0,0.357143,0.0,0.0,0.642857,0.0,0.0,0.0,0.357143,0.0,0.642857,0.0,0.0,0.0,0.357143,0.642857,0.0,0.0,0.0,0.357143,0.642857,0.642857,0.642857,0.285714,0.0,0.0,0.357143,0.0,0.357143,0.357143,1.0,G,True,I,Major
48.5,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.333333,0.333333,0.0,0.333333,0.333333,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,0.333333,0.333333,0.333333,0.333333,0.0,0.0,0.0,0.333333,0.0,0.333333,0.333333,1.0,E,False,I,Minor
50.0,0.333333,0.333333,0.333333,0.333333,0.333333,0.166666,0.333333,0.333333,0.166667,0.333333,0.333333,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.5,0.0,0.0,0.0,0.166667,0.0,0.0,0.5,0.0,0.0,0.166667,0.0,0.0,0.5,0.0,0.0,0.166667,0.166667,0.333333,0.166667,0.166667,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,1.0,E,False,IIdim,Diminished
51.5,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,1.0,E,False,V,Minor
