offset,0/1,0/2,0/3,0/4,0/5,0/6,0/7,0/8,0/9,0/10,0/11,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,4/5,4/6,4/7,4/8,4/9,4/10,4/11,5/6,5/7,5/8,5/9,5/10,5/11,6/7,6/8,6/9,6/10,6/11,7/8,7/9,7/10,7/11,8/9,8/10,8/11,9/10,9/11,10/11,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.25,0.5,0.0,0.25,0.25,0.5,0.0,0.25,0.25,0.25,0.0,0.5,0.25,0.25,1.0,,,,
1.0,0.390244,0.378049,0.378049,0.073171,0.378049,0.390244,0.390244,0.365854,0.195122,0.390244,0.353659,0.012195,0.012195,0.317073,0.012195,0.0,0.0,0.02439,0.195122,0.0,0.036585,0.0,0.304878,0.0,0.012195,0.012195,0.012195,0.182927,0.012195,0.02439,0.304878,0.0,0.012195,0.012195,0.012195,0.182927,0.012195,0.02439,0.304878,0.317073,0.317073,0.292683,0.121951,0.317073,0.280488,0.012195,0.012195,0.012195,0.182927,0.012195,0.02439,0.0,0.02439,0.195122,0.0,0.036585,0.02439,0.195122,0.0,0.036585,0.170732,0.02439,0.012195,0.195122,0.158537,0.036585,1.0,A,False,I,Minor
9.0,0.0,0.0,0.0,0.3,0.0,0.125,0.125,0.0,0.2,0.0,0.25,0.0,0.0,0.3,0.0,0.125,0.125,0.0,0.2,0.0,0.25,0.0,0.3,0.0,0.125,0.125,0.0,0.2,0.0,0.25,0.3,0.0,0.125,0.125,0.0,0.2,0.0,0.25,0.3,0.175,0.175,0.3,0.1,0.3,0.05,0.125,0.125,0.0,0.2,0.0,0.25,0.0,0.125,0.075,0.125,0.125,0.125,0.075,0.125,0.125,0.2,0.0,0.25,0.2,0.05,0.25,1.0,A,False,V,Minor
14.0,0.0,0.0,0.166667,0.166667,0.0,0.166667,0.166667,0.0,0.0,0.0,0.333333,0.0,0.166667,0.166667,0.0,0.166667,0.166667,0.0,0.0,0.0,0.333333,0.166667,0.166667,0.0,0.166667,0.166667,0.0,0.0,0.0,0.333333,0.0,0.166667,0.0,0.0,0.166667,0.166667,0.166667,0.166666,0.166667,0.0,0.0,0.166667,0.166667,0.166667,0.166666,0.166667,0.166667,0.0,0.0,0.0,0.333333,0.0,0.166667,0.166667,0.166667,0.166666,0.166667,0.166667,0.166667,0.166666,0.0,0.0,0.333333,0.0,0.333333,0.333333,1.0,E,False,V+,Major
15.0,0.125,0.0,0.125,0.5,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.625,0.625,0.625,0.625,0.625,0.625,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,E,False,I,Minor
17.0,0.2,0.2,0.2,0.25,0.15,0.2,0.05,0.2,0.15,0.2,0.2,0.0,0.0,0.45,0.05,0.0,0.25,0.0,0.05,0.0,0.0,0.0,0.45,0.05,0.0,0.25,0.0,0.05,0.0,0.0,0.45,0.05,0.0,0.25,0.0,0.05,0.0,0.0,0.4,0.45,0.2,0.45,0.4,0.45,0.45,0.05,0.2,0.05,0.0,0.05,0.05,0.25,0.0,0.05,0.0,0.0,0.25,0.2,0.25,0.25,0.05,0.0,0.0,0.05,0.05,0.0,1.0,C,True,I,Major
19.0,0.1,0.2,0.1,0.0,0.0,0.1,0.2,0.1,0.1,0.1,0.0,0.3,0.0,0.1,0.1,0.0,0.3,0.0,0.0,0.0,0.1,0.3,0.2,0.2,0.3,0.0,0.3,0.3,0.3,0.2,0.1,0.1,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.1,0.2,0.1,0.1,0.1,0.0,0.1,0.2,0.1,0.1,0.1,0.0,0.3,0.0,0.0,0.0,0.1,0.3,0.3,0.3,0.2,0.0,0.0,0.1,0.0,0.1,0.1,1.0,C,True,V,Major
21.0,0.2,0.2,0.2,0.25,0.15,0.2,0.05,0.2,0.15,0.2,0.2,0.0,0.0,0.45,0.05,0.0,0.25,0.0,0.05,0.0,0.0,0.0,0.45,0.05,0.0,0.25,0.0,0.05,0.0,0.0,0.45,0.05,0.0,0.25,0.0,0.05,0.0,0.0,0.4,0.45,0.2,0.45,0.4,0.45,0.45,0.05,0.2,0.05,0.0,0.05,0.05,0.25,0.0,0.05,0.0,0.0,0.25,0.2,0.25,0.25,0.05,0.0,0.0,0.05,0.05,0.0,1.0,C,True,I,Major
23.0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.3,0.3,0.3,0.3,0.3,0.1,0.3,0.2,0.3,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.3,0.0,0.0,0.2,0.0,0.1,0.0,0.3,0.0,0.2,0.0,0.1,0.0,0.3,0.2,0.0,0.1,0.0,0.3,0.2,0.1,0.2,0.1,0.1,0.0,0.3,0.1,0.2,0.3,1.0,C,True,V,Major
25.0,0.45,0.4,0.45,0.2,0.4,0.45,0.45,0.45,0.25,0.45,0.45,0.05,0.0,0.25,0.05,0.0,0.0,0.0,0.2,0.0,0.0,0.05,0.2,0.0,0.05,0.05,0.05,0.15,0.05,0.05,0.25,0.05,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.25,0.25,0.25,0.05,0.25,0.25,0.05,0.05,0.05,0.15,0.05,0.05,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,1.0,A,False,I,Minor
