offset,0/1,0/2,0/3,0/4,0/5,0/6,0/7,0/8,0/9,0/10,0/11,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,4/5,4/6,4/7,4/8,4/9,4/10,4/11,5/6,5/7,5/8,5/9,5/10,5/11,6/7,6/8,6/9,6/10,6/11,7/8,7/9,7/10,7/11,8/9,8/10,8/11,9/10,9/11,10/11,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.430556,0.041667,0.0,0.027778,0.0,0.5,0.0,0.0,0.0,0.0,0.430556,0.041667,0.0,0.027778,0.0,0.5,0.0,0.0,0.0,0.430556,0.041667,0.0,0.027778,0.0,0.5,0.0,0.0,0.0,0.388889,0.430556,0.402778,0.430556,0.069444,0.430556,0.430556,0.430556,0.041667,0.013889,0.041667,0.458333,0.041667,0.041667,0.041667,0.027778,0.0,0.5,0.0,0.0,0.0,0.027778,0.472222,0.027778,0.027778,0.027778,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,G#,False,I,Minor
9.0,0.291667,0.0,0.125,0.083333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.291667,0.166667,0.208334,0.291667,0.291667,0.291667,0.208333,0.291667,0.291667,0.291667,0.125,0.083333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.041667,0.125,0.125,0.125,0.375,0.125,0.125,0.125,0.083333,0.083333,0.083333,0.416667,0.083333,0.083333,0.083333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,G#,False,IV,Minor
12.0,0.050847,0.0,0.186441,0.0,0.0,0.0,0.0,0.542373,0.0,0.076271,0.144068,0.050847,0.135594,0.050847,0.050847,0.050847,0.050847,0.491526,0.050847,0.025424,0.093221,0.186441,0.0,0.0,0.0,0.0,0.542373,0.0,0.076271,0.144068,0.186441,0.186441,0.186441,0.186441,0.355932,0.186441,0.11017,0.042373,0.0,0.0,0.0,0.542373,0.0,0.076271,0.144068,0.0,0.0,0.542373,0.0,0.076271,0.144068,0.0,0.542373,0.0,0.076271,0.144068,0.542373,0.0,0.076271,0.144068,0.542373,0.466102,0.398305,0.076271,0.144068,0.067797,1.0,G#,False,I,Minor
25.5,0.0,0.0,0.297297,0.135135,0.0,0.108108,0.0,0.432432,0.0,0.027027,0.0,0.0,0.297297,0.135135,0.0,0.108108,0.0,0.432432,0.0,0.027027,0.0,0.297297,0.135135,0.0,0.108108,0.0,0.432432,0.0,0.027027,0.0,0.162162,0.297297,0.189189,0.297297,0.135135,0.297297,0.27027,0.297297,0.135135,0.027027,0.135135,0.297297,0.135135,0.108108,0.135135,0.108108,0.0,0.432432,0.0,0.027027,0.0,0.108108,0.324324,0.108108,0.081081,0.108108,0.432432,0.0,0.027027,0.0,0.432432,0.405405,0.432432,0.027027,0.0,0.027027,1.0,G#,False,VI,Major
31.5,0.111111,0.0,0.111111,0.444444,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.111111,0.0,0.333333,0.111111,0.111111,0.111111,0.222222,0.111111,0.111111,0.111111,0.111111,0.444444,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.111111,0.111111,0.111111,0.222222,0.111111,0.111111,0.111111,0.444444,0.444444,0.444444,0.111111,0.444444,0.444444,0.444444,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.333333,0.333333,0.0,0.0,0.0,1.0,G#,False,IV,Minor
33.0,0.0,0.0,0.388889,0.0,0.0,0.0,0.0,0.611111,0.0,0.0,0.0,0.0,0.388889,0.0,0.0,0.0,0.0,0.611111,0.0,0.0,0.0,0.388889,0.0,0.0,0.0,0.0,0.611111,0.0,0.0,0.0,0.388889,0.388889,0.388889,0.388889,0.222222,0.388889,0.388889,0.388889,0.0,0.0,0.0,0.611111,0.0,0.0,0.0,0.0,0.0,0.611111,0.0,0.0,0.0,0.0,0.611111,0.0,0.0,0.0,0.611111,0.0,0.0,0.0,0.611111,0.611111,0.611111,0.0,0.0,0.0,1.0,G#,False,I,Minor
36.0,0.055556,0.0,0.0,0.333333,0.0,0.0,0.0,0.388889,0.0,0.111111,0.111111,0.055556,0.055556,0.277777,0.055556,0.055556,0.055556,0.333333,0.055556,0.055555,0.055555,0.0,0.333333,0.0,0.0,0.0,0.388889,0.0,0.111111,0.111111,0.333333,0.0,0.0,0.0,0.388889,0.0,0.111111,0.111111,0.333333,0.333333,0.333333,0.055556,0.333333,0.222222,0.222222,0.0,0.0,0.388889,0.0,0.111111,0.111111,0.0,0.388889,0.0,0.111111,0.111111,0.388889,0.0,0.111111,0.111111,0.388889,0.277778,0.277778,0.111111,0.111111,0.0,1.0,G#,False,IV,Minor
39.0,0.060185,0.0,0.259259,0.023148,0.0,0.009259,0.0,0.5,0.0,0.041667,0.106481,0.060185,0.199074,0.037037,0.060185,0.050926,0.060185,0.439815,0.060185,0.018518,0.046296,0.259259,0.023148,0.0,0.009259,0.0,0.5,0.0,0.041667,0.106481,0.236111,0.259259,0.25,0.259259,0.240741,0.259259,0.217592,0.152778,0.023148,0.013889,0.023148,0.476852,0.023148,0.018519,0.083333,0.009259,0.0,0.5,0.0,0.041667,0.106481,0.009259,0.490741,0.009259,0.032408,0.097222,0.5,0.0,0.041667,0.106481,0.5,0.458333,0.393519,0.041667,0.106481,0.064814,1.0,G#,False,I,Minor
58.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.4,0.4,0.4,0.1,0.4,0.3,0.4,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.5,0.0,0.1,0.0,0.5,0.0,0.1,0.0,0.5,0.4,0.5,0.1,0.0,0.1,1.0,G#,False,VI,Major
60.0,0.0,0.0,0.444444,0.0,0.0,0.0,0.0,0.555556,0.0,0.0,0.0,0.0,0.444444,0.0,0.0,0.0,0.0,0.555556,0.0,0.0,0.0,0.444444,0.0,0.0,0.0,0.0,0.555556,0.0,0.0,0.0,0.444444,0.444444,0.444444,0.444444,0.111112,0.444444,0.444444,0.444444,0.0,0.0,0.0,0.555556,0.0,0.0,0.0,0.0,0.0,0.555556,0.0,0.0,0.0,0.0,0.555556,0.0,0.0,0.0,0.555556,0.0,0.0,0.0,0.555556,0.555556,0.555556,0.0,0.0,0.0,1.0,G#,False,I,Minor
