offset,0/1,0/2,0/3,0/4,0/5,0/6,0/7,0/8,0/9,0/10,0/11,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,4/5,4/6,4/7,4/8,4/9,4/10,4/11,5/6,5/7,5/8,5/9,5/10,5/11,6/7,6/8,6/9,6/10,6/11,7/8,7/9,7/10,7/11,8/9,8/10,8/11,9/10,9/11,10/11,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,
1.0,0.15,0.2125,0.075,0.2125,0.1,0.1375,0.2125,0.2125,0.1625,0.0125,0.2125,0.0625,0.225,0.0625,0.05,0.0125,0.0625,0.0625,0.0125,0.1375,0.0625,0.2875,0.0,0.1125,0.075,0.0,0.0,0.05,0.2,0.0,0.2875,0.175,0.2125,0.2875,0.2875,0.2375,0.0875,0.2875,0.1125,0.075,0.0,0.0,0.05,0.2,0.0,0.0375,0.1125,0.1125,0.0625,0.0875,0.1125,0.075,0.075,0.025,0.125,0.075,0.0,0.05,0.2,0.0,0.05,0.2,0.0,0.15,0.05,0.2,1.0,D-,True,VIIdim,Diminished
5.0,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.5,1.0,D-,True,VI,Minor
6.0,0.03125,0.140625,0.09375,0.140625,0.125,0.046875,0.140625,0.109375,0.015625,0.109375,0.140625,0.109375,0.125,0.109375,0.09375,0.015625,0.109375,0.140625,0.015625,0.078125,0.109375,0.234375,0.0,0.015625,0.09375,0.0,0.25,0.125,0.03125,0.0,0.234375,0.21875,0.140625,0.234375,0.015625,0.109375,0.203125,0.234375,0.015625,0.09375,0.0,0.25,0.125,0.03125,0.0,0.078125,0.015625,0.234375,0.109375,0.015625,0.015625,0.09375,0.15625,0.03125,0.0625,0.09375,0.25,0.125,0.03125,0.0,0.125,0.21875,0.25,0.09375,0.125,0.03125,1.0,D-,True,VIIdim,Diminished
8.5,0.25,0.0,0.0,0.0,0.125,0.0,0.0,0.625,0.0,0.0,0.0,0.25,0.25,0.25,0.125,0.25,0.25,0.375,0.25,0.25,0.25,0.0,0.0,0.125,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.625,0.0,0.0,0.0,0.125,0.0,0.0,0.625,0.0,0.0,0.0,0.125,0.125,0.5,0.125,0.125,0.125,0.0,0.625,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.625,0.625,0.625,0.0,0.0,0.0,1.0,D-,True,V,Major
9.0,0.046875,0.03125,0.046875,0.03125,0.15625,0.03125,0.03125,0.53125,0.03125,0.03125,0.03125,0.078125,0.0,0.078125,0.109375,0.078125,0.078125,0.484375,0.078125,0.015625,0.078125,0.078125,0.0,0.1875,0.0,0.0,0.5625,0.0,0.0625,0.0,0.078125,0.109375,0.078125,0.078125,0.484375,0.078125,0.015625,0.078125,0.1875,0.0,0.0,0.5625,0.0,0.0625,0.0,0.1875,0.1875,0.375,0.1875,0.125,0.1875,0.0,0.5625,0.0,0.0625,0.0,0.5625,0.0,0.0625,0.0,0.5625,0.5,0.5625,0.0625,0.0,0.0625,1.0,D-,True,I,Major
11.0,0.071429,0.071429,0.071428,0.071429,0.071429,0.214285,0.071429,0.357142,0.071429,0.0,0.071429,0.0,0.142857,0.0,0.0,0.285714,0.0,0.428571,0.0,0.071429,0.0,0.142857,0.0,0.0,0.285714,0.0,0.428571,0.0,0.071429,0.0,0.142857,0.142857,0.142857,0.142857,0.285714,0.142857,0.071428,0.142857,0.0,0.285714,0.0,0.428571,0.0,0.071429,0.0,0.285714,0.0,0.428571,0.0,0.071429,0.0,0.285714,0.142857,0.285714,0.214285,0.285714,0.428571,0.0,0.071429,0.0,0.428571,0.357142,0.428571,0.071429,0.0,0.071429,1.0,D-,True,V,Major
12.0,0.3125,0.0,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0625,0.0,0.3125,0.3125,0.3125,0.0,0.3125,0.3125,0.0,0.3125,0.25,0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0625,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0625,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0625,0.0,0.3125,0.3125,0.0,0.3125,0.25,0.3125,0.0,0.3125,0.0,0.0625,0.0,0.3125,0.0,0.0625,0.0,0.3125,0.25,0.3125,0.0625,0.0,0.0625,1.0,D-,True,V7,Dominant seventh
13.0,0.064516,0.096774,0.0,0.096774,0.048387,0.048387,0.096774,0.258065,0.096774,0.0,0.096774,0.16129,0.064516,0.16129,0.112903,0.016129,0.16129,0.193549,0.16129,0.064516,0.16129,0.096774,0.0,0.048387,0.145161,0.0,0.354839,0.0,0.096774,0.0,0.096774,0.048387,0.048387,0.096774,0.258065,0.096774,0.0,0.096774,0.048387,0.145161,0.0,0.354839,0.0,0.096774,0.0,0.096774,0.048387,0.306452,0.048387,0.048387,0.048387,0.145161,0.209678,0.145161,0.048387,0.145161,0.354839,0.0,0.096774,0.0,0.354839,0.258065,0.354839,0.096774,0.0,0.096774,1.0,D-,True,I,Major
15.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.333333,0.333333,0.0,0.333333,0.333333,0.0,0.333333,0.333333,0.333333,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.333333,0.0,0.333333,0.333333,0.333333,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.333333,0.333333,0.0,0.0,0.0,1.0,D-,True,IV,Major
