C,,
I,C E G,C E G B
II,D F A,D F A C
III,E G B,E G B D
IV,F A C,F A C E
V,G B D,G B D F
bVI,Ab C Eb,
VI,A C E,A C E G
GVI,Ab C Eb F#,
FVI,Ab C D F#,
ItVI,Ab C F#,
VII,B D F,B D F A
DVII,,B D F Ab
C#,,
I,C# E# G#,C# E# G# B#
II,D# F# A#,D# F# A# C#
III,E# G# B#,E# G# B# D#
IV,F# A# C#,F# A# C# E#
V,G# B# D#,G# B# D# F#
bVI,A C# E,
VI,A# C# E#,A# C# E# G#
GVI,A C# E F##,
FVI,A C# D# F##,
ItVI,A C# F##,
VII,B# D# F#,B# D# F# A#
DVII,,B# D# F# A
Cb,,
I,Cb Eb Gb,Cb Eb Gb Bb
II,Db Fb Ab,Db Fb Ab Cb
III,Eb Gb Bb,Eb Gb Bb Db
IV,Fb Ab Cb,Fb Ab Cb Eb
V,Gb Bb Db,Gb Bb Db Fb
bVI,Abb Cb Ebb,
VI,Ab Cb Eb,Ab Cb Eb Gb
GVI,Abb Cb Ebb F,
FVI,Abb Cb Db F,
ItVI,Abb Cb F,
VII,Bb Db Fb,Bb Db Fb Ab
DVII,,Bb Db Fb Abb
D,,
I,D F# A,D F# A C#
II,E G B,E G B D
III,F# A C#,F# A C# E
IV,G B D,G B D F#
V,A C# E,A C# E G
bVI,Bb D F,
VI,B D F#,B D F# A
GVI,Bb D F G#,
FVI,Bb D E G#,
ItVI,Bb D G#,
VII,C# E G,C# E G B
DVII,,C# E G Bb
D#,,
I,D# F## A#,D# F## A# C##
II,E# G# B#,E# G# B# D#
III,F## A# C##,F## A# C## E#
IV,G# B# D#,G# B# D# F##
V,A# C## E#,A# C## E# G#
bVI,B D# F#,
VI,B# D# F##,B# D# F## A#
GVI,B D# F# G##,
FVI,B D# E# G##,
ItVI,B D# G##,
VII,C## E# G#,C## E# G# B#
DVII,,C## E# G# B
Db,,
I,Db F Ab,Db F Ab C
II,Eb Gb Bb,Eb Gb Bb Db
III,F Ab C,F Ab C Eb
IV,Gb Bb Db,Gb Bb Db F
V,Ab C Eb,Ab C Eb Gb
bVI,Bbb Db Fb,
VI,Bb Db F,Bb Db F Ab
GVI,Bbb Db Fb G,
FVI,Bbb Db Eb G,
ItVI,Bbb Db G,
