offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.0,0.0,0.421053,0.0,0.052632,0.263158,0.0,0.0,0.0,0.263158,1.0,,,,
4.0,0.0,0.0,0.0,0.454545,0.0,0.0,0.181818,0.0,0.0,0.0,0.0,0.363636,1.0,E,True,V,Major
7.0,0.085714,0.057143,0.0,0.057143,0.314286,0.0,0.142857,0.2,0.0,0.057143,0.0,0.085714,1.0,E,True,V7,Dominant seventh
16.0,0.0,0.25,0.0,0.0,0.375,0.0,0.0,0.1875,0.0,0.1875,0.0,0.0,1.0,E,True,VIIdim,Diminished
19.0,0.0,0.078947,0.263158,0.078947,0.144737,0.0,0.118421,0.118421,0.0,0.105263,0.0,0.092105,1.0,E,True,V7,Dominant seventh
32.0,0.4,0.0,0.0,0.2,0.0,0.0,0.1,0.2,0.0,0.1,0.0,0.0,1.0,E,True,VIIdim7,Diminished seventh
34.0,0.088235,0.0,0.088235,0.0,0.191176,0.088235,0.0,0.044118,0.102941,0.161765,0.088235,0.147059,1.0,E,True,I,Major
46.0,0.08,0.0,0.12,0.0,0.46,0.0,0.04,0.0,0.1,0.06,0.04,0.1,1.0,E,True,V,Major
54.0,0.555556,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.111111,0.0,0.0,1.0,E,True,VIIhdim7,Half-diminished seventh
55.0,0.555556,0.0,0.0,0.0,0.0,0.296296,0.0,0.0,0.0,0.148148,0.0,0.0,1.0,E,True,I,Major
58.0,0.6,0.0,0.0,0.0,0.057143,0.028571,0.0,0.057143,0.114286,0.0,0.142857,0.0,1.0,E,False,V+7,Dominant seventh
66.0,0.227941,0.0,0.0,0.044118,0.0,0.264706,0.044118,0.0,0.0,0.375,0.0,0.044118,1.0,E,True,I,Major
76.0,0.176471,0.0,0.0,0.058824,0.058824,0.0,0.176471,0.0,0.0,0.176471,0.0,0.352941,1.0,E,True,V7,Dominant seventh
80.0,0.0,0.0,0.0,0.147059,0.294118,0.0,0.029412,0.176471,0.0,0.205882,0.0,0.147059,1.0,E,False,V+,Major
86.0,0.268293,0.0,0.0,0.097561,0.195122,0.097561,0.097561,0.097561,0.0,0.073171,0.04878,0.02439,1.0,E,False,V+7,Dominant seventh
91.0,0.18797,0.0,0.0,0.045113,0.0,0.263158,0.090226,0.0,0.0,0.368421,0.0,0.045113,1.0,E,True,I,Major
100.0,0.111111,0.0,0.0,0.166667,0.0,0.0,0.277778,0.0,0.0,0.166667,0.0,0.277778,1.0,E,False,V+7,Dominant seventh
104.0,0.0,0.0,0.0,0.107143,0.25,0.0,0.035714,0.178571,0.0,0.142857,0.0,0.285714,1.0,E,False,V+,Major
110.0,0.0,0.0,0.0,0.088235,0.382353,0.0,0.117647,0.117647,0.0,0.029412,0.0,0.264706,1.0,E,False,V+7,Dominant seventh
115.0,0.069307,0.0,0.0,0.118812,0.09901,0.029703,0.148515,0.118812,0.0,0.148515,0.0,0.267327,1.0,E,False,V+,Major
130.0,0.0,0.09375,0.0,0.0625,0.375,0.0,0.125,0.03125,0.0,0.09375,0.0,0.21875,1.0,E,False,V+7,Dominant seventh
135.0,0.043478,0.0,0.0,0.152174,0.336957,0.0,0.195652,0.065217,0.0,0.152174,0.0,0.054348,1.0,E,True,VIIdim,Diminished
149.0,0.0,0.0,0.0,0.166667,0.222222,0.0,0.166667,0.111111,0.0,0.111111,0.0,0.222222,1.0,E,False,V+7,Dominant seventh
157.0,0.0,0.0,0.076923,0.0,0.615385,0.0,0.076923,0.153846,0.0,0.076923,0.0,0.0,1.0,E,False,V+,Major
163.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0,0.0,1.0,E,True,VIIhdim7,Half-diminished seventh
164.0,0.1,0.0,0.0,0.2,0.2,0.0,0.15,0.1,0.0,0.05,0.0,0.2,1.0,E,True,VIIdim7,Diminished seventh
169.0,0.0,0.086996,0.0,0.130429,0.565149,0.0,0.108778,0.0,0.043433,0.0,0.0,0.065215,1.0,E,False,V+,Major
175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.666667,1.0,E,True,I,Major
176.0,0.0,0.095429,0.0,0.190571,0.190286,0.0,0.0,0.0,0.285714,0.0,0.0,0.238,1.0,E,True,V,Major
178.0,0.0,0.0,0.0,0.0,0.222667,0.0,0.444,0.0,0.0,0.333333,0.0,0.0,1.0,E,True,I,Major
179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286204,0.0,0.713796,0.0,0.0,0.0,1.0,E,True,V7,Dominant seventh
180.0,0.0,0.074222,0.0,0.074,0.185111,0.0,0.296444,0.0,0.074,0.148,0.0,0.148222,1.0,E,True,I,Major
183.0,0.0,0.0,0.0,0.0,0.19988,0.0,0.19988,0.0,0.60024,0.0,0.0,0.0,1.0,E,True,V,Major
184.0,0.0,0.111,0.0,0.0,0.166667,0.0,0.166667,0.0,0.166667,0.1665,0.0,0.222,1.0,E,True,V7,Dominant seventh
187.0,0.0,0.071566,0.0,0.071352,0.285622,0.0,0.321406,0.0,0.178487,0.0,0.0,0.071352,1.0,E,True,I,Major
190.0,0.0,0.222667,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.555333,1.0,E,True,V7,Dominant seventh
191.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.1336,0.0,0.2664,0.0,1.0,E,True,V,Major
192.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.1332,0.0,0.1336,0.3332,1.0,E,True,V7,Dominant seventh
193.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,1.0,E,True,I,Major
194.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4666,0.0,0.0668,0.0,0.1334,0.1332,1.0,E,True,V7,Dominant seventh
196.0,0.0,0.333,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.167,1.0,E,True,V,Major
197.0,0.0,0.1336,0.0,0.4664,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,E,True,V7,Dominant seventh
198.0,0.0,0.175474,0.0,0.175474,0.070105,0.0,0.386,0.0,0.035158,0.0,0.035053,0.122737,1.0,E,True,V,Major
202.0,0.0,0.0,0.0,0.333333,0.111,0.0,0.111,0.0,0.111,0.0,0.0,0.333333,1.0,E,True,V7,Dominant seventh
203.0,0.0,0.227273,0.0,0.045455,0.060545,0.060545,0.181727,0.0,0.060545,0.181818,0.0,0.181818,1.0,E,True,V,Major
207.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.333333,1.0,E,True,IV,Major
208.0,0.0,0.070211,0.0,0.105263,0.228,0.0,0.087789,0.0,0.245579,0.105263,0.0,0.157895,1.0,E,True,V7,Dominant seventh
212.0,0.0,0.1336,0.0,0.1332,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.5332,1.0,E,True,I,Major
213.0,0.0,0.0,0.0,0.1336,0.2664,0.0,0.0,0.0,0.2,0.0,0.0,0.4,1.0,E,True,V7,Dominant seventh
214.0,0.0,0.0,0.0,0.0,0.1167,0.0,0.1834,0.0,0.1499,0.1166,0.0,0.4334,1.0,E,True,I,Major
218.0,0.0,0.1336,0.0,0.1332,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.5332,1.0,E,True,V7,Dominant seventh
219.0,0.0,0.0,0.0,0.0,0.111,0.0,0.111,0.0,0.444667,0.0,0.0,0.333333,1.0,E,True,I,Major
220.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.111,0.0,0.444333,1.0,E,True,V7,Dominant seventh
221.0,0.0,0.08325,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.41675,1.0,E,True,I,Major
222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.41675,0.0,0.33325,1.0,E,True,V,Major
223.0,0.0,0.027833,0.0,0.02775,0.194417,0.0,0.15275,0.0,0.15275,0.125,0.0,0.319417,1.0,E,True,I,Major
226.0,0.0,0.0835,0.0,0.08325,0.25,0.0,0.125,0.0,0.0835,0.0,0.1665,0.20825,1.0,E,True,V7,Dominant seventh
228.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.111333,0.555333,1.0,E,True,I,Major
228.333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.167,0.0,1.0,E,True,V7,Dominant seventh
229.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,1.0,E,True,I,Major
230.0,0.0,0.0,0.0,0.2,0.0,0.0,0.5332,0.0,0.1336,0.0,0.1332,0.0,1.0,E,True,V,Major
231.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.5,0.0,0.0,0.0,0.111333,0.222,1.0,E,True,V7,Dominant seventh
232.0,0.0,0.1834,0.0,0.1499,0.1166,0.0,0.4334,0.0,0.0,0.0,0.0,0.1167,1.0,E,True,V,Major
236.0,0.0,0.2,0.0,0.0,0.4,0.0,0.1332,0.0,0.1336,0.0,0.1332,0.0,1.0,E,True,V7,Dominant seventh
237.0,0.0,0.111,0.0,0.777667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,1.0,E,True,V,Major
238.0,0.0,0.0,0.0,0.333333,0.111,0.0,0.111,0.0,0.111,0.0,0.0,0.333333,1.0,E,True,V7,Dominant seventh
239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.111,0.0,0.0,0.666667,1.0,E,True,V,Major
240.0,0.0,0.333333,0.0,0.0,0.0,0.222,0.111,0.0,0.0,0.0,0.0,0.333333,1.0,E,True,V7,Dominant seventh
241.0,0.0,0.25,0.0,0.083333,0.111,0.0,0.166667,0.0,0.0555,0.333333,0.0,0.0,1.0,E,True,V,Major
243.0,0.0,0.0,0.0,0.222,0.111,0.0,0.0,0.0,0.0,0.333333,0.0,0.333333,1.0,E,True,IV,Major
244.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.222,0.111,0.0,0.333333,1.0,E,True,V7,Dominant seventh
245.0,0.0,0.1666,0.0,0.0666,0.1332,0.0,0.0668,0.0,0.3334,0.1334,0.0,0.1,1.0,E,True,I,Major
246.5,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,1.0,E,True,IV,Major
247.0,0.0,0.0,0.0,0.222,0.111,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,1.0,E,True,V7,Dominant seventh
248.0,0.049948,0.149843,0.0,0.300135,0.0,0.0,0.250037,0.0,0.100045,0.074996,0.0,0.074996,1.0,E,True,VIIdim,Diminished
249.5,0.249812,0.0,0.0,0.249812,0.0,0.0,0.249812,0.0,0.249812,0.0,0.0,0.0,1.0,E,True,I,Major
250.0,0.0,0.41675,0.0,0.08325,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,E,True,IV,Major
251.0,0.0,0.300135,0.0,0.0,0.250037,0.0,0.100045,0.0,0.074996,0.124944,0.0,0.149843,1.0,E,True,VI,Minor
252.5,0.0,0.249812,0.0,0.0,0.249812,0.0,0.249812,0.0,0.0,0.249812,0.0,0.0,1.0,E,True,VIIdim7,Diminished seventh
253.0,0.0,0.0,0.0,0.1,0.25,0.0,0.2333,0.0,0.0833,0.2334,0.0333,0.0666,1.0,E,True,V7,Dominant seventh
255.5,0.0,0.166667,0.0,0.083333,0.333333,0.0,0.083333,0.0,0.083333,0.083333,0.0,0.166667,1.0,E,True,VI,Minor
259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.2,0.0,0.2,1.0,E,True,I,Major
261.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.5,1.0,E,True,V7,Dominant seventh
262.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.333333,1.0,E,True,I,Major
263.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,1.0,E,True,V7,Dominant seventh
264.0,0.0,0.0,0.0,0.111111,0.111111,0.0,0.222222,0.0,0.111111,0.111111,0.0,0.333333,1.0,E,True,I,Major
267.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.0,1.0,E,True,V,Major
268.0,0.0,0.090909,0.0,0.0,0.181818,0.0,0.181818,0.0,0.272727,0.181818,0.0,0.090909,1.0,E,True,V7,Dominant seventh
271.0,0.0,0.083333,0.0,0.083333,0.25,0.0,0.25,0.0,0.166667,0.083333,0.0,0.083333,1.0,E,True,I,Major
274.0,0.0,0.166667,0.0,0.166667,0.166667,0.0,0.333333,0.0,0.0,0.0,0.0,0.166667,1.0,E,True,V7,Dominant seventh
276.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,1.0,E,True,V,Major
277.0,0.1,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.1,0.0,0.1,0.2,1.0,E,True,I,Major
280.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,1.0,E,True,V,Major
