offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.375,0.0,0.125,0.375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,1.0,C,False,I,Minor
2.0,0.0,0.0,0.25,0.125,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.25,1.0,C,False,V+7,Dominant seventh
4.0,0.291667,0.0,0.166667,0.291667,0.0,0.041667,0.0,0.125,0.0,0.041667,0.0,0.041667,1.0,C,False,I,Minor
10.0,0.0,0.0,0.25,0.125,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.25,1.0,C,False,V+7,Dominant seventh
12.0,0.291667,0.0,0.125,0.291667,0.0,0.041667,0.0,0.166667,0.0,0.041667,0.0,0.041667,1.0,C,False,I,Minor
18.0,0.25,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.375,0.0,0.0,0.0,1.0,C,False,IV,Minor
20.0,0.0,0.0,0.375,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.375,0.0,1.0,C,False,VIIdim,Diminished
22.0,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.375,0.0,0.0,0.25,0.0,1.0,C,False,III,Major
24.0,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.375,0.0,0.0,1.0,G,False,IIdim,Diminished
28.0,0.25,0.0,0.1875,0.0,0.0,0.0,0.25,0.0,0.0,0.3125,0.0,0.0,1.0,G,False,V+7,Dominant seventh
32.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.375,0.0,0.125,0.375,0.0,1.0,G,False,I,Minor
34.0,0.125,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.125,0.0,1.0,G,False,V+7,Dominant seventh
36.0,0.041667,0.0,0.125,0.0,0.041667,0.0,0.041667,0.291667,0.0,0.166667,0.291667,0.0,1.0,G,False,I,Minor
42.0,0.125,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.125,0.0,1.0,G,False,V+7,Dominant seventh
44.0,0.03125,0.0,0.125,0.0,0.03125,0.0,0.03125,0.46875,0.0,0.09375,0.21875,0.0,1.0,G,False,I,Minor
50.0,0.0,0.0,0.133333,0.0,0.0,0.533333,0.0,0.2,0.0,0.0,0.0,0.133333,1.0,C,False,V+7,Dominant seventh
52.0,0.363636,0.0,0.0,0.363636,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,1.0,C,False,I,Minor
54.0,0.0,0.0,0.363636,0.0,0.0,0.090909,0.0,0.181818,0.0,0.0,0.0,0.363636,1.0,C,False,V+7,Dominant seventh
56.0,0.6875,0.0,0.0,0.1875,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,1.0,C,False,I,Minor
58.0,0.2,0.0,0.0,0.0,0.133333,0.0,0.0,0.133333,0.0,0.0,0.533333,0.0,1.0,F,False,V+7,Dominant seventh
60.0,0.272727,0.0,0.0,0.0,0.0,0.363636,0.0,0.0,0.363636,0.0,0.0,0.0,1.0,F,False,I,Minor
62.0,0.181818,0.0,0.0,0.0,0.363636,0.0,0.0,0.363636,0.0,0.0,0.090909,0.0,1.0,F,False,V+7,Dominant seventh
64.0,0.125,0.0,0.0,0.0,0.0,0.375,0.0,0.125,0.375,0.0,0.0,0.0,1.0,F,False,I,Minor
66.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.125,0.0,0.125,0.0,1.0,F,False,V+7,Dominant seventh
68.0,0.125,0.0,0.041667,0.0,0.041667,0.291667,0.0,0.166667,0.291667,0.0,0.041667,0.0,1.0,F,False,I,Minor
74.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.125,0.0,0.125,0.0,1.0,F,False,V+7,Dominant seventh
76.0,0.21875,0.0,0.03125,0.0,0.03125,0.28125,0.0,0.09375,0.3125,0.0,0.03125,0.0,1.0,F,False,I,Minor
84.0,0.0,0.666667,0.0,0.0,0.083333,0.166667,0.0,0.041667,0.041667,0.0,0.0,0.0,1.0,F,False,VI,Major
88.0,0.666667,0.0,0.0,0.0,0.083333,0.166667,0.0,0.041667,0.041667,0.0,0.0,0.0,1.0,F,False,V,Minor
92.0,0.0,0.0,0.083333,0.041667,0.0,0.083333,0.0,0.083333,0.041667,0.0,0.0,0.666667,1.0,C,False,VIIdim,Diminished
