offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.4445,0.0,0.0,0.111,0.0,0.0,0.0,0.111,0.0,0.0,0.3335,1.0,C#,False,I,Minor
8.0,0.0,0.111,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.778,0.0,0.0,1.0,C#,False,VI,Major
10.0,0.0,0.0,0.111,0.0,0.0,0.0,0.778,0.0,0.0,0.111,0.0,0.0,1.0,C#,False,bII,Major
12.0,0.0555,0.0555,0.0,0.0555,0.02775,0.0,0.0555,0.0,0.75025,0.0,0.0,0.0,1.0,C#,False,V+7,Dominant seventh
16.0,0.0,0.549241,0.0,0.0,0.078362,0.0,0.0,0.0,0.372573,0.0,0.0,0.0,1.0,C#,False,I,Minor
20.0,0.40012,0.0,0.0,0.066587,0.0,0.0,0.066587,0.0,0.466707,0.0,0.0,0.0,1.0,C#,False,V+7,Dominant seventh
24.0,0.0,0.583646,0.0,0.0,0.083271,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,1.0,C#,False,I,Minor
26.0,0.0,0.083271,0.0,0.0,0.0,0.0,0.583646,0.0,0.0,0.333333,0.0,0.0,1.0,C#,False,IV,Minor
28.0,0.0,0.0,0.0,0.0,0.083271,0.0,0.0,0.0,0.333333,0.0,0.0,0.583646,1.0,E,False,I+,Major
30.0,0.0,0.0,0.0,0.083271,0.0,0.0,0.124906,0.0,0.0,0.083271,0.0,0.708552,1.0,E,False,V+7,Dominant seventh
32.0,0.0,0.0,0.0,0.0,0.789673,0.0,0.0,0.0,0.105163,0.0,0.0,0.105163,1.0,E,False,I+,Major
36.0,0.0,0.0,0.0,0.0,0.718209,0.0,0.0,0.179398,0.0,0.0,0.0,0.102469,1.0,E,False,I,Minor
40.0,0.0,0.0,0.500375,0.0,0.0,0.083271,0.0,0.333333,0.0,0.0,0.0,0.083271,1.0,E,False,III,Major
44.0,0.583646,0.0,0.0,0.0,0.083271,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,1.0,E,False,IV,Minor
45.0,0.0,0.0,0.0,0.0,0.083271,0.0,0.0,0.333333,0.0,0.0,0.0,0.583646,1.0,E,False,I,Minor
46.0,0.0,0.083271,0.0,0.0,0.083271,0.0,0.0,0.333333,0.0,0.0,0.500375,0.0,1.0,B,False,VIIdim7,Diminished seventh
