offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.155172,0.0,0.017241,0.0,0.0,0.431034,0.0,0.0,0.0,0.396552,0.0,0.0,1.0,F,True,I,Major
4.25,0.190476,0.0,0.095238,0.166667,0.166667,0.0,0.119048,0.190476,0.0,0.047619,0.0,0.02381,1.0,F,True,V,Major
8.25,0.063492,0.111111,0.111111,0.0,0.079365,0.301587,0.063492,0.0,0.0,0.0,0.269841,0.0,1.0,F,True,IV,Major
13.25,0.25,0.25,0.0,0.0,0.125,0.03125,0.0,0.125,0.0,0.0,0.21875,0.0,1.0,F,True,VIIdim7,Diminished seventh
15.25,0.5625,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.25,0.0,0.0,1.0,F,True,I,Major
16.25,0.25,0.1875,0.0,0.0,0.0625,0.0,0.0,0.25,0.0,0.0,0.25,0.0,1.0,F,True,VIIdim7,Diminished seventh
17.25,0.222222,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.444444,0.0,0.0,1.0,F,True,I,Major
18.25,0.241935,0.145161,0.032258,0.016129,0.16129,0.064516,0.0,0.112903,0.0,0.0,0.193548,0.032258,1.0,F,True,V,Major
23.25,0.5625,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.1875,0.0,0.0,1.0,F,True,I,Major
24.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0625,0.1875,0.0,0.0,0.25,0.0,1.0,F,True,V,Major
25.25,0.333333,0.0,0.0,0.0,0.0,0.333333,0.083333,0.0,0.083333,0.166667,0.0,0.0,1.0,F,True,I,Major
26.25,0.25,0.0,0.0,0.0625,0.1875,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,G,True,IV,Major
27.25,0.230769,0.0,0.230769,0.0,0.0,0.0,0.461538,0.0,0.0,0.076923,0.0,0.0,1.0,G,True,V,Major
28.25,0.25,0.0,0.0,0.0625,0.1875,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,G,True,IV,Major
29.25,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.583333,0.0,0.0,0.0,0.25,1.0,G,True,I,Major
30.25,0.571429,0.0,0.0,0.0,0.0,0.0,0.0,0.285714,0.0,0.142857,0.0,0.0,1.0,G,True,IV,Major
32.0,0.166667,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.333333,0.0,0.0,1.0,F,True,I,Major
32.25,0.25,0.0,0.0,0.0625,0.1875,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,C,True,I,Major
33.25,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.583333,0.0,0.0,0.0,0.25,1.0,C,True,V,Major
34.25,0.382353,0.0,0.0,0.029412,0.117647,0.0,0.029412,0.382353,0.0,0.058824,0.0,0.0,1.0,C,True,I,Major
37.25,0.0,0.0,0.166667,0.0,0.0,0.25,0.0,0.333333,0.0,0.0,0.0,0.25,1.0,C,True,V,Major
38.25,0.4375,0.0,0.0,0.0,0.25,0.0625,0.0,0.125,0.0,0.125,0.0,0.0,1.0,C,True,I,Major
40.25,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.083333,0.25,0.0,0.0,1.0,C,True,IV,Major
41.25,0.363636,0.0,0.0,0.0,0.363636,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,1.0,C,True,I,Major
42.25,0.363636,0.0,0.060606,0.0,0.0,0.393939,0.0,0.0,0.030303,0.121212,0.0,0.030303,1.0,C,True,IV,Major
45.25,0.384615,0.0,0.0,0.0,0.307692,0.0,0.0,0.153846,0.0,0.0,0.153846,0.0,1.0,F,True,V,Major
46.25,0.0,0.0,0.0,0.0,0.0,0.578947,0.0,0.0,0.0,0.421053,0.0,0.0,1.0,F,True,I,Major
