offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.333333,G,True,I,Major
2.0,0.307692,0.0,0.0,0.0,0.0,0.0,0.307692,0.076923,0.0,0.153846,0.0,0.153846,G,True,V,Major
4.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.333333,G,True,I,Major
8.0,0.333333,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,G,True,V7,Dominant seventh
10.0,0.153846,0.0,0.307692,0.0,0.0,0.0,0.0,0.307692,0.0,0.076923,0.0,0.153846,G,True,I,Major
12.0,0.083333,0.0,0.333333,0.0,0.083333,0.0,0.166667,0.0,0.0,0.25,0.0,0.083333,G,True,V,Major
16.0,0.0,0.0,0.176471,0.0,0.0,0.117647,0.0,0.411765,0.0,0.117647,0.0,0.176471,G,True,I,Major
20.0,0.625,0.0,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,G,True,IV,Major
22.0,0.222222,0.0,0.111111,0.0,0.222222,0.0,0.222222,0.111111,0.0,0.111111,0.0,0.0,G,True,II,Minor
24.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,G,True,I,Major
25.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,True,IV,Major
26.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,G,True,I,Major
27.0,0.25,0.0,0.2,0.0,0.0,0.0,0.2,0.1,0.0,0.25,0.0,0.0,G,True,V,Major
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.333333,G,True,I,Major
32.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,G,True,V,Major
34.0,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.125,0.0,0.25,G,True,I,Major
36.0,0.2,0.0,0.2,0.0,0.1,0.0,0.1,0.1,0.0,0.3,0.0,0.0,G,True,V,Major
40.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,G,True,I,Major
42.0,0.25,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.125,G,True,V,Major
44.0,0.0,0.0,0.2,0.0,0.2,0.0,0.1,0.1,0.0,0.1,0.0,0.3,G,True,I,Major
48.0,0.1875,0.0,0.3125,0.0,0.0625,0.0,0.1875,0.0625,0.0,0.1875,0.0,0.0,G,True,V,Major
52.0,0.0625,0.0,0.3125,0.0,0.1875,0.0,0.0625,0.1875,0.0,0.0,0.0,0.1875,G,True,I,Major
56.0,0.2,0.0,0.2,0.0,0.05,0.0,0.15,0.05,0.0,0.2,0.0,0.15,G,True,V,Major
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.333333,G,True,I,Major
66.0,0.307692,0.0,0.0,0.0,0.0,0.0,0.307692,0.076923,0.0,0.153846,0.0,0.153846,G,True,V,Major
68.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.333333,G,True,I,Major
72.0,0.333333,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,G,True,V,Major
74.0,0.153846,0.0,0.307692,0.0,0.0,0.0,0.0,0.307692,0.0,0.076923,0.0,0.153846,G,True,I,Major
76.0,0.083333,0.0,0.333333,0.0,0.083333,0.0,0.166667,0.0,0.0,0.25,0.0,0.083333,G,True,V,Major
80.0,0.0,0.0,0.176471,0.0,0.0,0.117647,0.0,0.411765,0.0,0.117647,0.0,0.176471,G,True,I,Major
84.0,0.625,0.0,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,G,True,IV,Major
86.0,0.222222,0.0,0.111111,0.0,0.222222,0.0,0.222222,0.111111,0.0,0.111111,0.0,0.0,G,True,II,Minor
88.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,G,True,I,Major
89.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,True,IV,Major
90.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,G,True,I,Major
91.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,G,True,V,Major
92.0,0.181818,0.0,0.090909,0.0,0.0,0.0,0.181818,0.272727,0.0,0.181818,0.0,0.090909,G,True,I,Major
