offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,tonic,is_major,numeral,chord_tonality
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1.0,0.380952,0.0,0.047619,0.0,0.0,0.47619,0.0,0.02381,0.0,0.071429,0.0,0.0,F,True,I,Major
4.0,0.380952,0.0,0.047619,0.0,0.071429,0.142857,0.0,0.261905,0.0,0.02381,0.071429,0.0,F,True,V,Major
7.0,0.190476,0.0,0.238095,0.0,0.0,0.261905,0.0,0.119048,0.0,0.166667,0.0,0.02381,F,True,I,Major
10.0,0.404762,0.0,0.02381,0.0,0.071429,0.0,0.0,0.380952,0.0,0.047619,0.071429,0.0,F,True,V,Major
13.0,0.380952,0.0,0.047619,0.0,0.0,0.47619,0.0,0.02381,0.0,0.071429,0.0,0.0,F,True,I,Major
16.0,0.380952,0.0,0.047619,0.0,0.071429,0.142857,0.0,0.261905,0.0,0.02381,0.071429,0.0,F,True,V,Major
19.0,0.178571,0.0,0.214286,0.0,0.035714,0.214286,0.0,0.0,0.0,0.321429,0.0,0.035714,F,True,I,Major
21.0,0.357143,0.0,0.071429,0.0,0.071429,0.0,0.0,0.428571,0.0,0.0,0.071429,0.0,F,True,V,Major
22.0,0.363636,0.0,0.060606,0.0,0.0,0.490909,0.0,0.012121,0.0,0.072727,0.0,0.0,F,True,I,Major
28.0,0.37037,0.0,0.049383,0.0,0.074074,0.148148,0.0,0.259259,0.0,0.024691,0.074074,0.0,F,True,V,Major
31.0,0.17284,0.0,0.246914,0.0,0.0,0.271605,0.0,0.111111,0.0,0.17284,0.0,0.024691,F,True,I,Major
34.0,0.407407,0.0,0.024691,0.0,0.074074,0.0,0.0,0.37037,0.0,0.049383,0.074074,0.0,F,True,V,Major
37.0,0.37037,0.0,0.049383,0.0,0.0,0.481481,0.0,0.024691,0.0,0.074074,0.0,0.0,F,True,I,Major
40.0,0.37037,0.0,0.049383,0.0,0.074074,0.148148,0.0,0.259259,0.0,0.024691,0.074074,0.0,F,True,V,Major
43.0,0.302469,0.0,0.117284,0.0,0.024691,0.308642,0.0,0.074074,0.0,0.148148,0.012346,0.012346,F,True,I,Major
49.0,0.428571,0.0,0.071429,0.0,0.071429,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,F,True,V,Major
50.0,0.428571,0.0,0.071429,0.071429,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,B-,True,II,Minor
51.0,0.357143,0.0,0.071429,0.071429,0.0,0.214286,0.0,0.0,0.0,0.285714,0.0,0.0,B-,True,V,Major
52.0,0.071429,0.0,0.047619,0.02381,0.0,0.380952,0.0,0.0,0.0,0.0,0.47619,0.0,B-,True,I,Major
55.0,0.071429,0.071429,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.428571,0.0,A-,True,II,Minor
57.0,0.071429,0.071429,0.0,0.285714,0.0,0.0,0.0,0.285714,0.0,0.0,0.285714,0.0,A-,True,V,Major
58.0,0.047619,0.02381,0.0,0.380952,0.0,0.0,0.0,0.0,0.47619,0.0,0.071429,0.0,A-,True,I,Major
61.0,0.071429,0.0,0.0,0.380952,0.0,0.047619,0.0,0.142857,0.285714,0.0,0.071429,0.0,C,False,bVI,Undefined
64.0,0.02381,0.0,0.333333,0.095238,0.0,0.0,0.0,0.428571,0.071429,0.0,0.0,0.047619,C,False,V+,Major
67.0,0.071429,0.0,0.0,0.380952,0.0,0.047619,0.0,0.142857,0.285714,0.0,0.071429,0.0,C,False,bVI,Undefined
70.0,0.02381,0.0,0.333333,0.095238,0.0,0.0,0.0,0.428571,0.071429,0.0,0.0,0.047619,C,False,V+,Major
73.0,0.0,0.02381,0.333333,0.0,0.095238,0.0,0.428571,0.071429,0.0,0.0,0.0,0.047619,B,False,I,Minor
76.0,0.0,0.333333,0.095238,0.0,0.0,0.0,0.428571,0.071429,0.0,0.0,0.047619,0.02381,B,False,V+,Major
79.0,0.0,0.085714,0.085714,0.0,0.028571,0.0,0.428571,0.142857,0.0,0.0,0.057143,0.171429,B,False,I,Minor
84.0,0.0,0.142857,0.0,0.0,0.071429,0.0,0.428571,0.0,0.071429,0.0,0.285714,0.0,B,True,V,Major
85.0,0.0,0.027778,0.0,0.083333,0.0,0.0,0.361111,0.0,0.055556,0.0,0.0,0.472222,B,True,I,Major
88.0,0.0,0.305556,0.0,0.027778,0.083333,0.0,0.361111,0.0,0.055556,0.0,0.0,0.166667,B,True,V,Major
91.0,0.0,0.138889,0.0,0.194444,0.0,0.027778,0.222222,0.0,0.166667,0.0,0.0,0.25,B,True,I,Major
94.0,0.0,0.380952,0.0,0.047619,0.071429,0.0,0.404762,0.0,0.02381,0.0,0.071429,0.0,B,True,V,Major
97.0,0.0,0.027778,0.0,0.083333,0.0,0.0,0.361111,0.0,0.055556,0.0,0.0,0.472222,B,True,I,Major
100.0,0.0,0.305556,0.0,0.027778,0.083333,0.0,0.361111,0.0,0.055556,0.0,0.0,0.166667,B,True,V,Major
103.0,0.0,0.083333,0.0,0.375,0.0,0.041667,0.166667,0.0,0.166667,0.0,0.041667,0.125,B,True,I,Major
105.0,0.0,0.333333,0.0,0.0,0.083333,0.0,0.416667,0.0,0.083333,0.0,0.083333,0.0,B,True,V,Major
106.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.333333,0.0,0.083333,0.0,0.0,0.5,B,True,I,Major
109.0,0.0,0.416667,0.0,0.0,0.0,0.0,0.416667,0.0,0.083333,0.041667,0.041667,0.0,E,True,II,Minor
111.0,0.0,0.083333,0.0,0.333333,0.0,0.0,0.25,0.0,0.083333,0.083333,0.0,0.166667,E,True,V,Major
112.0,0.0,0.0,0.0,0.0,0.472222,0.0,0.083333,0.0,0.027778,0.055556,0.0,0.361111,E,True,I,Major
115.0,0.0,0.0,0.0,0.0,0.416667,0.0,0.083333,0.083333,0.0,0.0,0.0,0.416667,D,True,II,Minor
117.0,0.0,0.333333,0.0,0.0,0.25,0.0,0.083333,0.083333,0.0,0.25,0.0,0.0,D,True,V,Major
118.0,0.0,0.0,0.472222,0.0,0.083333,0.0,0.055556,0.027778,0.0,0.361111,0.0,0.0,D,True,I,Major
121.0,0.075,0.35,0.075,0.0,0.0,0.0,0.05,0.0,0.025,0.325,0.0,0.1,F#,False,I,Minor
124.0,0.0,0.428571,0.071429,0.0,0.0,0.047619,0.02381,0.0,0.333333,0.095238,0.0,0.0,F#,False,V+7,Dominant seventh
