offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.142857,0.142857,0.0,0.0,0.0,0.0,0.357143,0.0,0.0,0.0,0.214286,0.142857,1.0,G-,True,I,Major
1.0,0.0,0.4375,0.0,0.125,0.0,0.125,0.0,0.0,0.3125,0.0,0.0,0.0,1.0,G-,True,V,Major
2.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.125,0.125,0.125,0.0,1.0,G-,True,VI,Minor
3.0,0.0,0.125,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.4375,0.125,1.0,G-,True,III,Minor
4.0,0.0,0.0,0.0,0.214286,0.142857,0.142857,0.142857,0.0,0.0,0.0,0.0,0.357143,1.0,G-,True,IV,Major
5.0,0.0,0.3125,0.0,0.0,0.0,0.125,0.4375,0.0,0.0,0.0,0.125,0.0,1.0,G-,True,I,Major
6.0,0.125,0.0,0.0,0.1875,0.0,0.0,0.125,0.0,0.4375,0.0,0.125,0.0,1.0,D-,True,V,Major
7.0,0.0,0.25,0.0,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.125,0.25,1.0,G-,True,V,Major
8.0,0.142857,0.0,0.0,0.0,0.0,0.0,0.357143,0.0,0.0,0.0,0.357143,0.142857,1.0,G-,True,I,Major
9.0,0.0,0.4375,0.0,0.125,0.0,0.125,0.0,0.0,0.3125,0.0,0.0,0.0,1.0,G-,True,V,Major
10.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.125,0.125,0.125,0.0,1.0,G-,True,VI,Minor
11.0,0.0,0.125,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.4375,0.125,1.0,G-,True,III,Minor
12.0,0.0,0.0,0.0,0.214286,0.142857,0.142857,0.142857,0.0,0.0,0.0,0.0,0.357143,1.0,G-,True,IV,Major
