offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.428571,0.0,0.0,0.071429,0.0,0.0,0.0,0.392857,0.0,0.0,0.107143,1.0,,,,
7.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.375,0.0,0.0,0.125,1.0,B,True,II,Minor
11.0,0.0,0.181818,0.0,0.0,0.181818,0.0,0.386364,0.0,0.022727,0.0,0.204545,0.022727,1.0,B,True,V,Major
19.0,0.0,0.076923,0.0,0.461538,0.0,0.0,0.153846,0.0,0.0,0.0,0.0,0.307692,1.0,B,True,I,Major
21.0,0.0,0.133333,0.0,0.0,0.133333,0.0,0.333333,0.0,0.066667,0.0,0.2,0.133333,1.0,B,True,V,Major
23.0,0.090909,0.0,0.0,0.227273,0.0,0.0,0.318182,0.0,0.0,0.272727,0.0,0.090909,1.0,B,True,I,Major
26.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,B,True,II,Minor
26.5,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,1.0,B,True,I,Major
27.0,0.0,0.04,0.0,0.14,0.26,0.04,0.12,0.0,0.2,0.0,0.0,0.2,1.0,B,True,IV,Major
30.0,0.0,0.175,0.0,0.05,0.2,0.0,0.4,0.0,0.0,0.0,0.1,0.075,1.0,B,True,V,Major
32.0,0.0,0.0,0.0,0.0,0.25,0.0,0.375,0.0,0.125,0.0,0.125,0.125,1.0,B,True,IV,Major
33.0,0.0,0.0625,0.0,0.375,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.25,1.0,B,True,I,Major
35.0,0.0,0.133333,0.0,0.0,0.266667,0.0,0.244533,0.0,0.044533,0.0,0.177733,0.133333,1.0,B,True,V,Major
37.0,0.041667,0.0,0.0,0.25,0.041667,0.0,0.291667,0.0,0.0,0.25,0.0,0.125,1.0,E,True,V7,Dominant seventh
40.0,0.0,0.125,0.0,0.125,0.375,0.0,0.0,0.0,0.25,0.0,0.0,0.125,1.0,B,True,II,Minor
41.0,0.0,0.125,0.0,0.125,0.125,0.125,0.0,0.0,0.25,0.0,0.0,0.25,1.0,B,True,IV,Major
42.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,1.0,B,True,I,Major
42.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.5,1.0,B,True,IV,Major
43.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,1.0,B,True,I,Major
44.0,0.0,0.166667,0.0,0.0,0.166667,0.0,0.333333,0.0,0.166667,0.0,0.166667,0.0,1.0,B,True,V,Major
45.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.3,1.0,B,True,I,Major
46.0,0.0,0.166667,0.0,0.333333,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.166667,1.0,G#,False,V+7,Dominant seventh
47.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.333333,0.0,0.166667,0.333333,1.0,G#,False,VI,Major
48.0,0.166667,0.0,0.0,0.166667,0.0,0.0,0.166667,0.166667,0.166667,0.0,0.166667,0.0,1.0,C#,False,V+,Major
49.0,0.0,0.166667,0.0,0.166667,0.25,0.0,0.0,0.0,0.333333,0.0,0.083333,0.0,1.0,C#,False,I,Minor
51.0,0.0,0.074033,0.0,0.296576,0.0,0.0,0.037128,0.0,0.296132,0.0,0.111161,0.185416,1.0,C#,False,V,Minor
53.0,0.0,0.156937,0.025895,0.163214,0.222065,0.0,0.117702,0.0,0.235719,0.0,0.078468,0.0,1.0,C#,False,I,Minor
55.002083,0.0,0.166667,0.0,0.375,0.0,0.041667,0.0,0.0,0.166667,0.0,0.083333,0.166667,1.0,C#,False,V,Minor
57.002083,0.0,0.333333,0.0,0.0,0.0,0.166667,0.333333,0.0,0.0,0.0,0.166667,0.0,1.0,C#,False,IV+,Major
58.002083,0.0,0.245614,0.0,0.140351,0.0,0.017544,0.280702,0.017544,0.035088,0.0,0.087719,0.175439,1.0,F#,True,IV,Major
62.002083,0.125,0.125,0.0,0.25,0.0,0.0,0.25,0.0,0.125,0.0,0.125,0.0,1.0,C#,False,V+7,Dominant seventh
63.002083,0.0,0.181818,0.0,0.0,0.181818,0.0,0.0,0.0,0.636364,0.0,0.0,0.0,1.0,C#,False,I,Minor
65.002083,0.076923,0.0,0.0,0.153846,0.076923,0.0,0.230769,0.0,0.461538,0.0,0.0,0.0,1.0,C#,False,V+7,Dominant seventh
67.002083,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,1.0,C#,False,I,Minor
68.002083,0.142857,0.0,0.0,0.142857,0.142857,0.0,0.142857,0.0,0.428571,0.0,0.0,0.0,1.0,C#,False,V+7,Dominant seventh
69.002083,0.0,0.571429,0.0,0.0,0.142857,0.0,0.0,0.0,0.285714,0.0,0.0,0.0,1.0,C#,False,I,Minor
70.002083,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.166667,0.0,0.166667,0.0,1.0,C#,False,VI,Major
71.002083,0.0,0.166667,0.0,0.666667,0.0,0.0,0.0,0.083333,0.0,0.0,0.083333,0.0,1.0,G#,False,V+7,Dominant seventh
73.002083,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.083333,0.25,1.0,G#,False,I,Minor
75.002083,0.0,0.166667,0.0,0.416667,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.083333,1.0,G#,False,V+7,Dominant seventh
77.002083,0.0,0.0,0.181818,0.090909,0.181818,0.0,0.0,0.0,0.272727,0.0,0.0,0.272727,1.0,G#,False,VI,Major
