offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.416458,0.0,0.0,0.166583,0.0,0.0,0.0,0.416458,0.0,0.0,0.0,1.0,C#,False,I,Minor
10.0,0.0,0.249625,0.0,0.0,0.0,0.49925,0.0,0.0,0.166417,0.0,0.0,0.083208,1.0,F#,False,V+7,Dominant seventh
14.0,0.0,0.249625,0.0,0.0,0.0,0.0,0.49925,0.0,0.0,0.249625,0.0,0.0,1.0,C#,False,IV,Minor
16.0,0.124813,0.208021,0.197651,0.0,0.093578,0.0,0.124813,0.0,0.0,0.249625,0.0,0.0,1.0,C#,False,bII,Major
20.0,0.0,0.416292,0.0,0.0,0.166417,0.0,0.0,0.0,0.416292,0.0,0.0,0.0,1.0,C#,False,I,Minor
22.0,0.0,0.0,0.0,0.083229,0.04174,0.0,0.124969,0.0,0.332917,0.083229,0.0,0.333167,1.0,C#,False,VIIdim,Diminished
24.0,0.0,0.0,0.0,0.083208,0.666167,0.0,0.0,0.0,0.083208,0.0,0.0,0.166417,1.0,C#,False,III,Major
26.0,0.0,0.249625,0.0,0.0,0.49925,0.0,0.0,0.0,0.249625,0.0,0.0,0.0,1.0,C#,False,I,Minor
28.0,0.0,0.249625,0.0,0.0,0.0,0.49925,0.0,0.0,0.166417,0.0,0.0,0.083208,1.0,C#,False,I+,Major
30.0,0.0,0.249625,0.0,0.0,0.0,0.0,0.49925,0.0,0.0,0.249625,0.0,0.0,1.0,C#,False,IV,Minor
32.0,0.08325,0.19425,0.242833,0.0,0.062417,0.0,0.08325,0.0,0.0,0.333,0.0,0.0,1.0,C#,False,bII,Major
40.0,0.0,0.533293,0.0,0.0,0.133173,0.0,0.0,0.0,0.333133,0.0,0.0,0.0,1.0,C#,False,I,Minor
42.0,0.083208,0.166417,0.0,0.062469,0.187156,0.0,0.249625,0.0,0.249875,0.0,0.0,0.0,1.0,C#,False,V+7,Dominant seventh
44.0,0.0,0.749625,0.0,0.0,0.083208,0.0,0.0,0.0,0.166417,0.0,0.0,0.0,1.0,C#,False,I,Minor
46.0,0.083208,0.166417,0.0,0.49925,0.0,0.0,0.083208,0.0,0.166417,0.0,0.0,0.0,1.0,C#,False,V+7,Dominant seventh
48.0,0.0,0.249625,0.0,0.0,0.270365,0.0,0.062469,0.0,0.416292,0.0,0.0,0.0,1.0,C#,False,I,Minor
50.0,0.083208,0.0,0.249625,0.0,0.0,0.0,0.332834,0.0,0.332834,0.0,0.0,0.0,1.0,C#,False,V+7,Dominant seventh
