offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,
0.5,0.0,0.0,0.0,0.363636,0.0,0.0,0.0,0.545455,0.0,0.0,0.090909,0.0,E-,True,I,Major
2.5,0.0,0.0,0.285714,0.0,0.0,0.142857,0.0,0.142857,0.285714,0.0,0.0,0.142857,E-,True,V7,Dominant seventh
3.5,0.0,0.0,0.055556,0.388889,0.0,0.166667,0.0,0.222222,0.0,0.0,0.166667,0.0,E-,True,I,Major
6.5,0.324324,0.013514,0.0,0.0,0.216216,0.0,0.0,0.324324,0.0,0.0,0.108108,0.013514,F,False,V+7,Dominant seventh
9.5,0.0,0.222222,0.0,0.0,0.111111,0.222222,0.0,0.0,0.0,0.0,0.444444,0.0,F,False,IV,Minor
11.0,0.222222,0.0,0.0,0.0,0.0,0.333333,0.0,0.111111,0.333333,0.0,0.0,0.0,F,False,I,Minor
12.5,0.0,0.0,0.222222,0.0,0.0,0.444444,0.0,0.0,0.111111,0.0,0.222222,0.0,F,False,IV+,Major
14.0,0.0,0.0,0.222222,0.0,0.0,0.222222,0.0,0.444444,0.0,0.0,0.0,0.111111,C,False,V+7,Dominant seventh
15.5,0.222222,0.0,0.0,0.555556,0.0,0.0,0.0,0.222222,0.0,0.0,0.0,0.0,C,False,I,Minor
17.0,0.444444,0.0,0.0,0.222222,0.0,0.0,0.222222,0.0,0.0,0.111111,0.0,0.0,B-,True,DimVII7,Undefined
18.5,0.088235,0.0,0.147059,0.117647,0.0,0.117647,0.0,0.029412,0.176471,0.0,0.323529,0.0,E-,True,V7,Dominant seventh
21.5,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.36,0.0,0.0,0.16,0.0,E-,True,I,Major
26.0,0.0,0.0,0.222222,0.111111,0.055556,0.166667,0.0,0.111111,0.222222,0.0,0.0,0.111111,E-,True,DimVII7,Undefined
27.5,0.0,0.0,0.083333,0.472222,0.0,0.111111,0.0,0.222222,0.0,0.0,0.111111,0.0,E-,True,I,Major
30.5,0.25,0.055556,0.0,0.0,0.25,0.027778,0.0,0.25,0.027778,0.0,0.111111,0.027778,F,False,V+,Major
33.5,0.111111,0.111111,0.0,0.0,0.055556,0.277778,0.0,0.055556,0.166667,0.0,0.222222,0.0,F,False,I,Minor
36.5,0.0,0.0,0.18888,0.0,0.011805,0.379284,0.0,0.129855,0.09444,0.0,0.18888,0.0,F,False,IV+,Major
38.0,0.0,0.0,0.222222,0.0,0.0,0.222222,0.0,0.444444,0.0,0.0,0.0,0.111111,C,False,V+7,Dominant seventh
39.5,0.222222,0.0,0.0,0.555556,0.0,0.0,0.0,0.222222,0.0,0.0,0.0,0.0,C,False,I,Minor
41.0,0.444444,0.0,0.0,0.222222,0.0,0.0,0.222222,0.0,0.0,0.111111,0.0,0.0,B-,True,DimVII7,Undefined
42.5,0.085714,0.0,0.142857,0.114286,0.0,0.114286,0.0,0.028571,0.2,0.0,0.314286,0.0,E-,True,V,Major
45.5,0.0,0.0,0.055556,0.611111,0.0,0.0,0.0,0.222222,0.0,0.0,0.111111,0.0,E-,True,I,Major
48.5,0.0,0.0,0.222222,0.0,0.0,0.444444,0.0,0.111111,0.0,0.0,0.222222,0.0,E-,True,V,Major
51.5,0.4375,0.0,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,0.125,0.0,0.0,F,True,I,Major
54.5,0.111111,0.0,0.027778,0.486111,0.0,0.041667,0.0,0.0,0.222222,0.0,0.0,0.111111,E-,True,IV,Major
57.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.222222,0.0,0.0,0.277778,0.0,E-,True,I,Major
60.5,0.0,0.222222,0.0,0.0,0.222222,0.0,0.0,0.111111,0.0,0.0,0.444444,0.0,F,True,DimVII7,Undefined
62.0,0.222222,0.0,0.0,0.0,0.222222,0.0,0.0,0.222222,0.0,0.222222,0.111111,0.0,F,True,V,Major
63.5,0.090909,0.0,0.0,0.181818,0.0,0.454545,0.0,0.0,0.0,0.272727,0.0,0.0,F,True,I,Major
65.0,0.0,0.0,0.454545,0.0,0.0,0.0,0.0,0.181818,0.0,0.0,0.363636,0.0,C,False,V+,Major
66.5,0.181818,0.0,0.0,0.454545,0.0,0.0,0.0,0.363636,0.0,0.0,0.0,0.0,C,False,I,Minor
