offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.105945,0.0,0.0,0.0,0.25147,0.0,0.039739,0.344222,0.0,0.0,0.0,0.258067,1.0,E,False,I,Minor
8.0,0.083208,0.0,0.0,0.49925,0.0,0.0,0.166417,0.0,0.0,0.083208,0.0,0.166417,1.0,E,False,V+7,Dominant seventh
10.0,0.125045,0.0,0.0,0.095122,0.160608,0.0,0.095194,0.142827,0.0,0.095194,0.0,0.28551,1.0,E,False,I,Minor
16.0,0.0,0.0,0.0,0.203578,0.111012,0.0,0.203578,0.148128,0.0,0.0,0.074008,0.25914,1.0,E,False,V+,Major
20.0,0.0,0.0,0.277667,0.0,0.0555,0.1665,0.0,0.111,0.0,0.0,0.0,0.388667,1.0,E,False,III,Major
22.0,0.0,0.277667,0.0,0.0,0.0555,0.0,0.333333,0.0,0.0,0.0,0.1665,0.1665,1.0,B,False,V+7,Dominant seventh
24.0,0.0,0.0,0.388667,0.0,0.0,0.0,0.111,0.0555,0.0,0.0,0.0,0.444333,1.0,B,False,I,Minor
26.0,0.0,0.0,0.388667,0.0,0.0,0.1665,0.0,0.0,0.0555,0.0,0.0,0.388667,1.0,F#,False,VIIdim7,Diminished seventh
28.0,0.0,0.388667,0.0,0.0,0.0555,0.0,0.1665,0.02775,0.0,0.0,0.194333,0.1665,1.0,B,False,V+7,Dominant seventh
32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166417,0.0,0.0,0.0,0.0,0.833083,1.0,B,False,I,Minor
33.0,0.124859,0.0,0.0,0.374578,0.0,0.0,0.0,0.0,0.0,0.374578,0.0,0.124859,1.0,E,False,V+,Major
34.0,0.124859,0.0,0.0,0.0,0.374578,0.0,0.0,0.374578,0.0,0.0,0.0,0.124859,1.0,E,False,I,Minor
35.0,0.124859,0.0,0.0,0.0,0.0,0.0,0.750281,0.0,0.0,0.0,0.0,0.124859,1.0,E,False,IIdim,Diminished
