offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,
1.0,0.0,0.03125,0.21875,0.0,0.375,0.0,0.041667,0.0,0.166667,0.0,0.0,0.166667,1.0,A,True,V,Major
7.0,0.035714,0.25,0.0,0.035714,0.25,0.0,0.0,0.0,0.0,0.428571,0.0,0.0,1.0,A,True,I,Major
13.0,0.0,0.03,0.37,0.0,0.2,0.0,0.16,0.0,0.04,0.0,0.03,0.17,1.0,A,True,V7,Dominant seventh
19.0,0.0,0.34375,0.03125,0.0,0.375,0.0,0.0,0.0,0.03125,0.21875,0.0,0.0,1.0,A,True,I,Major
25.0,0.0,0.1875,0.0625,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,A,True,III,Minor
26.0,0.0,0.0,0.227273,0.0,0.363636,0.0,0.045455,0.0,0.181818,0.0,0.0,0.181818,1.0,A,True,V7,Dominant seventh
31.0,0.044118,0.25,0.0,0.044118,0.25,0.0,0.0,0.0,0.0,0.411765,0.0,0.0,1.0,A,True,I,Major
34.0,0.0,0.336957,0.01087,0.0,0.173913,0.0,0.173913,0.0,0.0,0.0,0.25,0.054348,1.0,B,False,V+,Major
38.0,0.0,0.0,0.222222,0.0,0.0,0.0,0.444444,0.0,0.0,0.111111,0.0,0.222222,1.0,B,False,I,Minor
40.0,0.04878,0.103659,0.091463,0.0,0.195122,0.0,0.04878,0.0,0.073171,0.371951,0.0,0.067073,1.0,A,True,V,Major
