offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,
1.0,0.0625,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.4375,E,False,I,Minor
5.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.25,E,False,II,Undefined
7.0,0.125,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.125,E,False,DimVII7,Undefined
9.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,E,False,bII,Major
11.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,D,False,I,Minor
12.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,F#,False,DimVII7,Undefined
13.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,A,False,V+7,Dominant seventh
15.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,A,False,V7,Undefined
16.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,D,False,DimVII7,Undefined
17.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,E,False,VI,Major
19.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.1875,0.0,0.0625,F,False,DimVII7,Undefined
23.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.125,G,False,V+7,Dominant seventh
25.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.203125,0.0,0.046875,A,False,IV+,Major
29.0,0.166667,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.083333,A,False,IV,Minor
32.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,A,False,II,Undefined
33.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,A,False,III,Major
34.0,0.291667,0.0,0.041667,0.0,0.291667,0.0,0.0,0.0,0.0,0.333333,0.0,0.041667,A,False,I,Minor
37.0,0.0,0.0,0.0,0.125,0.125,0.0,0.25,0.0,0.0,0.25,0.0,0.25,E,False,V+,Major
39.0,0.25,0.0,0.0,0.0,0.25,0.0,0.125,0.0,0.0,0.375,0.0,0.0,E,False,IV,Minor
41.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,E,False,V+7,Dominant seventh
43.0,0.235294,0.0,0.0,0.0,0.235294,0.0,0.117647,0.0,0.0,0.352941,0.0,0.058824,E,False,IV,Minor
45.0,0.119017,0.0,0.047578,0.214316,0.0,0.0,0.142878,0.071439,0.0,0.142878,0.0,0.261895,E,False,V+,Major
49.0,0.0625,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.4375,E,False,I,Minor
53.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.25,E,False,II,Undefined
55.0,0.0625,0.0,0.0625,0.1875,0.0,0.25,0.0,0.0,0.125,0.125,0.0,0.1875,E,False,bII,Major
59.0,0.125,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.125,A,False,V+7,Dominant seventh
61.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0625,0.1875,A,False,V7,Undefined
62.0,0.0,0.242424,0.0,0.0,0.242424,0.0,0.0,0.242424,0.0,0.015152,0.242424,0.015152,D,False,DimVII7,Undefined
64.0,0.25,0.0,0.0,0.0,0.3125,0.0,0.1875,0.0,0.0,0.25,0.0,0.0,D,False,V,Minor
65.0,0.222222,0.0,0.0,0.111111,0.055556,0.0,0.166667,0.0,0.0,0.333333,0.0,0.111111,E,False,V+7,Dominant seventh
67.0,0.0,0.0,0.0,0.117647,0.235294,0.0,0.058824,0.294118,0.0,0.0,0.0,0.294118,E,False,I,Minor
69.0,0.375,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,E,False,IV,Minor
70.0,0.166667,0.0,0.0,0.0,0.388667,0.0,0.166667,0.0,0.0,0.277667,0.0,0.0,E,False,II,Undefined
71.0,0.083333,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.083333,0.0,0.333333,E,False,I,Minor
