offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,
1.0,0.071429,0.0,0.071429,0.285714,0.0,0.0,0.0,0.142857,0.0,0.0,0.428571,0.0,1.0,E-,True,I,Major
5.0,0.090909,0.0,0.090909,0.0,0.0,0.363636,0.0,0.0,0.272727,0.0,0.181818,0.0,1.0,E-,True,V,Major
7.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,1.0,E-,True,I,Major
8.0,0.0625,0.0,0.0625,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.375,0.0,1.0,E-,True,V,Major
10.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,1.0,E-,True,I,Major
11.0,0.090909,0.0,0.090909,0.0,0.0,0.363636,0.0,0.0,0.272727,0.0,0.181818,0.0,1.0,E-,True,V,Major
13.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,1.0,E-,True,I,Major
14.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,1.0,E-,True,V,Major
14.5,0.0,0.333333,0.0,0.166667,0.0,0.0,0.0,0.333333,0.0,0.0,0.166667,0.0,1.0,E-,True,I,Major
15.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,E-,True,IV,Major
16.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0,0.0,0.333333,0.0,0.333333,1.0,G,False,VIIdim7,Diminished seventh
17.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.166667,0.0,0.0,0.666667,0.0,1.0,E-,True,I,Major
17.5,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0,0.0,0.333333,0.0,0.333333,1.0,E-,True,GerVI,German sixth
18.0,0.333333,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0,0.333333,0.0,0.0,0.0,1.0,G,False,VIIdim7,Diminished seventh
19.0,0.333333,0.0,0.0,0.166667,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,C,False,I,Minor
20.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.333333,1.0,C,False,V+7,Dominant seventh
22.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,1.0,C,False,V,Minor
23.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.375,0.0,1.0,E-,True,V7,Dominant seventh
26.0,0.2,0.0,0.1,0.0,0.0,0.25,0.0,0.1,0.25,0.0,0.0,0.1,1.0,E-,True,II,Minor
29.0,0.0,0.0,0.0,0.083333,0.0,0.083333,0.0,0.5,0.0,0.0,0.333333,0.0,1.0,E-,True,I,Major
31.0,0.111111,0.0,0.0,0.444444,0.0,0.055556,0.0,0.166667,0.166667,0.0,0.055556,0.0,1.0,E-,True,IV,Major
34.0,0.041667,0.0,0.041667,0.083333,0.0,0.25,0.0,0.0,0.083333,0.0,0.5,0.0,1.0,E-,True,V,Major
37.0,0.052633,0.0,0.0,0.416669,0.0,0.0,0.0,0.381563,0.0,0.0,0.096503,0.052633,1.0,E-,True,I,Major
45.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.4,0.0,1.0,E-,True,V,Major
46.0,0.0,0.0,0.0,0.714286,0.0,0.0,0.0,0.285714,0.0,0.0,0.0,0.0,1.0,E-,True,I,Major
49.0,0.26182,0.0,0.0,0.499786,0.0,0.0,0.0,0.237966,0.0,0.0,0.0,0.0,1.0,E-,True,VI,Minor
52.0,0.166652,0.0,0.0,0.0,0.0,0.409219,0.0,0.0,0.424311,0.0,0.0,0.0,1.0,E-,True,II,Minor
55.0,0.0,0.0,0.31812,0.0,0.0,0.333394,0.0,0.0,0.0,0.0,0.348486,0.0,1.0,E-,True,V,Major
58.0,0.0,0.0,0.0,0.409219,0.0,0.0,0.0,0.424311,0.0,0.0,0.166652,0.0,1.0,E-,True,I,Major
61.0,0.182863,0.0,0.121908,0.089443,0.0,0.166691,0.0,0.093492,0.284575,0.0,0.0,0.060954,1.0,E-,True,IV,Major
75.375,0.0,0.166667,0.1665,0.0,0.166667,0.0,0.0,0.1665,0.0,0.0,0.333167,0.0,1.0,E-,True,V,Major
77.375,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,1.0,F,True,V,Major
78.375,0.1665,0.0,0.166667,0.0,0.0,0.1665,0.0,0.0,0.166667,0.1665,0.0,0.166667,1.0,F,True,I,Major
80.375,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.333333,0.0,1.0,E-,True,V,Major
81.375,0.0,0.0,0.0,0.5666,0.0,0.0,0.0,0.2998,0.0,0.0,0.1332,0.0,1.0,E-,True,I,Major
83.375,0.0,0.111111,0.444444,0.222222,0.0,0.0,0.0,0.222222,0.0,0.0,0.0,0.0,1.0,D,True,V,Major
86.375,0.166681,0.0,0.055505,0.0,0.0,0.166681,0.124927,0.333444,0.0,0.069422,0.0,0.08334,1.0,C,True,V,Major
91.375,0.194433,0.0,0.0,0.166681,0.249937,0.08334,0.0,0.138845,0.0,0.166764,0.0,0.0,1.0,B-,True,V,Major
94.375,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,B-,True,I,Major
96.375,0.08334,0.0,0.416618,0.0,0.0,0.138845,0.166764,0.0,0.0,0.08334,0.111093,0.0,1.0,G,True,V,Major
99.375,0.019214,0.0,0.192199,0.0,0.0,0.0,0.0,0.615544,0.0,0.019214,0.0,0.153771,1.0,G,True,I,Major
103.375,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,1.0,E-,True,I,Major
104.375,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.2,0.0,1.0,E-,True,V,Major
105.375,0.066667,0.0,0.066667,0.333333,0.0,0.0,0.0,0.2,0.0,0.0,0.333333,0.0,1.0,E-,True,I,Major
109.375,0.066667,0.0,0.066667,0.0,0.0,0.533333,0.0,0.0,0.2,0.0,0.133333,0.0,1.0,E-,True,V,Major
111.375,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,1.0,E-,True,I,Major
112.375,0.1,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.4,0.0,1.0,E-,True,V,Major
114.375,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,1.0,E-,True,I,Major
115.375,0.066667,0.0,0.066667,0.0,0.0,0.533333,0.0,0.0,0.2,0.0,0.133333,0.0,1.0,E-,True,V,Major
117.375,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,1.0,E-,True,I,Major
118.375,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,1.0,E-,True,V,Major
118.875,0.0,0.333333,0.0,0.166667,0.0,0.0,0.0,0.333333,0.0,0.0,0.166667,0.0,1.0,E-,True,I,Major
119.375,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,E-,True,IV,Major
120.375,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0,0.0,0.333333,0.0,0.333333,1.0,E-,True,GerVI,German sixth
121.375,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.166667,0.0,0.0,0.666667,0.0,1.0,E-,True,I,Major
121.875,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0,0.0,0.333333,0.0,0.333333,1.0,E-,True,GerVI,German sixth
122.375,0.333333,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0,0.333333,0.0,0.0,0.0,1.0,C,False,GerVI,German sixth
123.375,0.333333,0.0,0.0,0.166667,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,C,False,I,Minor
124.375,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.333333,1.0,C,False,V+,Major
126.375,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,1.0,C,False,V,Minor
127.375,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.375,0.0,1.0,E-,True,V,Major
130.375,0.333333,0.0,0.0,0.0,0.0,0.25,0.0,0.166667,0.25,0.0,0.0,0.0,1.0,E-,True,II,Minor
132.375,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,1.0,E-,True,VIIdim,Diminished
133.375,0.0,0.0,0.0,0.083333,0.0,0.083333,0.0,0.5,0.0,0.0,0.333333,0.0,1.0,E-,True,I,Major
135.375,0.166667,0.0,0.0,0.333333,0.0,0.083333,0.0,0.083333,0.25,0.0,0.083333,0.0,1.0,E-,True,IV,Major
137.375,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,1.0,E-,True,I,Major
138.375,0.041667,0.0,0.041667,0.083333,0.0,0.25,0.0,0.0,0.083333,0.0,0.5,0.0,1.0,E-,True,V,Major
141.375,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.08,1.0,E-,True,I,Major
146.375,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.0,E-,True,VI,Minor
147.375,0.0,0.0,0.0,0.083271,0.0,0.0,0.0,0.249812,0.0,0.0,0.666917,0.0,1.0,E-,True,V,Major
148.375,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.375,0.0,0.0,0.25,0.0,1.0,E-,True,I,Major
149.375,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.4,0.0,1.0,E-,True,V,Major
150.375,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0,1.0,E-,True,I,Major
153.375,0.0,0.0,0.0,0.090909,0.0,0.0,0.272727,0.0,0.090909,0.0,0.545455,0.0,1.0,E-,False,I,Minor
157.375,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,1.0,E-,False,V+7,Dominant seventh
158.375,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,1.0,E-,False,I,Minor
160.375,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,1.0,E-,False,V+7,Dominant seventh
161.375,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,1.0,E-,False,I,Minor
162.375,0.0,0.0,0.166667,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.5,0.0,1.0,E-,False,V+,Major
165.375,0.0,0.0,0.0,0.428571,0.0,0.0,0.285714,0.0,0.0,0.0,0.0,0.285714,1.0,G-,True,IV,Major
167.375,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,1.0,G-,True,V,Major
168.375,0.0,0.125,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,1.0,G-,True,I,Major
170.375,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,1.0,G-,True,V,Major
171.375,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.2,1.0,G-,True,I,Major
172.375,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.25,1.0,G-,True,V,Major
173.375,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,1.0,B-,True,VIIdim7,Diminished seventh
174.375,0.0,0.0,0.20004,0.0,0.0,0.20004,0.0,0.0,0.0,0.066613,0.466693,0.066613,1.0,E,False,V+,Major
177.375,0.0,0.0,0.0,0.083333,0.0,0.0,0.25,0.0,0.08325,0.02775,0.52775,0.02775,1.0,E,False,I,Minor
181.375,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,1.0,E,False,V+7,Dominant seventh
182.375,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,1.0,E,False,I,Minor
184.375,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,1.0,E,False,V+,Major
185.375,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,1.0,E,False,I,Minor
186.375,0.0,0.0,0.16,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.52,0.0,1.0,E,False,V+,Major
189.375,0.0,0.0,0.0,0.265306,0.0,0.0,0.285714,0.0,0.0,0.0,0.44898,0.0,1.0,E,False,I,Minor
197.375,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.333333,0.0,1.0,E,False,V+7,Dominant seventh
198.375,0.0,0.2,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,E,False,I,Minor
201.375,0.035714,0.428571,0.0,0.035714,0.0,0.0,0.142857,0.0,0.0,0.035714,0.285714,0.035714,1.0,G-,True,I,Major
204.375,0.0,0.458333,0.0,0.0,0.0,0.166667,0.0,0.0,0.208333,0.0,0.041667,0.125,1.0,G-,True,V,Major
207.375,0.0,0.285714,0.0,0.0,0.0,0.035714,0.285714,0.0,0.035714,0.035714,0.285714,0.035714,1.0,G-,True,I,Major
210.375,0.0,0.0,0.25,0.0,0.0,0.208333,0.041667,0.0,0.125,0.0,0.375,0.0,1.0,E-,False,V+7,Dominant seventh
213.375,0.0,0.0,0.055556,0.5,0.0,0.055556,0.277778,0.0,0.0,0.0,0.111111,0.0,1.0,E-,False,I,Minor
215.375,0.0,0.0,0.0,0.416667,0.083333,0.0,0.25,0.0,0.083333,0.0,0.0,0.166667,1.0,E-,False,VI,Major
216.375,0.0,0.125,0.0,0.041667,0.125,0.0,0.458333,0.0,0.0,0.0,0.25,0.0,1.0,E-,False,III,Major
