offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.2,0.0,0.05,0.0,0.35,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.0,A,False,I,Minor
3.0,0.0,0.0,0.1,0.0,0.0,0.25,0.0,0.05,0.0,0.4,0.0,0.2,1.0,A,False,IIdim,Diminished
6.0,0.2,0.0,0.05,0.0,0.35,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.0,A,False,I,Minor
9.0,0.0,0.0,0.1,0.0,0.0,0.25,0.0,0.05,0.0,0.4,0.0,0.2,1.0,A,False,IIdim,Diminished
12.0,0.254907,0.0,0.0,0.063727,0.450293,0.103492,0.0,0.0,0.0,0.127453,0.0,0.0,1.0,A,False,I,Minor
15.0,0.2,0.0,0.0,0.2,0.3,0.0,0.1,0.0,0.0,0.15,0.0,0.05,1.0,E,True,V,Major
18.0,0.041667,0.0,0.166667,0.0,0.5,0.0,0.0,0.0,0.083333,0.0,0.041667,0.166667,1.0,E,True,I,Major
22.0,0.111111,0.0,0.222222,0.0,0.333333,0.0,0.0,0.0,0.222222,0.0,0.0,0.111111,1.0,A,False,V+,Major
24.0,0.2,0.0,0.05,0.0,0.35,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.0,A,False,I,Minor
27.0,0.0,0.0,0.1,0.0,0.0,0.25,0.0,0.05,0.0,0.4,0.0,0.2,1.0,A,False,IIdim,Diminished
30.0,0.2,0.0,0.05,0.0,0.35,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.0,A,False,I,Minor
33.0,0.11207,0.0,0.056035,0.028017,0.197972,0.185588,0.0,0.028017,0.0,0.280175,0.0,0.11207,1.0,A,False,IIdim,Diminished
39.0,0.2,0.0,0.0,0.2,0.3,0.0,0.1,0.0,0.0,0.15,0.0,0.05,1.0,A,False,I,Minor
42.0,0.05,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.25,1.0,A,False,V+,Major
45.0,0.25,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.375,0.0,0.041667,1.0,A,False,I,Minor
51.0,0.0,0.0,0.285714,0.0,0.285714,0.0,0.0,0.0,0.142857,0.142857,0.0,0.142857,1.0,A,False,V+7,Dominant seventh
54.0,0.05,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.25,1.0,A,False,IIdim,Diminished
57.0,0.111111,0.0,0.0,0.0,0.0,0.444444,0.0,0.0,0.0,0.333333,0.0,0.111111,1.0,A,False,VI,Major
60.0,0.0,0.1,0.0,0.0,0.1334,0.1333,0.0,0.2833,0.0,0.35,0.0,0.0,1.0,A,False,I+,Major
63.0,0.047619,0.0,0.309524,0.0,0.071429,0.261905,0.0,0.02381,0.0,0.238095,0.0,0.047619,1.0,A,False,IV,Minor
