offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,
12.0,0.0,0.0,0.136364,0.045455,0.0,0.272727,0.0,0.0,0.181818,0.0,0.363636,0.0,1.0,E-,True,V7,Dominant seventh
15.0,0.0,0.0,0.0,0.409091,0.0,0.045455,0.0,0.272727,0.0,0.0,0.272727,0.0,1.0,E-,True,I,Major
18.0,0.0,0.0,0.090909,0.0,0.0,0.318182,0.0,0.045455,0.272727,0.0,0.272727,0.0,1.0,E-,True,V7,Dominant seventh
21.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,1.0,A-,True,V7,Dominant seventh
23.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,1.0,A-,True,VIIdim,Diminished
24.0,0.055556,0.222222,0.0,0.0,0.0,0.222222,0.0,0.222222,0.111111,0.0,0.166667,0.0,1.0,A-,True,VI,Minor
26.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,1.0,A-,True,I,Major
27.0,0.0,0.0,0.0,0.181818,0.0,0.0,0.0,0.272727,0.136364,0.0,0.227273,0.181818,1.0,A-,True,V,Major
30.0,0.0,0.0,0.142857,0.071429,0.0,0.214286,0.0,0.107143,0.178571,0.0,0.285714,0.0,1.0,E-,True,V,Major
34.0,0.0,0.0,0.0,0.5,0.0,0.05,0.0,0.15,0.1,0.0,0.2,0.0,1.0,E-,True,I,Major
36.0,0.0,0.0,0.136364,0.045455,0.0,0.272727,0.0,0.0,0.181818,0.0,0.363636,0.0,1.0,E-,True,V,Major
39.0,0.0,0.0,0.0,0.409091,0.0,0.045455,0.0,0.272727,0.0,0.0,0.272727,0.0,1.0,E-,True,I,Major
42.0,0.0,0.0,0.090909,0.0,0.0,0.318182,0.0,0.045455,0.272727,0.0,0.272727,0.0,1.0,E-,True,V,Major
45.0,0.0,0.263158,0.0,0.105263,0.0,0.0,0.0,0.315789,0.0,0.0,0.315789,0.0,1.0,A-,True,V7,Dominant seventh
47.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0,1.0,A-,True,VIIdim,Diminished
48.0,0.157895,0.210526,0.0,0.0,0.0,0.210526,0.0,0.0,0.315789,0.0,0.105263,0.0,1.0,A-,True,VI,Minor
51.0,0.0,0.0,0.0,0.190476,0.0,0.0,0.0,0.285714,0.095238,0.0,0.238095,0.190476,1.0,A-,True,V,Major
54.0,0.0,0.0,0.190476,0.0,0.0,0.190476,0.0,0.095238,0.142857,0.0,0.380952,0.0,1.0,E-,True,V7,Dominant seventh
57.0,0.0,0.0,0.0,0.571429,0.0,0.0,0.0,0.214286,0.0,0.0,0.214286,0.0,1.0,E-,True,I,Major
62.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,A-,True,V7,Dominant seventh
63.0,0.204545,0.0,0.0,0.363636,0.022727,0.068182,0.0,0.0,0.340909,0.0,0.0,0.0,1.0,A-,True,I,Major
70.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,1.0,C,True,VIIdim7,Diminished seventh
72.0,0.25,0.0,0.0,0.3,0.05,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,A-,True,I,Major
75.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.2,1.0,C,True,VIIdim7,Diminished seventh
78.0,0.29993,0.0,0.0,0.349935,0.0,0.066607,0.0,0.033303,0.249925,0.0,0.0,0.0,1.0,A-,True,I,Major
83.0,0.0,0.25,0.0,0.35,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.0,1.0,A-,True,V7,Dominant seventh
