offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.444444,0.0,0.092593,0.0,0.240741,0.0,0.0,0.222222,0.0,0.0,0.0,1.0,D-,True,I,Major
3.0,0.125,0.0,0.0,0.125,0.0,0.0625,0.125,0.0,0.5625,0.0,0.0,0.0,1.0,D-,True,V7,Dominant seventh
4.0,0.0,0.444444,0.0,0.092593,0.0,0.240741,0.0,0.0,0.222222,0.0,0.0,0.0,1.0,D-,True,I,Major
7.0,0.25,0.0,0.0,0.125,0.0,0.0625,0.25,0.0,0.3125,0.0,0.0,0.0,1.0,D-,True,V7,Dominant seventh
7.5,0.0,0.666667,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D-,True,I,Major
8.0,0.203125,0.0,0.0,0.234375,0.0,0.0,0.21875,0.0,0.328125,0.0,0.015625,0.0,1.0,D-,False,V+7,Dominant seventh
10.0,0.0,0.083333,0.0,0.166667,0.0,0.0,0.083333,0.0,0.0,0.666667,0.0,0.0,1.0,D-,False,IIdim,Diminished
10.5,0.125,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.5,0.0,0.0,0.0,1.0,D-,False,V+7,Dominant seventh
11.0,0.090909,0.0,0.0,0.090909,0.0,0.0,0.090909,0.0,0.0,0.727273,0.0,0.0,1.0,D-,False,IIdim,Diminished
11.5,0.194444,0.0,0.0,0.222222,0.0,0.0,0.208333,0.0,0.361111,0.0,0.013889,0.0,1.0,D-,False,V+7,Dominant seventh
14.0,0.0,0.083333,0.0,0.166667,0.0,0.0,0.083333,0.0,0.0,0.666667,0.0,0.0,1.0,D-,False,IIdim,Diminished
14.5,0.125,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.5,0.0,0.0,0.0,1.0,D-,False,V+7,Dominant seventh
15.0,0.090909,0.0,0.0,0.090909,0.0,0.0,0.090909,0.0,0.0,0.727273,0.0,0.0,1.0,D-,False,IIdim,Diminished
15.5,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.625,0.0,0.0,0.0,1.0,D-,False,V+7,Dominant seventh
16.0,0.0,0.444444,0.0,0.092593,0.0,0.240741,0.0,0.0,0.222222,0.0,0.0,0.0,1.0,D-,True,I,Major
19.0,0.125,0.0,0.0,0.125,0.0,0.0625,0.125,0.0,0.5625,0.0,0.0,0.0,1.0,D-,True,V7,Dominant seventh
20.0,0.016129,0.306452,0.0,0.080645,0.0,0.258065,0.016129,0.0,0.306452,0.0,0.016129,0.0,1.0,D-,True,I,Major
