offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.35,1.0,G,True,I,Major
2.0,0.5,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,1.0,G,True,II,Minor
3.5,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,1.0,G,True,V7,Dominant seventh
5.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.388889,0.0,0.0,0.0,0.361111,1.0,G,True,I,Major
8.0,0.5,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,1.0,G,True,II,Minor
9.5,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,1.0,G,True,V7,Dominant seventh
11.0,0.0,0.0,0.115385,0.0,0.0,0.0,0.0,0.615385,0.0,0.0,0.0,0.269231,1.0,G,True,I,Major
14.0,0.333333,0.0,0.166667,0.0,0.0,0.0,0.333333,0.0,0.0,0.166667,0.0,0.0,1.0,G,True,V7,Dominant seventh
17.0,0.0,0.0,0.133333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.533333,1.0,G,True,I,Major
20.0,0.190476,0.0,0.238095,0.0,0.0,0.0,0.190476,0.0,0.0,0.380952,0.0,0.0,1.0,G,True,V7,Dominant seventh
23.0,0.0,0.0,0.153846,0.0,0.0,0.0,0.0,0.538462,0.0,0.0,0.0,0.307692,1.0,G,True,I,Major
26.0,0.208333,0.0,0.291667,0.0,0.0,0.0,0.291667,0.0,0.0,0.208333,0.0,0.0,1.0,G,True,V7,Dominant seventh
29.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.291667,1.0,G,True,I,Major
32.0,0.208333,0.0,0.291667,0.0,0.0,0.0,0.291667,0.0,0.0,0.208333,0.0,0.0,1.0,G,True,V7,Dominant seventh
35.0,0.03125,0.0,0.21875,0.0,0.03125,0.0,0.03125,0.5,0.0,0.03125,0.0,0.15625,1.0,G,True,I,Major
38.0,0.236842,0.0,0.289474,0.0,0.026316,0.0,0.157895,0.026316,0.0,0.210526,0.0,0.052632,1.0,G,True,V7,Dominant seventh
41.0,0.03125,0.0,0.03125,0.0,0.03125,0.0,0.03125,0.40625,0.0,0.0625,0.0,0.40625,1.0,G,True,I,Major
44.0,0.236842,0.0,0.289474,0.0,0.026316,0.0,0.157895,0.026316,0.0,0.210526,0.0,0.052632,1.0,G,True,V7,Dominant seventh
47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.642857,0.0,0.0,0.0,0.357143,1.0,G,True,I,Major
48.5,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,1.0,E,False,I,Minor
50.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.5,0.0,0.0,1.0,E,False,IIdim,Diminished
51.5,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,1.0,E,False,V,Minor
53.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.388889,0.0,0.0,0.0,0.277778,1.0,E,False,I,Minor
56.0,0.444444,0.0,0.0,0.0,0.055556,0.0,0.111111,0.0,0.0,0.388889,0.0,0.0,1.0,E,False,IIdim,Diminished
57.5,0.0,0.0,0.0,0.083333,0.0,0.0,0.291667,0.0,0.0,0.291667,0.0,0.333333,1.0,E,False,V,Minor
59.0,0.071429,0.0,0.071429,0.0,0.571429,0.0,0.0,0.285714,0.0,0.0,0.0,0.0,1.0,E,False,I,Minor
60.5,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.2,0.0,0.2,0.0,0.3,1.0,G,True,I,Major
62.0,0.3,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.2,0.0,0.1,1.0,G,True,II,Minor
63.5,0.1,0.0,0.1,0.1,0.2,0.0,0.3,0.1,0.0,0.1,0.0,0.0,1.0,G,True,V7,Dominant seventh
65.0,0.05,0.05,0.15,0.0,0.05,0.0,0.05,0.2,0.0,0.15,0.0,0.3,1.0,G,True,I,Major
68.0,0.3,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.2,0.0,0.1,1.0,G,True,II,Minor
69.5,0.1,0.0,0.1,0.1,0.2,0.0,0.3,0.1,0.0,0.1,0.0,0.0,1.0,G,True,V7,Dominant seventh
71.0,0.0,0.0,0.269231,0.0,0.0,0.0,0.0,0.307692,0.0,0.0,0.0,0.423077,1.0,G,True,I,Major
74.0,0.34375,0.0,0.375,0.0,0.0,0.0,0.09375,0.0,0.03125,0.15625,0.0,0.0,1.0,G,True,V7,Dominant seventh
77.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.375,1.0,G,True,I,Major
80.0,0.099206,0.0,0.281746,0.0,0.0,0.0,0.02381,0.349206,0.007937,0.051587,0.0,0.186508,1.0,G,True,V7,Dominant seventh
