offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,1.0,G,False,I,Minor
4.5,0.166667,0.0,0.0,0.166667,0.0,0.0,0.0,0.5,0.0,0.166667,0.0,0.0,1.0,G,False,IIhdim7,Half-diminished seventh
6.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.0,1.0,G,False,I,Minor
7.5,0.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.1,0.0,0.0,1.0,G,False,VIIdim,Diminished
9.0,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,1.0,G,False,III,Major
10.5,0.5,0.0,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,G,False,IV,Minor
12.0,0.0,0.0,0.733333,0.0,0.0,0.0,0.0,0.133333,0.0,0.0,0.133333,0.0,1.0,G,False,I,Minor
15.0,0.1,0.0,0.6,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,1.0,G,False,V+7,Dominant seventh
18.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.3,0.0,1.0,G,False,I,Minor
21.0,0.25,0.0,0.1,0.0,0.0,0.0,0.1,0.15,0.0,0.35,0.05,0.0,1.0,G,False,V+7,Dominant seventh
24.0,0.055556,0.0,0.277778,0.0,0.0,0.0,0.0,0.333333,0.0,0.055556,0.277778,0.0,1.0,G,False,I,Minor
27.0,0.289474,0.0,0.131579,0.289474,0.0,0.026316,0.0,0.263158,0.0,0.0,0.0,0.0,1.0,G,False,IV,Minor
30.0,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.1875,0.0,1.0,G,False,I,Minor
33.0,0.192308,0.0,0.307692,0.0,0.0,0.0,0.076923,0.115385,0.0,0.269231,0.038462,0.0,1.0,G,False,V+7,Dominant seventh
36.0,0.041667,0.041667,0.25,0.0,0.0,0.0,0.0,0.333333,0.0,0.083333,0.25,0.0,1.0,G,False,I,Minor
40.5,0.0,0.25,0.125,0.0,0.125,0.125,0.0,0.25,0.0,0.0,0.125,0.0,1.0,D,False,VIIdim7,Diminished seventh
42.0,0.0,0.0,0.375,0.0,0.0,0.3125,0.0,0.0,0.0,0.3125,0.0,0.0,1.0,D,False,I,Minor
45.0,0.0,0.121212,0.242424,0.0,0.121212,0.121212,0.0,0.242424,0.0,0.0,0.151515,0.0,1.0,D,False,VIIdim7,Diminished seventh
46.5,0.0,0.111111,0.111111,0.0,0.111111,0.222222,0.0,0.111111,0.0,0.333333,0.0,0.0,1.0,D,False,V,Minor
48.0,0.0,0.0,0.529412,0.0,0.0,0.352941,0.0,0.0,0.0,0.117647,0.0,0.0,1.0,D,False,I,Minor
51.0,0.111111,0.0,0.166667,0.0,0.0,0.222222,0.0,0.333333,0.0,0.0,0.0,0.166667,1.0,C,False,V+7,Dominant seventh
54.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,C,False,I,Minor
55.5,0.111111,0.0,0.222222,0.0,0.0,0.222222,0.0,0.0,0.333333,0.0,0.0,0.111111,1.0,C,False,VIIdim7,Diminished seventh
57.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,C,False,I,Minor
58.5,0.111111,0.0,0.222222,0.0,0.0,0.222222,0.0,0.0,0.333333,0.0,0.0,0.111111,1.0,C,False,VIIdim7,Diminished seventh
60.0,0.529412,0.0,0.0,0.235294,0.0,0.0,0.0,0.235294,0.0,0.0,0.0,0.0,1.0,C,False,I,Minor
63.0,0.108108,0.0,0.027027,0.459459,0.0,0.0,0.189189,0.0,0.0,0.216216,0.0,0.0,1.0,G,False,VIIdim,Diminished
