offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,tonic,is_major,numeral,chord_tonality
0.0,0.333333,0.0,0.0,0.0,0.0,0.416667,0.0,0.0,0.0,0.25,0.0,0.0,F,True,I,Major
3.0,0.0,0.0,0.083333,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.833333,0.0,F,True,IV,Major
6.0,0.625,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.125,0.0,0.0,F,True,I,Major
8.0,0.333333,0.0,0.0,0.0,0.5,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,F,True,V,Major
11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,F,True,I,Major
12.0,0.583333,0.0,0.0,0.0,0.083333,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,F,True,V,Major
15.0,0.583333,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.333333,0.0,0.0,F,True,I,Major
18.0,0.33325,0.0,0.0,0.0,0.33325,0.0,0.0,0.08325,0.0,0.0,0.25,0.0,F,True,V7,Dominant seventh
20.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,F,True,I,Major
21.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.333333,0.0,0.0,F,True,V,Major
24.0,0.083333,0.0,0.0,0.083333,0.0,0.0,0.5,0.0,0.0,0.333333,0.0,0.0,G,False,DimVII7,Undefined
27.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.833333,0.0,0.0,0.083333,0.0,G,False,I,Minor
30.0,0.25,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0,0.083333,0.0,0.0,G,False,V+7,Dominant seventh
33.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.333333,0.5,0.0,0.0,0.0,0.0,G,False,I,Minor
36.0,0.0,0.0,0.083333,0.0,0.5,0.0,0.0,0.333333,0.0,0.0,0.083333,0.0,F,True,VII,Undefined
39.0,0.083333,0.0,0.0,0.0,0.0,0.833333,0.0,0.0,0.0,0.083333,0.0,0.0,F,True,I,Major
42.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0,0.083333,0.0,0.0,0.25,0.0,F,True,V,Major
45.0,0.25,0.0,0.0,0.0,0.166667,0.291667,0.0,0.0,0.0,0.291667,0.0,0.0,F,True,I,Major
51.0,0.0,0.0,0.083333,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.833333,0.0,F,True,IV,Major
54.0,0.625,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.125,0.0,0.0,F,True,I,Major
56.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,True,V,Major
57.0,0.0,0.0,0.5,0.0,0.333333,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,F,True,VI,Minor
60.0,0.333333,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.583333,0.0,0.0,F,True,I,Major
63.0,0.0,0.0,0.083333,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.833333,0.0,F,True,IV,Major
66.0,0.375,0.0,0.0,0.0,0.25,0.333333,0.0,0.0,0.0,0.041667,0.0,0.0,F,True,V,Major
