offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.0,0.430556,0.041667,0.0,0.027778,0.0,0.5,0.0,0.0,0.0,1.0,G#,False,I,Minor
9.0,0.0,0.291667,0.0,0.125,0.083333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,G#,False,IV,Minor
12.0,0.0,0.050847,0.0,0.186441,0.0,0.0,0.0,0.0,0.542373,0.0,0.076271,0.144068,1.0,G#,False,I,Minor
25.5,0.0,0.0,0.0,0.297297,0.135135,0.0,0.108108,0.0,0.432432,0.0,0.027027,0.0,1.0,G#,False,VI,Major
31.5,0.0,0.111111,0.0,0.111111,0.444444,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,1.0,G#,False,IV,Minor
33.0,0.0,0.0,0.0,0.388889,0.0,0.0,0.0,0.0,0.611111,0.0,0.0,0.0,1.0,G#,False,I,Minor
36.0,0.0,0.055556,0.0,0.0,0.333333,0.0,0.0,0.0,0.388889,0.0,0.111111,0.111111,1.0,G#,False,IV,Minor
39.0,0.0,0.060185,0.0,0.259259,0.023148,0.0,0.009259,0.0,0.5,0.0,0.041667,0.106481,1.0,G#,False,I,Minor
58.5,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.1,0.0,1.0,G#,False,VI,Major
60.0,0.0,0.0,0.0,0.444444,0.0,0.0,0.0,0.0,0.555556,0.0,0.0,0.0,1.0,G#,False,I,Minor
61.5,0.0,0.0,0.0,0.0,0.166667,0.0,0.041667,0.0,0.541667,0.0,0.0,0.25,1.0,G#,False,VI,Major
64.5,0.0,0.266667,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.066667,0.0,0.066667,1.0,G#,False,bII,Major
66.0,0.0,0.2,0.0,0.2,0.0,0.0,0.133333,0.0,0.233333,0.233333,0.0,0.0,1.0,G#,False,VI,Major
69.0,0.206897,0.0,0.0,0.206897,0.0,0.0,0.034483,0.0,0.551724,0.0,0.0,0.0,1.0,G#,False,I+,Major
72.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,G#,False,IV,Minor
73.5,0.0,0.083333,0.0,0.333333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.083333,1.0,G#,False,I,Minor
75.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.208333,0.041667,1.0,G#,False,VI,Major
76.5,0.0,0.083333,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.083333,0.083333,1.0,G#,False,V+7,Dominant seventh
78.0,0.0,0.0,0.0,0.323529,0.0,0.0,0.0,0.0,0.588235,0.0,0.0,0.088235,1.0,G#,False,I,Minor
84.0,0.0,0.285714,0.0,0.0,0.428571,0.0,0.0,0.0,0.142857,0.142857,0.0,0.0,1.0,G#,False,bII,Major
85.5,0.0,0.142857,0.0,0.238095,0.047619,0.0,0.285714,0.0,0.142857,0.142857,0.0,0.0,1.0,C#,False,V+7,Dominant seventh
87.0,0.0,0.285714,0.0,0.0,0.428571,0.0,0.0,0.0,0.142857,0.142857,0.0,0.0,1.0,C#,False,VI,Major
88.5,0.0,0.142857,0.0,0.238095,0.047619,0.0,0.285714,0.0,0.142857,0.142857,0.0,0.0,1.0,C#,False,V+7,Dominant seventh
90.0,0.0,0.285714,0.0,0.0,0.428571,0.0,0.0,0.0,0.142857,0.142857,0.0,0.0,1.0,C#,False,VI,Major
91.5,0.0,0.0,0.33871,0.0,0.0,0.0,0.306452,0.0,0.177419,0.177419,0.0,0.0,1.0,C#,False,bII,Major
96.0,0.0,0.214286,0.0,0.0,0.357143,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,1.0,C#,False,I,Minor
99.0,0.0,0.071429,0.0,0.142857,0.214286,0.0,0.214286,0.0,0.357143,0.0,0.0,0.0,1.0,C#,False,V+7,Dominant seventh
102.0,0.0,0.083333,0.0,0.25,0.0,0.0,0.0,0.25,0.166667,0.0,0.180556,0.069444,1.0,G#,False,V+7,Dominant seventh
108.0,0.0,0.0,0.0,0.172414,0.0,0.0,0.0,0.0,0.551724,0.0,0.0,0.275862,1.0,G#,False,I,Minor
111.0,0.0,0.285714,0.0,0.0,0.428571,0.0,0.0,0.0,0.142857,0.142857,0.0,0.0,1.0,G#,False,bII,Major
112.5,0.0,0.142857,0.0,0.238095,0.047619,0.0,0.285714,0.0,0.142857,0.142857,0.0,0.0,1.0,G#,False,V+7,Dominant seventh
114.0,0.0,0.285714,0.0,0.0,0.428571,0.0,0.0,0.0,0.142857,0.142857,0.0,0.0,1.0,G#,False,bII,Major
115.5,0.0,0.142857,0.0,0.238095,0.047619,0.0,0.285714,0.0,0.142857,0.142857,0.0,0.0,1.0,G#,False,V+7,Dominant seventh
117.0,0.0,0.285714,0.0,0.0,0.428571,0.0,0.0,0.0,0.142857,0.142857,0.0,0.0,1.0,C#,False,VI,Major
118.5,0.0,0.0,0.357143,0.0,0.0,0.0,0.285714,0.0,0.142857,0.214286,0.0,0.0,1.0,C#,False,bII,Major
121.5,0.0,0.0,0.3,0.0,0.0,0.0,0.35,0.0,0.25,0.1,0.0,0.0,1.0,C#,False,V+,Major
123.0,0.0,0.214286,0.0,0.0,0.357143,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,1.0,C#,False,I,Minor
126.0,0.0,0.0,0.0,0.368421,0.0,0.0,0.263158,0.0,0.368421,0.0,0.0,0.0,1.0,C#,False,V+7,Dominant seventh
127.5,0.0,0.142857,0.0,0.095238,0.333333,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,1.0,C#,False,I,Minor
129.0,0.0,0.083333,0.0,0.25,0.0,0.0,0.0,0.25,0.166667,0.0,0.180556,0.069444,1.0,G#,False,V+,Major
135.0,0.0,0.054167,0.0,0.275,0.020833,0.0,0.008333,0.0,0.466667,0.0,0.0375,0.1375,1.0,G#,False,I,Minor
154.5,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.1,0.0,1.0,G#,False,VI,Major
156.0,0.0,0.0,0.0,0.133333,0.0,0.0,0.0,0.0,0.866667,0.0,0.0,0.0,1.0,G#,False,I,Minor
162.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.233333,0.166667,0.0,0.0,1.0,C#,False,VIIdim7,Diminished seventh
165.0,0.0,0.0,0.185185,0.0,0.0,0.222222,0.0,0.0,0.222222,0.0,0.37037,0.0,1.0,C#,False,VIIdim,Diminished
168.0,0.178571,0.0,0.0,0.178571,0.0,0.0,0.178571,0.0,0.214286,0.214286,0.0,0.035714,1.0,C#,False,VIIdim7,Diminished seventh
171.0,0.0,0.148148,0.0,0.0,0.0,0.185185,0.0,0.0,0.666667,0.0,0.0,0.0,1.0,C#,False,I+,Major
174.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,1.0,C#,False,IIdim,Diminished
180.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,1.0,G#,False,I+,Major
