offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.388889,0.0,0.055556,0.0,0.055556,0.222222,0.0,0.0,0.0,0.277778,1.0,G,True,I,Major
12.0,0.117647,0.0,0.0,0.0,0.382353,0.0,0.029412,0.117647,0.0,0.323529,0.0,0.029412,1.0,G,True,II7,Minor seventh
21.0,0.083333,0.0,0.333333,0.0,0.083333,0.0,0.25,0.083333,0.0,0.083333,0.0,0.083333,1.0,G,True,V7,Dominant seventh
24.0,0.0,0.0,0.291667,0.0,0.041667,0.0,0.041667,0.166667,0.0,0.0,0.0,0.458333,1.0,G,True,I,Major
36.0,0.0,0.25,0.0,0.0,0.166667,0.0,0.0,0.083333,0.0,0.0,0.416667,0.083333,1.0,B,False,VIIdim7,Diminished seventh
39.0,0.0,0.7,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,B,False,V+7,Dominant seventh
42.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.416667,0.0,0.083333,0.0,0.083333,0.333333,1.0,B,False,I,Minor
45.0,0.0,0.333333,0.083333,0.0,0.166667,0.0,0.25,0.0,0.083333,0.0,0.083333,0.0,1.0,B,False,V+7,Dominant seventh
48.0,0.0,0.0,0.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,1.0,B,False,I,Minor
54.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,1.0,D,True,IV,Major
57.0,0.0,0.166667,0.0,0.0,0.333333,0.0,0.166667,0.25,0.0,0.0,0.083333,0.0,1.0,D,True,VIIdim7,Diminished seventh
60.0,0.0,0.0,0.583333,0.0,0.083333,0.0,0.166667,0.0,0.0,0.166667,0.0,0.0,1.0,D,True,I,Major
63.0,0.1,0.0,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.0,0.0,1.0,G,True,V7,Dominant seventh
66.0,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0,1.0,C,True,IV,Major
69.0,0.0,0.0,0.333333,0.0,0.166667,0.25,0.0,0.0,0.083333,0.0,0.0,0.166667,1.0,C,True,VIIdim7,Diminished seventh
72.0,0.545455,0.0,0.090909,0.0,0.181818,0.0,0.0,0.181818,0.0,0.0,0.0,0.0,1.0,C,True,I,Major
75.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.1,0.0,1.0,F,True,V7,Dominant seventh
78.0,0.0,0.0,0.166667,0.0,0.166667,0.083333,0.083333,0.0,0.0,0.333333,0.0,0.166667,1.0,F,True,VI,Minor
81.0,0.454545,0.0,0.090909,0.0,0.272727,0.0,0.0,0.0,0.0,0.181818,0.0,0.0,1.0,F,True,III,Minor
84.0,0.0,0.0,0.25,0.0,0.0,0.0,0.583333,0.0,0.0,0.166667,0.0,0.0,1.0,A,False,IV+,Major
87.0,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,A,False,I,Minor
90.0,0.0,0.0,0.166667,0.0,0.166667,0.083333,0.083333,0.0,0.0,0.166667,0.0,0.333333,1.0,D,False,I,Minor
93.0,0.0,0.5,0.083333,0.0,0.25,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,1.0,D,False,V+,Major
96.0,0.0,0.0,0.25,0.0,0.0,0.5,0.083333,0.0,0.0,0.166667,0.0,0.0,1.0,D,False,I,Minor
99.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,1.0,G,True,V7,Dominant seventh
102.0,0.0,0.0,0.333333,0.0,0.083333,0.0,0.083333,0.25,0.0,0.0,0.0,0.25,1.0,G,True,I,Major
108.0,0.117647,0.0,0.0,0.0,0.382353,0.0,0.029412,0.117647,0.0,0.323529,0.0,0.029412,1.0,G,True,II7,Minor seventh
117.0,0.083333,0.0,0.333333,0.0,0.083333,0.0,0.25,0.083333,0.0,0.083333,0.0,0.083333,1.0,G,True,V7,Dominant seventh
120.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.6,1.0,G,True,I,Major
126.0,0.166667,0.0,0.0,0.0,0.416667,0.0,0.0,0.0,0.0,0.25,0.0,0.166667,1.0,G,True,II,Minor
129.0,0.25,0.0,0.166667,0.0,0.0,0.0,0.333333,0.166667,0.0,0.083333,0.0,0.0,1.0,G,True,V7,Dominant seventh
132.0,0.0,0.0,0.333333,0.0,0.166667,0.0,0.0,0.333333,0.0,0.0,0.0,0.166667,1.0,G,True,I,Major
135.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.111111,0.0,0.111111,0.0,0.111111,1.0,G,True,II,Minor
138.0,0.117647,0.0,0.294118,0.0,0.0,0.0,0.0,0.117647,0.0,0.0,0.0,0.470588,1.0,G,True,I,Major
144.0,0.017094,0.0,0.188034,0.0,0.076923,0.0,0.017094,0.358974,0.0,0.0,0.0,0.34188,1.0,G,True,VI,Minor
