offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.222222,0.0,0.0,0.0,0.222222,0.333333,0.0,0.0,0.0,0.222222,1.0,D,True,IV,Major
3.0,0.0,0.222222,0.333333,0.0,0.0,0.0,0.222222,0.0,0.0,0.222222,0.0,0.0,1.0,D,True,I,Major
6.0,0.0,0.0,0.222222,0.0,0.0,0.0,0.222222,0.333333,0.0,0.0,0.0,0.222222,1.0,D,True,IV,Major
9.0,0.0,0.222222,0.333333,0.0,0.0,0.0,0.222222,0.0,0.0,0.222222,0.0,0.0,1.0,D,True,I,Major
12.0,0.0,0.0,0.181818,0.0,0.0,0.0,0.272727,0.272727,0.0,0.090909,0.0,0.181818,1.0,D,True,IV,Major
15.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.083333,0.0,0.166667,0.0,0.0,1.0,D,True,I,Major
18.0,0.0,0.083333,0.25,0.0,0.0,0.0,0.166667,0.25,0.0,0.0,0.0,0.25,1.0,D,True,IV,Major
21.0,0.0,0.166667,0.25,0.0,0.0,0.0,0.166667,0.0,0.0,0.416667,0.0,0.0,1.0,D,True,I,Major
24.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.2,1.0,D,True,IV,Major
27.0,0.0,0.2,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,1.0,D,True,I,Major
30.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.2,1.0,D,True,IV,Major
33.0,0.0,0.2,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,1.0,D,True,I,Major
36.0,0.0,0.0,0.181818,0.0,0.0,0.0,0.272727,0.272727,0.0,0.090909,0.0,0.181818,1.0,D,True,IV,Major
39.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.083333,0.0,0.166667,0.0,0.0,1.0,D,True,I,Major
42.0,0.0,0.083333,0.25,0.0,0.0,0.0,0.166667,0.25,0.0,0.0,0.0,0.25,1.0,D,True,IV,Major
45.0,0.0,0.166667,0.25,0.0,0.0,0.0,0.166667,0.0,0.0,0.416667,0.0,0.0,1.0,D,True,I,Major
48.0,0.0,0.416667,0.0,0.0,0.0,0.0,0.416667,0.0,0.0,0.166667,0.0,0.0,1.0,D,True,III,Minor
51.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.416667,0.0,0.0,0.0,0.0,0.416667,1.0,D,True,VI,Minor
54.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.2,1.0,D,True,II,Minor
57.0,0.0,0.0,0.166667,0.0,0.5,0.0,0.0,0.166667,0.0,0.0,0.0,0.166667,1.0,D,True,II7,Minor seventh
60.0,0.0,0.0,0.416667,0.0,0.25,0.166667,0.0,0.0,0.0,0.166667,0.0,0.0,1.0,D,False,I,Minor
63.0,0.25,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.5,0.0,0.083333,1.0,D,False,V,Minor
66.0,0.038462,0.0,0.384615,0.0,0.192308,0.0,0.0,0.153846,0.0,0.0,0.0,0.230769,1.0,D,False,IIhdim7,Half-diminished seventh
72.0,0.142857,0.0,0.571429,0.0,0.071429,0.0,0.071429,0.0,0.0,0.142857,0.0,0.0,1.0,G,True,V7,Dominant seventh
78.0,0.166667,0.0,0.25,0.0,0.083333,0.25,0.0,0.083333,0.0,0.166667,0.0,0.0,1.0,D,False,I,Minor
81.0,0.25,0.0,0.333333,0.0,0.166667,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,D,False,V,Minor
84.0,0.0,0.0,0.428571,0.0,0.214286,0.0,0.0,0.142857,0.0,0.0,0.0,0.214286,1.0,D,False,IIhdim7,Half-diminished seventh
87.0,0.142857,0.0,0.571429,0.0,0.071429,0.0,0.071429,0.0,0.0,0.142857,0.0,0.0,1.0,G,True,V7,Dominant seventh
93.0,0.0,0.0,0.0,0.0,0.416667,0.0,0.0,0.416667,0.0,0.0,0.0,0.166667,1.0,G,True,VI,Minor
96.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.166667,0.0,0.0,1.0,D,True,III,Minor
99.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.166667,0.0,0.0,0.083333,0.0,0.583333,1.0,D,True,VI,Minor
102.0,0.0,0.230769,0.076923,0.0,0.384615,0.0,0.076923,0.0,0.0,0.230769,0.0,0.0,1.0,D,True,V,Major
108.0,0.0,0.0,0.153846,0.0,0.307692,0.0,0.230769,0.076923,0.0,0.076923,0.0,0.153846,1.0,D,True,II7,Minor seventh
111.0,0.333333,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0,0.333333,0.0,0.0,1.0,G,False,IIhdim7,Half-diminished seventh
114.0,0.0,0.0,0.571429,0.0,0.0,0.0,0.142857,0.0,0.0,0.285714,0.0,0.0,1.0,G,False,V,Minor
117.0,0.0,0.0,0.222222,0.0,0.0,0.0,0.222222,0.333333,0.0,0.0,0.0,0.222222,1.0,D,True,IV,Major
120.0,0.0,0.222222,0.333333,0.0,0.0,0.0,0.222222,0.0,0.0,0.222222,0.0,0.0,1.0,D,True,I,Major
123.0,0.0,0.0,0.222222,0.0,0.0,0.0,0.222222,0.333333,0.0,0.0,0.0,0.222222,1.0,D,True,IV,Major
126.0,0.0,0.222222,0.333333,0.0,0.0,0.0,0.222222,0.0,0.0,0.222222,0.0,0.0,1.0,D,True,I,Major
129.0,0.0,0.0,0.181818,0.0,0.0,0.0,0.272727,0.272727,0.0,0.090909,0.0,0.181818,1.0,D,True,IV,Major
132.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.083333,0.0,0.166667,0.0,0.0,1.0,D,True,I,Major
135.0,0.0,0.083333,0.25,0.0,0.0,0.0,0.166667,0.25,0.0,0.0,0.0,0.25,1.0,D,True,IV,Major
