offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.0,0.056,0.389333,0.0,0.110667,0.0,0.110667,0.0,0.0,0.333333,1.0,,,,
1.0,0.0,0.0,0.0,0.0,0.389333,0.0,0.0,0.0,0.166667,0.0,0.0,0.444,1.0,E,True,I,Major
2.0,0.0,0.0,0.0,0.0,0.389333,0.0,0.056,0.0,0.110667,0.110667,0.0,0.333333,1.0,E,True,V7,Dominant seventh
3.0,0.0,0.090909,0.0,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.636364,1.0,E,True,I,Major
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,E,True,V7,Dominant seventh
4.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,True,III,Minor
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,E,True,VI,Minor
5.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,True,III,Minor
6.0,0.0,0.0,0.0,0.0,0.445333,0.0,0.0,0.0,0.221333,0.0,0.0,0.333333,1.0,E,True,II,Minor
6.5,0.0,0.0,0.0,0.112,0.333333,0.0,0.221333,0.0,0.0,0.0,0.0,0.333333,1.0,E,True,II7,Minor seventh
7.0,0.0,0.0,0.0,0.0,0.389333,0.0,0.028,0.0,0.138667,0.055333,0.0,0.388667,1.0,E,True,V7,Dominant seventh
8.833,0.0,0.176471,0.0,0.117647,0.078118,0.0,0.078118,0.0,0.0,0.039529,0.0,0.510118,1.0,E,True,I,Major
11.0,0.25,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.084,0.166,0.0,0.416,1.0,E,True,V7,Dominant seventh
12.0,0.199519,0.300481,0.0,0.0,0.100962,0.0,0.100962,0.0,0.199519,0.098558,0.0,0.0,1.0,E,True,I,Major
12.666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,E,True,V7,Dominant seventh
13.0,0.125,0.25,0.083,0.0,0.084,0.042,0.042,0.0,0.166,0.083,0.0,0.125,1.0,E,True,I,Major
15.0,0.0,0.214408,0.0,0.0,0.0,0.142367,0.072041,0.0,0.356775,0.214408,0.0,0.0,1.0,E,True,V7,Dominant seventh
16.0,0.0,0.142857,0.0,0.0,0.142857,0.0,0.428571,0.0,0.0,0.285714,0.0,0.0,1.0,E,True,I,Major
17.0,0.0,0.125,0.0,0.25,0.125,0.0,0.25,0.0,0.0,0.25,0.0,0.0,1.0,E,True,#IVdim,Diminished
17.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,True,V7,Dominant seventh
18.0,0.0,0.0,0.0,0.0,0.041667,0.0,0.291667,0.0,0.041667,0.25,0.0,0.375,1.0,E,True,I,Major
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.666667,1.0,E,True,IV,Major
19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,True,I,Major
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,True,V,Major
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.333333,1.0,E,True,#IVdim,Diminished
21.666,0.0,0.0,0.0,0.0,0.166667,0.0,0.166667,0.0,0.166667,0.0,0.0,0.5,1.0,E,True,V7,Dominant seventh
22.0,0.0,0.0,0.0,0.0,0.133333,0.0,0.2,0.0,0.066667,0.0,0.0,0.6,1.0,E,True,I,Major
23.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,True,V7,Dominant seventh
24.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.166667,0.0,0.0,0.5,1.0,E,True,I,Major
25.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.2,1.0,E,False,I,Minor
26.0,0.0,0.0,0.0,0.0,0.222222,0.0,0.0,0.0,0.444444,0.0,0.0,0.333333,1.0,E,False,V+,Major
27.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.2,1.0,E,False,I,Minor
28.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.2,1.0,E,False,V+,Major
29.0,0.0,0.0,0.0,0.0,0.263158,0.0,0.315789,0.0,0.052632,0.0,0.0,0.368421,1.0,E,False,I,Minor
31.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.4,1.0,E,False,V+7,Dominant seventh
32.0,0.0,0.0,0.0,0.068966,0.241379,0.0,0.092138,0.0,0.264276,0.022897,0.0,0.310345,1.0,E,False,I,Minor
35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,1.0,E,False,V+7,Dominant seventh
