offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,tonic,is_major,numeral,chord_tonality
0.0,0.332,0.0,0.082,0.084,0.0,0.084,0.0,0.168,0.0,0.0,0.0,0.25,,,,
1.0,0.5,0.0,0.0,0.246988,0.0,0.0,0.0,0.253012,0.0,0.0,0.0,0.0,C,False,I,Minor
1.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,False,V+7,Dominant seventh
1.5,0.0,0.0,0.0,0.0,0.246988,0.0,0.0,0.753012,0.0,0.0,0.0,0.0,C,False,I,Minor
1.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,C,False,I+,Major
2.0,0.0,0.0,0.0,0.0,0.0,0.246988,0.0,0.0,0.253012,0.0,0.5,0.0,C,False,IV,Minor
2.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,C,False,IIdim7,Half-diminished seventh
2.5,0.168,0.0,0.164,0.0,0.0,0.168,0.0,0.0,0.5,0.0,0.0,0.0,C,False,I,Minor
3.0,0.0,0.0,0.0,0.246988,0.0,0.0,0.0,0.753012,0.0,0.0,0.0,0.0,C,False,bII,Major
3.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,C,False,VI,Major
3.5,0.168,0.0,0.0,0.168,0.0,0.0,0.0,0.664,0.0,0.0,0.0,0.0,C,False,V+7,Dominant seventh
4.0,0.0,0.246988,0.0,0.0,0.0,0.753012,0.0,0.0,0.0,0.0,0.0,0.0,C,False,VI,Major
4.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,C,False,bII,Major
4.5,0.246988,0.0,0.0,0.253012,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,C,False,I,Minor
4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C,False,V+7,Dominant seventh
5.0,0.063063,0.0,0.063063,0.124625,0.0,0.250751,0.0,0.312312,0.061562,0.0,0.0,0.124625,C,False,I,Minor
6.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,False,V+,Major
6.5,0.0,0.668,0.0,0.0,0.0,0.164,0.0,0.0,0.168,0.0,0.0,0.0,C,False,I,Minor
7.0,0.753012,0.0,0.0,0.0,0.0,0.0,0.0,0.246988,0.0,0.0,0.0,0.0,C,False,I+,Major
7.25,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,False,IV,Minor
7.5,0.0,0.0,0.168,0.0,0.0,0.168,0.0,0.164,0.0,0.0,0.0,0.5,C,False,I,Minor
8.0,0.748503,0.0,0.0,0.125749,0.0,0.0,0.0,0.125749,0.0,0.0,0.0,0.0,C,False,IIdim7,Half-diminished seventh
8.5,0.428082,0.0,0.0,0.428082,0.0,0.0,0.0,0.143836,0.0,0.0,0.0,0.0,C,False,V+7,Dominant seventh
9.0,0.531949,0.0,0.0,0.201278,0.0,0.0,0.0,0.266773,0.0,0.0,0.0,0.0,C,False,I,Minor
10.25,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,C,False,V+,Major
10.5,0.0,0.0,0.125749,0.0,0.0,0.0,0.0,0.125749,0.0,0.0,0.0,0.748503,C,False,I,Minor
11.0,0.798077,0.0,0.0,0.201923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,False,I+,Major
11.25,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,C,False,IV,Minor
11.5,0.0,0.0,0.0,0.125749,0.0,0.0,0.0,0.874251,0.0,0.0,0.0,0.0,C,False,I,Minor
12.0,0.098131,0.0,0.024533,0.122079,0.024533,0.121495,0.0,0.268107,0.195093,0.0,0.146028,0.0,E-,True,VIIhdim7,Half-diminished seventh
14.25,0.333333,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,E-,True,V7,Dominant seventh
14.5,0.0,0.0,0.168,0.0,0.0,0.168,0.0,0.0,0.664,0.0,0.0,0.0,E-,True,I,Major
14.75,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,E-,True,IV,Major
15.0,0.0,0.0,0.168,0.0,0.0,0.0,0.0,0.832,0.0,0.0,0.0,0.0,E-,True,I,Major
15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.333333,E-,True,V7,Dominant seventh
15.5,0.0,0.0,0.168,0.0,0.0,0.664,0.0,0.0,0.168,0.0,0.0,0.0,E-,True,I,Major
15.75,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.333333,E-,True,Vaug,Augmented
16.0,0.0,0.0,0.0,0.832,0.0,0.0,0.0,0.168,0.0,0.0,0.0,0.0,E-,True,I,Major
16.25,0.333333,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-,True,Vaug,Augmented
16.5,0.0,0.0,0.664,0.0,0.0,0.168,0.0,0.0,0.0,0.0,0.0,0.168,E-,True,I,Major
16.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-,True,Vaug,Augmented
17.0,0.832,0.0,0.0,0.0,0.0,0.0,0.0,0.168,0.0,0.0,0.0,0.0,E-,True,I,Major
17.25,0.666667,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-,True,Vaug,Augmented
17.5,0.0,0.0,0.0,0.796209,0.0,0.0,0.0,0.203791,0.0,0.0,0.0,0.0,E-,True,I,Major
17.75,0.28866,0.0,0.0,0.140893,0.0,0.0,0.0,0.570447,0.0,0.0,0.0,0.0,E-,True,Vaug,Augmented
18.0,0.798077,0.0,0.0,0.201923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-,True,I,Major
18.25,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,E-,True,VIIdim,Diminished
18.5,0.0,0.0,0.201923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.798077,E-,True,VI,Minor
18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.666667,E-,True,VIIdim,Diminished
19.0,0.461255,0.0,0.0,0.154982,0.0,0.0,0.0,0.383764,0.0,0.0,0.0,0.0,E-,True,VI,Minor
19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,E-,True,bII,Major
20.0,0.0,0.0,0.0,0.0,0.168,0.0,0.0,0.168,0.0,0.0,0.664,0.0,F,True,I,Major
20.25,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,F,True,Vaug,Augmented
20.5,0.0,0.0,0.0,0.0,0.0,0.168,0.0,0.0,0.832,0.0,0.0,0.0,F,True,I,Major
20.75,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,F,True,Vaug,Augmented
21.0,0.0,0.0,0.0,0.201923,0.0,0.0,0.0,0.798077,0.0,0.0,0.0,0.0,F,True,I,Major
21.25,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,F,True,Vaug,Augmented
21.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,F,True,I,Major
21.75,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,F,True,Vaug,Augmented
22.0,0.0,0.0,0.168,0.0,0.0,0.664,0.0,0.0,0.168,0.0,0.0,0.0,F,True,I,Major
22.25,0.333333,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,F,True,VIIdim,Diminished
22.5,0.0,0.0,0.168,0.0,0.0,0.168,0.0,0.0,0.664,0.0,0.0,0.0,F,True,VI,Minor
22.75,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,F,True,V,Major
23.0,0.284247,0.0,0.0,0.143836,0.0,0.0,0.0,0.5,0.0,0.0,0.071918,0.0,F,True,VI,Minor
23.75,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,F,True,#IVdim,Diminished
24.0,0.0,0.0,0.0,0.201923,0.0,0.0,0.0,0.0,0.0,0.0,0.798077,0.0,C,False,VI,Major
24.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.666667,0.0,C,False,I,Minor
24.5,0.0,0.0,0.14433,0.0,0.0,0.0,0.0,0.0,0.285223,0.0,0.570447,0.0,C,False,IIdim7,Half-diminished seventh
24.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.5,0.0,C,False,V+,Major
25.0,0.0,0.0,0.0,0.570447,0.0,0.0,0.0,0.285223,0.0,0.0,0.14433,0.0,C,False,I,Minor
25.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,C,False,V+,Major
25.5,0.0,0.0,0.0,0.200957,0.0,0.0,0.0,0.598086,0.0,0.0,0.200957,0.0,C,False,I,Minor
26.0,0.0,0.0,0.251497,0.0,0.0,0.497006,0.0,0.0,0.251497,0.0,0.0,0.0,C,False,I+,Major
26.25,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,C,False,IV,Minor
26.5,0.0,0.0,0.167331,0.0,0.0,0.167331,0.0,0.0,0.498008,0.0,0.0,0.167331,C,False,I,Minor
27.0,0.0,0.0,0.0,0.167331,0.0,0.0,0.0,0.665339,0.0,0.0,0.167331,0.0,C,False,IIdim7,Half-diminished seventh
27.5,0.299043,0.0,0.0,0.200957,0.0,0.0,0.0,0.0,0.200957,0.0,0.0,0.299043,C,False,V+7,Dominant seventh
28.0,0.0,0.0,0.100719,0.100719,0.0,0.0,0.0,0.100719,0.199041,0.0,0.498801,0.0,C,False,I,Minor
28.75,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.333333,0.0,C,False,I+,Major
29.0,0.0,0.0,0.0,0.399038,0.0,0.0,0.0,0.399038,0.0,0.0,0.201923,0.0,F,False,I,Minor
29.25,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,F,False,V+,Major
29.5,0.0,0.0,0.664,0.0,0.0,0.0,0.336,0.0,0.0,0.0,0.0,0.0,F,False,I,Minor
29.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,F,False,V+,Major
30.0,0.164659,0.0,0.0,0.333333,0.0,0.0,0.0,0.168675,0.0,0.0,0.333333,0.0,F,False,I,Minor
30.25,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,F,False,V+,Major
30.5,0.0,0.0,0.399038,0.0,0.0,0.0,0.201923,0.0,0.0,0.0,0.399038,0.0,F,False,I,Minor
30.75,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,F,False,V+,Major
31.0,0.0,0.0,0.0,0.598086,0.0,0.0,0.0,0.200957,0.0,0.0,0.200957,0.0,F,False,I,Minor
31.5,0.0,0.0,0.664,0.0,0.0,0.0,0.336,0.0,0.0,0.0,0.0,0.0,F,False,V,Minor
31.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,F,False,I,Minor
32.0,0.280689,0.0,0.0,0.374251,0.0,0.0,0.0,0.125749,0.0,0.0,0.219311,0.0,F,False,V,Minor
32.5,0.0,0.0,0.374251,0.0,0.0,0.0,0.125749,0.0,0.0,0.0,0.5,0.0,F,False,#IVdim,Diminished
33.0,0.0,0.0,0.230203,0.230203,0.0,0.0,0.077348,0.307551,0.0,0.0,0.154696,0.0,F,False,V+7,Dominant seventh
34.0,0.0,0.0,0.0,0.399038,0.0,0.0,0.0,0.201923,0.0,0.0,0.399038,0.0,F,False,I,Minor
34.25,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,F,False,V+,Major
34.5,0.0,0.0,0.0,0.0,0.0,0.399038,0.0,0.0,0.201923,0.0,0.0,0.399038,F,False,I,Minor
34.75,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.666667,F,False,V+,Major
35.0,0.399038,0.0,0.0,0.0,0.399038,0.0,0.0,0.201923,0.0,0.0,0.0,0.0,F,False,I,Minor
35.25,0.666667,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,False,V+,Major
35.5,0.426621,0.0,0.0,0.0,0.0,0.426621,0.0,0.0,0.146758,0.0,0.0,0.0,F,False,I,Minor
35.75,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.109333,0.0,0.0,0.557333,F,False,V+,Major
36.0,0.333333,0.0,0.164659,0.0,0.333333,0.0,0.0,0.168675,0.0,0.0,0.0,0.0,F,False,I,Minor
36.25,0.375187,0.0,0.0,0.0,0.249626,0.186846,0.0,0.06278,0.06278,0.0,0.0,0.06278,F,False,V,Minor
37.5,0.200957,0.0,0.0,0.0,0.598086,0.0,0.0,0.0,0.200957,0.0,0.0,0.0,F,False,#IVdim,Diminished
38.0,0.333333,0.0,0.164659,0.0,0.0,0.333333,0.0,0.0,0.0,0.168675,0.0,0.0,C,False,I,Minor
38.25,0.666667,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,C,False,V+7,Dominant seventh
38.5,0.399038,0.0,0.0,0.0,0.399038,0.0,0.0,0.0,0.201923,0.0,0.0,0.0,C,False,I,Minor
38.75,0.666667,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,False,I+,Major
39.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,0.0,0.336,0.0,0.0,C,False,IV,Minor
39.25,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,C,False,IIdim7,Half-diminished seventh
39.5,0.5,0.0,0.0,0.0,0.374251,0.0,0.0,0.0,0.125749,0.0,0.0,0.0,C,False,I,Minor
40.0,0.0,0.0,0.399038,0.0,0.0,0.399038,0.0,0.0,0.0,0.201923,0.0,0.0,C,False,bII,Major
40.25,0.333333,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,C,False,VI,Major
40.5,0.312874,0.0,0.187126,0.0,0.374251,0.0,0.0,0.0,0.125749,0.0,0.0,0.0,C,False,V+7,Dominant seventh
41.0,0.0,0.0,0.0,0.0,0.0,0.399038,0.0,0.0,0.0,0.600962,0.0,0.0,C,False,VI,Major
41.25,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0,C,False,IV,Minor
41.5,0.0,0.0,0.0,0.0,0.664,0.0,0.0,0.0,0.336,0.0,0.0,0.0,C,False,I,Minor
41.75,0.35682,0.029815,0.076136,0.085257,0.031727,0.069467,0.010975,0.181518,0.079099,0.008552,0.024343,0.046292,C,False,V+7,Dominant seventh
