offset,tonic,key,numeral
0.0,A,M,V
3.0,A,M,II
4.5,A,M,V
6.0,A,M,VI
7.0,A,M,V
7.5,A,M,IV
8.5,A,M,I
9.0,A,M,VI
10.0,A,M,IV
10.5,A,M,I
11.5,A,M,V
15.0,A,M,V
16.5,A,M,VI
18.0,E,M,DimVII7
19.0,E,M,V
19.5,E,M,I
20.5,E,M,V
21.0,E,M,I
22.0,E,M,IV
22.5,E,M,I
24.0,C#,M,V7
25.5,E,M,IV
27.0,B,M,V7
28.5,E,M,V
30.0,E,M,IV
31.5,E,M,DimVII
32.5,E,M,V
34.5,E,M,I
36.0,E,M,V
37.5,E,M,I
39.0,E,M,IV
40.0,B,M,V
40.5,B,M,I
41.5,B,M,V
42.0,B,M,V
43.0,B,M,IV
43.5,B,M,I
44.5,E,M,V
45.0,E,M,VI
49.5,E,M,V
52.5,E,M,II
54.0,E,M,I
59.5,E,M,V
60.0,E,M,I
65.5,E,M,V
66.0,E,M,I
71.5,E,M,V
72.0,E,M,I
76.5,E,M,V
78.0,E,M,I
82.5,E,M,V
84.0,E,M,I
105.0,E,M,IV
111.0,F#,m,V+
119.5,F#,m,I
121.0,F#,m,V+
123.0,F#,m,VI
124.0,F#,m,I
129.0,F#,m,III
134.5,F#,m,VI
137.0,B,m,V+
140.5,B,m,I
142.5,B,m,V+
144.0,B,m,V
145.5,C#,m,V+
148.5,C#,m,I
149.5,C#,m,II
150.0,C#,m,III
152.5,C#,m,V+
155.5,C#,m,I
157.5,C#,m,VI
161.5,A,m,V+
163.0,A,m,I
163.5,A,m,V+
164.5,A,m,I
165.0,A,m,V+
169.0,A,m,I
169.5,A,m,II
171.0,A,M,V
173.5,A,M,I
174.0,A,M,V
175.0,A,M,IV
175.5,A,M,V
176.5,A,M,I
177.0,A,M,II
178.5,A,M,I
181.5,A,M,IV
184.5,A,M,V
186.0,A,M,IV
187.5,A,M,V
191.5,A,M,I
192.0,A,M,V
194.5,A,M,I
195.0,A,M,IV
196.5,A,M,V
199.0,A,M,I
199.5,A,M,V
201.0,A,M,VI
205.5,A,M,V
208.5,A,M,II
210.0,A,M,I
215.5,A,M,V
216.0,A,M,I
221.5,A,M,V
222.0,A,M,I
225.0,A,M,V
228.0,A,M,I
232.5,A,M,V
234.0,A,M,I
238.5,A,M,V
240.0,A,M,I
241.0,A,M,V
242.5,A,M,I
244.0,A,M,V
245.5,A,M,I
247.0,A,M,V
248.5,A,M,I
254.5,A,M,DimVII7
262.5,A,M,I
269.0,A,M,II
270.0,A,M,I
271.5,A,M,V
273.0,A,M,I
274.5,A,M,VI
279.0,A,M,V
280.5,A,M,I
282.0,A,M,II
283.5,A,M,V
287.5,A,M,I
290.5,A,M,V
295.5,A,M,V
297.0,A,M,I
298.5,A,M,V
300.0,A,M,I
301.5,A,M,V
304.5,A,M,I
