offset,tonic,key,numeral
1.0,D,m,I
1.5,D,m,IV
2.0,D,m,#IVdim
2.125,D,m,I
2.25,D,m,VI
2.375,D,m,#IVdim
3.125,D,m,VI
3.25,D,m,V+
3.5,D,m,I
4.875,D,m,V+
6.0,D,m,V+7
7.0,D,m,I
7.5,D,m,V
7.75,D,m,VI
8.0,D,m,#IVdim
8.25,D,m,V+
8.5,D,m,I
8.625,D,m,#IVdim
9.25,D,m,V+
9.5,D,m,I
9.875,Bb,M,I
10.375,Bb,M,V7
10.5,Bb,M,I
11.0,Bb,M,IV
11.125,Bb,M,V7
11.25,Bb,M,VI
11.375,Bb,M,V7
11.5,Bb,M,I
12.375,Bb,M,V7
12.5,Bb,M,I
13.0,Bb,M,I
13.125,Bb,M,IV
13.25,Bb,M,II
13.375,Bb,M,V
13.5,Bb,M,I
14.0,D,m,V+7
15.0,D,m,I
15.5,D,m,V
16.0,D,m,V
16.875,D,m,IV
17.0,D,m,V+7
18.0,D,m,FreVI
18.375,D,m,V+
18.5,D,m,I
18.625,D,m,#IVdim
19.25,D,m,V+
19.5,D,m,I
