offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.25,0.0,0.25,0.0,0.0,1.75,0.0,0.0,0.0,0.25,0.0,0.0,3.5
2.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.25,0.0,0.25,0.0,0.0,3.5
3.0,1.25,0.0,0.25,0.0,0.0,1.75,0.0,0.0,0.0,0.25,0.0,0.0,3.5
4.0,1.25,0.0,0.25,0.0,0.25,0.5,0.0,1.0,0.0,0.0,0.25,0.0,3.5
5.0,1.5,0.0,0.0,0.0,0.25,0.5,0.0,0.75,0.0,0.25,0.25,0.0,3.5
6.0,1.25,0.0,0.25,0.0,0.25,0.5,0.0,1.0,0.0,0.0,0.25,0.0,3.5
7.0,1.25,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,1.25,0.0,0.0,3.5
8.0,0.75,0.0,0.75,0.0,0.0,1.75,0.0,0.0,0.0,0.25,0.0,0.0,3.5
9.0,0.0,0.0,1.5,0.0,0.0,0.25,0.0,1.25,0.0,0.25,0.0,0.25,3.5
10.0,1.25,0.0,0.25,0.0,0.25,0.0,0.0,1.5,0.0,0.0,0.25,0.0,3.5
11.0,1.5,0.0,0.0,0.0,0.25,0.0,0.0,1.25,0.0,0.25,0.25,0.0,3.5
12.0,1.5,0.0,0.0,0.0,0.25,0.0,0.0,1.25,0.0,0.25,0.25,0.0,3.5
13.0,1.25,0.0,0.25,0.0,0.0,1.75,0.0,0.0,0.0,0.25,0.0,0.0,3.5
14.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.25,0.0,0.25,0.0,0.0,3.5
15.0,1.25,0.0,0.25,0.0,0.0,1.75,0.0,0.0,0.0,0.25,0.0,0.0,3.5
16.0,1.25,0.0,0.25,0.0,0.25,0.5,0.0,1.0,0.0,0.0,0.25,0.0,3.5
17.0,1.5,0.0,0.0,0.0,0.25,0.5,0.0,0.75,0.0,0.25,0.25,0.0,3.5
18.0,1.25,0.0,0.25,0.0,0.25,0.5,0.0,1.0,0.0,0.0,0.25,0.0,3.5
19.0,1.25,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,1.25,0.0,0.0,3.5
20.0,0.0,0.0,1.25,0.0,0.25,0.75,0.0,0.0,0.0,1.0,0.0,0.25,3.5
21.0,1.25,0.0,0.25,0.0,0.25,0.0,0.0,1.5,0.0,0.0,0.25,0.0,3.5
22.0,1.25,0.0,0.25,0.0,0.0,1.75,0.0,0.0,0.0,0.25,0.0,0.0,3.5
23.0,1.25,0.0,0.25,0.0,0.0,1.75,0.0,0.0,0.0,0.25,0.0,0.0,3.5
24.0,1.25,0.0,0.25,0.0,0.0,1.75,0.0,0.0,0.0,0.25,0.0,0.0,3.5
25.0,1.125,0.0,0.25,0.0,0.0,1.75,0.0,0.0,0.0,0.25,0.0,0.0,3.375
26.0,1.5,0.0,0.0,0.0,0.0,1.375,0.0,0.25,0.0,0.25,0.0,0.0,3.375
27.0,1.125,0.0,0.25,0.0,0.0,1.75,0.0,0.0,0.0,0.25,0.0,0.0,3.375
28.0,1.125,0.0,0.25,0.0,0.25,0.5,0.0,1.0,0.0,0.0,0.25,0.0,3.375
29.0,1.5,0.0,0.0,0.0,0.25,0.5,0.0,0.625,0.0,0.25,0.25,0.0,3.375
30.0,1.125,0.0,0.25,0.0,0.25,0.5,0.0,1.0,0.0,0.0,0.25,0.0,3.375
31.0,1.125,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,1.25,0.0,0.0,3.375
32.0,0.625,0.0,0.75,0.0,0.0,1.75,0.0,0.0,0.0,0.25,0.0,0.0,3.375
33.0,0.0,0.0,1.5,0.0,0.0,0.25,0.0,1.125,0.0,0.25,0.0,0.25,3.375
34.0,1.125,0.0,0.25,0.0,0.25,0.0,0.0,1.5,0.0,0.0,0.25,0.0,3.375
35.0,1.5,0.0,0.0,0.0,0.25,0.0,0.0,1.125,0.0,0.25,0.25,0.0,3.375
36.0,1.5,0.0,0.0,0.0,0.25,0.0,0.0,1.125,0.0,0.25,0.25,0.0,3.375
37.0,1.125,0.0,0.25,0.0,0.0,1.75,0.0,0.0,0.0,0.25,0.0,0.0,3.375
38.0,1.5,0.0,0.0,0.0,0.0,1.375,0.0,0.25,0.0,0.25,0.0,0.0,3.375
39.0,1.125,0.0,0.25,0.0,0.0,1.75,0.0,0.0,0.0,0.25,0.0,0.0,3.375
40.0,1.125,0.0,0.25,0.0,0.25,0.5,0.0,1.0,0.0,0.0,0.25,0.0,3.375
