offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total
0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.5,0.0,1.667
0.25,0.0,0.333,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.167,0.0,0.833
0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.833,0.0,0.0,0.0,0.0,0.333,1.667
0.75,0.0,0.0,0.0,0.167,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.167,0.833
1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.333,0.0,1.667
1.25,0.0,0.167,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.333,0.0,0.833
1.5,0.0,0.167,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.333
1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.167,0.0,1.0
2.25,0.0,0.167,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.5
2.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.333,1.333
2.75,0.0,0.0,0.0,0.167,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.167,0.667
3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.333,0.0,1.333
3.25,0.0,0.167,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.333,0.0,0.667
3.5,0.0,0.167,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.333
3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167
4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.25,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.5
4.5,0.0,0.5,0.0,0.0,0.0,0.333,0.0,0.0,0.5,0.0,0.0,0.0,1.333
4.75,0.0,0.167,0.0,0.0,0.0,0.167,0.0,0.0,0.333,0.0,0.0,0.0,0.667
5.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.333,1.333
5.25,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.167,0.667
5.5,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.667
5.75,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.333
6.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667
6.25,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.333
6.5,0.0,0.333,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.333,1.667
6.75,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.167,0.833
7.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.333,1.667
7.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.167,0.833
7.5,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.333
7.75,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167
8.0,0.0,0.333,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.5,0.0,1.667
8.25,0.0,0.333,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.167,0.0,0.833
8.5,0.0,0.0,0.0,0.5,0.0,0.0,0.833,0.0,0.0,0.0,0.0,0.333,1.667
8.75,0.0,0.0,0.0,0.167,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.167,0.833
9.0,0.0,0.5,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.333,0.0,1.667
9.25,0.0,0.167,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.333,0.0,0.833
9.5,0.0,0.167,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.333
9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.167,0.0,1.0
10.25,0.0,0.167,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.5
10.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.333,1.333
10.75,0.0,0.0,0.0,0.167,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.167,0.667
11.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.333,0.0,1.333
11.25,0.0,0.167,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.333,0.0,0.667
11.5,0.0,0.167,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.333
11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167
12.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.667
12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.167,0.333
12.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0
12.75,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.5
13.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0
13.25,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.5
13.5,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.333,0.667
13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.167,0.333
14.0,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.667,0.0,1.333
14.25,0.0,0.0,0.167,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.333,0.0,0.667
14.5,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.667,0.0,1.333
14.75,0.0,0.0,0.167,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.333,0.0,0.667
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.333
15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167
15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.333
15.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167
16.0,0.0,0.333,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.5,0.0,1.667
16.25,0.0,0.333,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.167,0.0,0.833
16.5,0.0,0.0,0.0,0.5,0.0,0.0,0.833,0.0,0.0,0.0,0.0,0.333,1.667
16.75,0.0,0.0,0.0,0.167,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.167,0.833
17.0,0.0,0.5,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.333,0.0,1.667
17.25,0.0,0.167,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.333,0.0,0.833
17.5,0.0,0.167,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.333
17.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.167,0.0,1.0
18.25,0.0,0.167,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.5
