offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,2.5
1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5,0.0,3.0
2.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.5,3.5
3.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,2.5
4.5,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,3.0
5.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.5
6.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,2.5
7.5,1.5,0.125,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.125,3.25
8.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,3.5
9.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5
10.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.0,3.0
11.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,3.5
12.5,0.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.5,0.0,2.5
13.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,3.0
14.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.5,0.0,0.0,0.0,0.0,3.5
15.5,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.5
16.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,3.0
17.5,1.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5
18.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,2.5
19.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,1.25,0.0,3.0
20.5,0.25,0.0,0.75,0.0,0.0,0.5,0.0,0.25,0.75,0.0,0.5,0.0,3.0
21.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.5
22.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,2.5
23.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
24.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,2.5
25.5,0.0,0.0,0.0,1.0,0.0,0.25,0.0,1.25,0.0,0.0,0.5,0.0,3.0
26.5,0.0,0.0,1.0,0.0,0.25,0.5,0.0,0.25,1.0,0.0,0.0,0.5,3.5
27.5,0.0,0.0,0.0,1.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,2.5
28.5,0.0,0.0,0.5,1.25,0.0,0.25,0.0,0.5,0.0,0.0,0.5,0.0,3.0
29.5,0.0,0.0,0.25,1.5,0.0,0.25,0.0,1.0,0.0,0.0,0.5,0.0,3.5
30.5,0.75,0.25,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.25,2.5
31.5,0.75,0.0,0.0,0.0,0.75,0.25,0.0,0.5,0.25,0.0,0.5,0.0,3.0
32.5,0.75,0.25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,3.5
33.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5
34.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.0,3.0
35.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,3.5
36.5,0.0,0.0,0.5,0.0,0.0,1.5,0.0,0.5,0.0,0.0,0.5,0.0,3.0
37.5,0.0,0.0,0.5,0.0,0.062,0.5,0.0,0.688,0.5,0.0,0.5,0.5,3.25
38.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.5,0.0,0.0,0.0,0.0,3.5
39.5,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.5
40.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,3.0
41.5,1.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5
42.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,2.5
43.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,1.25,0.0,3.0
44.5,0.25,0.0,0.75,0.0,0.0,0.5,0.0,0.25,1.0,0.0,0.5,0.0,3.25
45.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.5
46.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,3.0
47.5,0.0,0.0,0.5,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,3.5
48.5,0.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.5,0.0,2.5
49.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,3.0
50.5,0.0,0.0,1.0,0.0,0.0,1.5,0.0,0.5,0.0,0.0,0.5,0.0,3.5
51.5,0.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.0,2.5
52.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
53.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
54.5,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.5
55.5,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
56.5,0.0,0.0,0.25,1.375,0.0,0.375,0.0,0.0,0.5,0.0,0.0,1.0,3.5
57.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.5
58.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,3.0
59.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,3.5
60.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5
61.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,1.0,0.0,3.0
62.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.5,0.0,3.5
63.5,0.0,0.0,0.0,0.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.5
64.5,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,3.5
65.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,0.0,4.0
66.5,0.5,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,3.5
67.5,0.5,0.0,0.5,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,3.5
68.5,1.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5
69.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,1.0,0.5,4.0
70.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,3.5
71.5,1.0,0.0,0.5,0.5,0.0,1.5,0.0,0.0,0.5,0.5,0.5,0.0,5.0
72.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,4.0
73.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.25,1.0,0.25,3.0
74.5,0.0,0.25,1.25,0.0,0.0,0.125,0.0,0.375,1.0,0.0,0.5,0.0,3.5
75.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,2.5
76.5,0.0,0.0,0.5,1.25,0.0,0.25,0.0,0.5,0.0,0.0,0.5,0.0,3.0
77.5,0.0,0.0,0.25,1.5,0.0,0.25,0.0,1.0,0.0,0.0,0.5,0.0,3.5
78.5,0.75,0.25,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.25,2.5
79.5,0.75,0.0,0.0,0.0,0.75,0.25,0.0,0.5,0.25,0.0,0.5,0.0,3.0
80.5,0.75,0.25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,3.5
81.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5
82.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.0,3.0
83.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,3.5
84.5,0.0,0.0,0.5,0.0,0.0,1.5,0.0,0.5,0.0,0.0,0.5,0.0,3.0
85.5,0.0,0.0,0.5,0.0,0.062,0.5,0.0,0.688,0.5,0.0,0.5,0.5,3.25
86.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.5,0.0,0.0,0.0,0.0,3.5
87.5,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.5
88.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,3.0
89.5,1.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5
90.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,2.5
91.5,0.125,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.125,1.125,0.125,3.0
92.5,0.0,0.0,1.25,0.083,0.0,0.708,0.0,0.083,0.625,0.0,0.625,0.125,3.5
93.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.5
94.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,2.5
95.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,3.0
96.5,0.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.5,0.0,2.5
97.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,3.0
98.5,0.0,0.0,1.0,0.0,0.0,1.5,0.0,0.5,0.0,0.0,0.5,0.0,3.5
99.5,0.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.0,2.5
100.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
