offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total
0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,0.332,0.0,0.0,0.0,0.332,1.328
0.25,0.0,0.0,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.0,0.0,0.664,1.328
0.5,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.086,0.0,0.0,0.0,0.086,0.344
0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.25,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0,3.0,6.0
2.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,2.0
3.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,0.332,0.0,0.0,0.0,0.332,1.328
3.25,0.0,0.0,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.0,0.0,0.664,1.328
3.5,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.086,0.0,0.0,0.0,0.086,0.344
3.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.25,1.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0,3.0,6.0
5.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,2.0
6.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.75,0.0,0.0,0.0,0.75,3.0
6.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.25,1.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,2.25,3.0
7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,1.0
8.0,0.0,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.0,0.0,0.0,0.996,1.66
8.25,0.0,0.0,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.0,0.0,0.996,1.66
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.0,0.086,0.0,0.258,0.43
8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.75,1.25
9.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,15.0
12.0,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.332,0.0,0.0,0.0,0.332,1.66
12.25,0.0,0.0,0.0,0.0,0.664,0.0,0.0,0.664,0.0,0.0,0.0,0.332,1.66
12.5,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.086,0.0,0.0,0.0,0.172,0.43
12.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.5,1.25
13.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,6.0
14.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,2.5
15.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,0.664,0.0,0.0,0.0,0.332,1.66
15.25,0.0,0.0,0.0,0.0,0.664,0.0,0.332,0.332,0.0,0.0,0.0,0.332,1.66
15.5,0.0,0.0,0.0,0.0,0.258,0.0,0.0,0.086,0.0,0.0,0.0,0.086,0.43
15.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.25,1.25
16.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0
17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,2.5
17.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,2.0
18.0,0.0,0.0,0.0,0.75,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,3.75
18.75,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,1.0
19.0,0.0,0.0,0.0,0.75,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,3.75
19.75,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,1.0
20.0,0.0,0.0,0.0,0.332,0.0,0.0,0.664,0.0,0.0,0.0,0.0,0.664,1.66
20.25,0.0,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.0,0.0,0.0,0.664,1.328
20.5,0.0,0.0,0.0,0.086,0.0,0.0,0.086,0.0,0.0,0.086,0.0,0.172,0.43
20.75,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.5,1.25
21.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,10.0
23.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0
24.0,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.332,0.0,0.0,0.0,0.332,1.66
24.25,0.0,0.0,0.0,0.0,0.664,0.0,0.0,0.664,0.0,0.0,0.0,0.332,1.66
24.5,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.086,0.0,0.0,0.0,0.172,0.43
24.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.5,1.25
25.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,6.0
26.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,2.5
27.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,0.664,0.0,0.0,0.0,0.332,1.66
27.25,0.0,0.0,0.0,0.0,0.664,0.0,0.332,0.332,0.0,0.0,0.0,0.332,1.66
27.5,0.0,0.0,0.0,0.0,0.258,0.0,0.0,0.086,0.0,0.0,0.0,0.086,0.43
27.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.25,1.25
28.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0
29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,2.5
29.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,2.0
30.0,0.0,0.0,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.0,0.0,1.328,1.992
30.25,0.0,0.0,0.0,0.0,0.664,0.0,0.0,0.332,0.0,0.0,0.0,0.996,1.992
30.5,0.0,0.0,0.0,0.0,0.086,0.0,0.086,0.086,0.0,0.0,0.0,0.258,0.516
30.75,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.75,1.5
31.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.5,0.0,0.0,0.0,2.25,4.5
31.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.75,1.5
32.0,0.0,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.996,1.992
32.25,0.0,0.332,0.0,0.332,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.996,2.324
32.5,0.0,0.0,0.0,0.172,0.0,0.0,0.086,0.0,0.0,0.086,0.0,0.258,0.602
32.75,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.75,1.75
33.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0
34.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.5,3.5
34.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,3.0
35.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,3.5
35.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,3.0
36.0,0.996,0.0,0.0,0.0,0.664,0.0,0.0,0.0,0.0,0.996,0.0,0.0,2.656
36.25,0.664,0.0,0.0,0.0,0.664,0.0,0.0,0.0,0.0,0.996,0.0,0.332,2.656
36.5,0.172,0.0,0.0,0.0,0.172,0.0,0.0,0.0,0.0,0.258,0.0,0.0,0.602
36.75,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.75
37.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,0.664,0.0,0.0,0.0,0.996,2.324
37.25,0.0,0.0,0.0,0.0,0.664,0.0,0.0,0.664,0.0,0.332,0.0,0.996,2.656
37.5,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.258,0.0,0.0,0.0,0.258,0.688
37.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.75,2.0
38.0,0.0,0.0,0.0,0.664,0.0,0.0,0.332,0.0,0.0,0.664,0.0,0.996,2.656
38.25,0.0,0.0,0.0,0.664,0.0,0.0,0.332,0.332,0.0,0.332,0.0,0.996,2.656
38.5,0.0,0.0,0.0,0.172,0.0,0.0,0.172,0.0,0.0,0.086,0.0,0.258,0.688
38.75,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.75,2.0
39.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,16.0
41.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,7.0
42.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,0.332,0.0,0.0,0.0,0.332,1.328
42.25,0.0,0.0,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.0,0.0,0.664,1.328
42.5,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.086,0.0,0.0,0.0,0.086,0.344
42.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.25,1.0
43.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0,3.0,6.0
44.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,2.0
45.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,0.332,0.0,0.0,0.0,0.332,1.328
45.25,0.0,0.0,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.0,0.0,0.664,1.328
45.5,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.086,0.0,0.0,0.0,0.086,0.344
45.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.25,1.0
46.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0,3.0,6.0
47.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,2.0
48.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.75,0.0,0.0,0.0,0.75,3.0
48.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.25,1.0
49.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.5,3.0
49.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,1.0
50.0,0.0,0.0,0.996,0.0,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.0,1.66
50.25,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.332,0.0,0.0,0.0,0.332,1.66
50.5,0.086,0.0,0.258,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.0,0.43
50.75,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.25
51.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,15.0
54.0,0.664,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.0,1.66
54.25,0.332,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.332,1.66
54.5,0.086,0.0,0.0,0.086,0.0,0.0,0.086,0.0,0.0,0.172,0.0,0.0,0.43
54.75,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,1.25
55.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0
56.0,0.332,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.0,0.664,0.0,0.0,1.66
56.25,0.332,0.0,0.0,0.332,0.0,0.0,0.332,0.332,0.0,0.332,0.0,0.0,1.66
56.5,0.336,0.0,0.0,0.336,0.0,0.0,0.672,0.0,0.0,0.336,0.0,0.0,1.68
57.0,0.664,0.0,0.332,0.0,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.0,1.66
57.25,0.332,0.0,0.332,0.0,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.332,1.66
57.5,0.086,0.0,0.086,0.0,0.0,0.0,0.086,0.0,0.0,0.172,0.0,0.0,0.43
57.75,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,1.25
58.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0
59.0,0.332,0.0,0.332,0.0,0.0,0.0,0.332,0.0,0.0,0.664,0.0,0.0,1.66
59.25,0.332,0.0,0.332,0.0,0.0,0.0,0.332,0.332,0.0,0.332,0.0,0.0,1.66
59.5,0.336,0.0,0.336,0.0,0.0,0.0,0.672,0.0,0.0,0.336,0.0,0.0,1.68
60.0,0.0,0.0,0.664,0.0,0.0,0.0,0.0,0.664,0.0,0.0,0.0,0.664,1.992
60.25,0.0,0.0,0.664,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.332,1.992
60.5,0.0,0.0,0.258,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.0,0.086,0.516
60.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,1.5
61.0,0.0,0.0,0.664,0.0,0.0,0.0,0.0,0.664,0.0,0.0,0.0,0.664,1.992
61.25,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.664,0.0,0.0,0.0,0.332,1.992
61.5,0.0,0.0,0.172,0.0,0.0,0.0,0.0,0.258,0.0,0.0,0.0,0.086,0.516
61.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,1.5
62.0,0.0,0.0,0.664,0.0,0.0,0.0,0.0,0.664,0.0,0.0,0.0,0.664,1.992
62.25,0.332,0.0,0.664,0.0,0.0,0.0,0.0,0.664,0.0,0.0,0.0,0.332,1.992
62.5,0.0,0.0,0.172,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.0,0.086,0.43
62.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,1.25
63.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,10.0
66.0,0.664,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.0,0.332,0.0,0.0,1.66
