0,1,2,3,4,5,6,7,8,9,10,11,key,major/minor,chordStyle
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4,0,
0.0,0.0,1.5,5.5,0.0,2.0,0.0,5.5,1.0,0.0,2.0,0.5,3,0,0
4.25,1.125,0.0,0.0,2.5,2.5,0.0,3.5,1.5,0.0,3.0,0.125,5,1,0
3.0,0.0,2.0,3.5,0.0,3.0,1.0,3.0,0.5,0.5,1.0,0.5,0,1,0
0.75,0.0,1.25,5.5,0.0,1.0,0.0,2.25,1.5,0.0,4.25,0.0,3,0,0
0.0,0.0,1.75,6.25,0.25,1.75,0.0,5.0,1.0,0.0,1.5,0.5,3,0,0
3.25,1.5,0.0,0.0,2.75,2.75,0.0,2.75,1.75,0.0,3.0,0.25,5,1,0
3.0,0.0,2.0,3.5,0.0625,3.75,1.0,3.6875,0.5,0.5,1.0,0.5,0,1,0
0.75,0.0,1.75,6.5,0.0,1.0,0.0,2.25,1.5,0.0,3.75,0.0,3,0,0
3.5,0.0,2.0,0.0,0.0,7.5,0.0,1.0,0.0,1.0,2.0,0.0,5,0,0
1.0,0.0,0.25,8.875,0.0,0.375,0.0,2.0,2.0,0.0,2.5,1.0,3,0,0
1.5,1.0,2.5,1.0,2.0,2.5,0.0,2.5,0.0,3.0,5.0,0.0,0,1,10
3.5,0.0,2.0,4.5,1.0,3.5,0.5,3.0,1.0,2.5,2.0,1.0,3,0,4
0.0,0.25,2.0,5.75,0.0,1.625,0.0,4.375,1.0,0.25,2.5,0.25,3,0,2
3.25,1.5,0.0,0.0,2.75,2.75,0.0,2.75,1.75,0.0,3.0,0.25,5,1,0
3.0,0.0,2.0,3.5,0.0625,3.75,1.0,3.6875,0.5,0.5,1.0,0.5,10,0,12
0.125,0.5,2.25,5.583333333333333,0.0,1.2083333333333333,0.0,2.0833333333333335,1.125,0.125,3.75,0.25,3,0,0
3.5,0.0,2.0,0.0,0.0,7.5,0.0,1.0,0.0,1.0,2.0,0.0,3,0,4
1.0,0.0,0.25,8.875,0.0,0.375,0.0,2.0,2.0,0.0,2.5,1.0,3,0,0
1.5,1.0,2.5,1.0,2.0,2.5,0.0,2.5,0.0,3.0,5.0,0.0,5,1,1
3.5,0.0,2.0,4.5,1.0,3.5,0.5,3.0,1.0,2.5,2.0,1.0,3,0,4
0.0,0.25,2.0,5.75,0.0,1.625,0.0,4.375,1.0,0.25,2.5,0.25,3,0,2
3.25,1.5,0.0,0.0,2.75,2.75,0.0,2.75,1.75,0.0,3.5,0.25,5,1,0
3.0,0.0,2.0,3.5,0.0625,3.75,1.0,3.6875,0.5,0.5,1.0,0.5,10,0,12
0.475,0.375,1.625,7.083333333333333,0.0,1.0833333333333333,0.0,2.0833333333333335,1.1,0.35,3.6,0.225,3,0,0
0.0,0.0,0.0,8.0,0.0,1.0,0.0,5.0,2.0,0.0,1.0,2.0,3,0,0
0.5,0.0,0.625,9.5,0.0,0.875,0.0,3.0,2.0,0.0,1.0,2.0,3,0,0
1.25,0.0,2.0,4.25,0.0,2.5,0.0,1.5,1.5,1.0,2.5,0.0,10,0,4
0.0,0.0,1.0,7.0,0.0,1.125,0.0,2.625,1.5,0.75,3.5,0.5,3,0,0
0.0,0.0,0.0,7.75,0.0,0.75,0.0,3.5,3.0,0.0,1.0,2.5,3,0,0
1.5,0.0,1.0,8.5,0.0,1.125,0.0,1.75,4.0,0.5,0.75,2.75,10,0,4
3.0,0.0,1.5,6.5,0.0,4.0,0.0,3.0,1.5,1.5,2.5,1.5,10,0,4
2.0,0.0,3.375,0.0,0.0,0.75,0.0,0.0,0.75,2.0,9.125,8.0,3,0,4
2.0,0.0,1.0,0.25,0.0,0.25,0.0,0.25,0.75,1.25,2.0,1.25,3,0,4
0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,3,0,0
0.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,3,0,0
