offset,tonic,key,numeral
1,e,M,?
5,e,M,I
7,e,M,I
9,e,M,I
15,e,M,I
17,e,M,I
25,e,M,?
27.5,e,M,?
29,e,m,V+7
31,e,m,V+7
32,e,m,V+7
33,e,M,?
35,e,M,V7
37,e,M,I
43,e,M,I
45,e,M,I
51,e,M,I
53,e,M,I
61,e,M,?
63.5,e,M,?
65,e,m,V+7
67,e,m,V+7
68,e,m,V+7
69,e,M,?
71,e,M,?
73,e,m,V+
83,e,M,V7
85,e,M,V7
89,e,M,I
91,e,M,I
95,e,M,I
97,e,M,I
103,e,M,I
105,e,M,I
113,e,M,?
115.5,e,M,?
117,e,m,V+7
119,e,m,V+7
120,e,m,V+7
121,e,M,?
123,e,M,?
125,e,m,V+
135,e,M,V7
137,e,M,V7
141,e,M,I
143,e,M,I
147,e,M,I
149,e,M,I
155,e,M,I
157,e,M,I
159,e,M,I
161,e,M,I
162.5,e,M,?
163,e,M,I
164.5,e,M,VIIdim
165,e,M,?
167.5,e,M,?
171,e,M,?
173,e,M,?
174.5,e,m,V+7
175,e,M,?
177,e,M,?
179,e,M,?
181,e,M,?
183,e,m,V+
185,e,M,?
186.5,e,M,?
187,e,m,V+
189,e,M,?
193,e,m,V+7
195,e,M,?
197,e,M,?
199,e,m,V+7
201,e,M,?
202,e,M,?
203,e,m,V+7
205,e,M,?
206,e,M,?
206.5,e,m,V+
207,e,M,?
209,e,m,V+7
213,e,M,?
214.5,e,m,V+
215,e,M,?
217,e,m,V+7
221,e,M,?
225,e,m,VI
227,e,m,VI
229,e,m,V
237,e,M,?
241,e,M,?
243,e,M,?
245,e,M,III
250.5,e,m,V+7
251,e,M,III
253,e,m,V+
255,e,m,V+7
257,e,m,V
259,e,M,?
260,e,M,GerVI
261,e,m,V+
263,e,m,V+7
267,e,M,?
268,e,M,?
269,e,m,V+
273,e,m,V+7
276,e,m,V+
277,e,M,?
280,e,M,?
281,e,m,V+7
284,e,m,V+7
285,e,M,?
287,e,M,?
288,e,M,?
289,e,M,bII
291,e,M,bII
292,e,M,bII
296,e,M,bII
297,e,M,?
301,e,m,V+
304,e,m,V+
305,e,M,?
313,e,m,V+7
317,e,M,?
321,e,M,bII
325,e,M,bII
329,e,M,?
333,e,m,V+7
337,e,M,?
339,e,M,?
341,e,M,?
345,e,M,?
349,e,M,?
353,e,M,?
354,e,M,?
372,e,M,V
423,e,M,V
425,e,M,I
431,e,M,I
433,e,M,I
439,e,M,I
441,e,M,I
449,e,M,?
451.5,e,M,?
453,e,m,V+7
455,e,m,V+7
456,e,m,V+7
457,e,M,?
