offset,tonic,key,numeral
0.0,G,m,I
6.0,G,m,V+
8.0,G,m,I
17.0,G,m,V+
18.0,G,m,I
20.0,D,m,I
21.0,D,m,V+
22.0,D,m,I
26.0,D,m,V+
28.0,D,m,I
29.0,D,m,V+7
30.0,D,m,I
31.0,D,m,V+7
32.0,D,m,I
33.0,D,m,V+7
34.0,D,m,I
35.0,D,m,V+7
36.0,D,m,I
37.0,D,m,V+7
38.0,D,m,I
40.0,G,m,II
42.0,G,m,I
44.0,G,m,V+7
46.0,G,m,I
47.0,G,m,V+
48.0,G,m,I
52.0,G,m,V+7
54.0,G,m,I
55.0,G,m,V+7
56.0,G,m,I
57.0,G,m,V+7
58.0,G,m,I
59.0,G,m,V+7
60.0,G,m,I
61.0,G,m,V+7
62.0,G,m,I
63.0,G,m,V+7
66.0,D,m,I
67.0,D,m,II
68.0,D,m,I
69.5,D,m,V+7
70.0,D,m,I
72.0,D,m,V+7
74.0,D,m,I
75.0,D,m,V+7
76.0,D,m,I
77.0,D,m,V+7
78.0,D,m,I
79.0,D,m,V+7
80.0,D,m,I
81.0,D,m,V+7
82.0,D,m,I
82.5,D,m,IV
83.0,D,m,V+7
84.0,D,m,I
86.0,G,m,I
88.0,G,m,IV
90.0,Bb,M,V7
92.0,G,m,III
93.0,G,m,IV
94.0,G,m,III
95.0,G,m,V+7
96.0,G,m,I
97.0,G,m,V
98.0,G,m,I
101.0,G,m,V+7
102.0,G,m,I
103.5,G,m,VII
104.0,G,m,VI
106.0,G,m,V+7
108.0,G,m,I
109.0,G,m,V+7
110.0,G,m,I
111.0,G,m,V+7
112.0,G,m,I
113.0,G,m,V+7
114.0,G,m,I
115.0,G,m,V+7
116.0,G,m,I
117.0,G,m,V+7
118.0,G,m,I
119.0,G,m,IV
120.0,G,m,V+7
121.0,G,m,III
122.0,G,m,VI
123.0,G,m,II7
124.0,G,m,III
126.0,Bb,M,V7
128.0,Bb,M,I
129.0,Bb,M,V
130.0,Bb,M,I
132.0,Bb,M,VI
134.0,Bb,M,V7
136.0,Bb,M,I
137.0,Bb,M,V7
138.0,Bb,M,I
139.0,Bb,M,V7
140.0,Bb,M,I
141.0,Bb,M,V7
142.0,Bb,M,I
143.0,Bb,M,V7
144.0,Bb,M,I
145.0,Bb,M,V7
146.0,Bb,M,VI
148.0,Bb,M,V
150.0,F,M,V7
152.0,Bb,M,V7
153.5,Eb,M,VII
154.0,Eb,M,I
156.0,Bb,M,I
158.0,Bb,M,II
159.0,Bb,M,V7
160.0,Bb,M,I
161.0,Bb,M,V7
162.0,Bb,M,I
164.0,F,M,V7
166.5,Bb,M,V7
168.25,Bb,M,III
169.25,Bb,M,V7
170.25,Bb,M,I
171.25,Bb,M,V7
172.0,Bb,M,I
173.0,Bb,M,V7
174.0,Bb,M,I
175.0,Bb,M,V7
176.0,Bb,M,I
177.0,Bb,M,V
178.0,Bb,M,I
180.0,Bb,M,II
182.0,Bb,M,V7
184.0,Bb,M,I
186.0,Eb,M,I
188.0,Eb,M,IV
190.0,C,m,I
191.0,C,m,V+7
192.0,C,m,I
194.0,C,m,IV
196.0,C,m,V+7
198.0,C,m,I
199.0,C,m,V+7
200.0,C,m,I
203.0,C,m,II7
204.0,C,m,V+7
206.0,C,m,I
207.0,C,m,V+7
208.0,C,m,I
208.75,C,m,V+7
210.0,C,m,I
211.0,C,m,V+7
212.0,C,m,I
213.0,C,m,V+7
214.0,C,m,I
215.0,C,m,II
215.5,C,m,V+7
216.0,C,m,I
217.5,F,M,V7
220.0,F,M,I
222.0,F,M,IV
224.0,F,M,VII
226.0,G,m,V+7
228.0,G,m,I
229.0,G,m,V+7
230.0,G,m,I
235.0,Bb,M,V7
236.0,Bb,M,I
237.0,C,M,V7
238.0,C,M,I
239.0,D,m,V+7
240.0,G,m,V+7
242.0,G,m,I
244.0,G,m,IV
245.0,G,m,VII
246.0,G,m,III
247.0,G,m,VI
248.0,G,m,II7
249.0,G,m,V+7
250.0,G,m,I
251.0,G,m,V+
252.0,G,m,I
255.0,G,m,V+7
258.0,G,m,I
259.0,G,m,V+7
260.0,G,m,I
261.0,G,m,V+7
262.0,G,m,I
263.0,G,m,V+7
264.0,G,m,I
265.0,G,m,V+7
266.0,G,m,I
266.5,G,m,VI
267.0,G,m,II7
267.5,G,m,V+7
268.0,G,m,I+
