offset,tonic,key,numeral
0.0,C#,m,I
8.0,C#,m,VI
10.0,C#,m,bII
12.0,C#,m,V+7
16.0,C#,m,I
20.0,C#,m,V+7
24.0,C#,m,I
26.0,C#,m,IV
28.0,E,m,I+
30.0,E,m,V+7
32.0,E,m,I+
36.0,E,m,I
40.0,E,m,III
44.0,E,m,IV
45.0,E,m,I
46.0,B,m,DimVII7
47.0,B,m,V+7
48.0,B,m,I
50.0,B,m,IV
52.0,B,m,I
54.0,B,m,V+
56.0,B,m,I
58.0,E,m,V
60.0,E,m,I
64.0,E,m,V+
68.0,E,m,I
72.0,E,m,V+
74.0,F#,m,DimVII7
76.0,F#,m,V+7
78.0,F#,m,I
80.0,F#,m,bII
82.0,C#,m,DimVII7
84.0,F#,m,I
87.0,F#,m,V+
88.0,F#,m,I
92.0,F#,m,V+7
96.0,F#,m,I
98.0,C#,m,II7
99.0,C#,m,IV
100.0,C#,m,V
104.0,C#,m,I
106.0,C#,m,II
107.0,G#,m,DimVII7
108.0,C#,m,V
116.0,C#,m,I
124.0,C#,m,DimVII7
128.0,C#,m,I
132.0,G#,m,DimVII7
136.0,C#,m,DimVII7
148.0,C#,m,V+7
158.0,C#,m,VI
160.0,C#,m,II
162.0,C#,m,V+7
164.0,C#,m,I
168.0,C#,m,V+7
172.0,C#,m,I
174.0,C#,m,IV
176.0,E,M,I
178.0,E,M,V7
180.0,E,M,I
184.0,E,M,V7
188.0,E,M,I
190.0,C#,m,V+7
191.0,C#,m,I
192.0,C#,m,V+7
194.0,C#,m,I
196.0,C#,m,bII
198.0,C#,m,V+7
200.0,C#,m,I
202.0,C#,m,I+
204.0,C#,m,bII
208.0,C#,m,I+
212.0,C#,m,bII
216.0,C#,m,I+
218.0,C#,m,IV
220.0,E,M,V7
223.0,E,M,I
224.0,E,M,IV
225.0,E,M,DimVII7
226.0,C#,m,V+7
227.0,C#,m,I
228.0,C#,m,IV
230.0,C#,m,I
231.0,C#,m,IV
232.0,C#,m,I
234.0,C#,m,V+7
236.0,C#,m,I
240.0,C#,m,V+7
244.0,C#,m,I
248.0,C#,m,V+7
252.0,C#,m,I
256.0,C#,m,V+7
260.0,C#,m,I
