offset,tonic,key,chord
0.0,F,m,I
1.0,F,m,V+
2.0,F,m,I
3.0,F,m,DimVII7
4.0,C,M,DimVII7
6.0,C,M,I
13.0,C,M,V
14.0,C,M,I
34.0,C,M,V
36.0,C,M,I
38.0,C,M,V
40.0,C,M,I
42.0,C,M,V
43.0,C,M,I
47.0,F,m,V+
48.0,F,m,I
50.0,F,m,V+
52.0,F,m,I
54.0,F,m,V+
56.0,F,m,I
58.0,F,m,V
60.0,F,m,DimVII7
62.0,F,m,V
66.0,F,m,II
68.0,F,m,I
69.0,F,m,V+7
70.0,F,m,VI
71.0,F,m,IV
72.0,F,m,I
73.0,F,m,V+
74.0,F,m,I
75.0,F,m,V+
77.0,C,M,V
78.0,C,M,IV
80.0,D♭,M,I
92.0,D♭,M,V
94.0,D♭,M,I
110.0,G♭,M,I
120.0,G♭,M,V
126.0,G♭,M,I
137.0,E♭,m,V+
139.0,E♭,m,I
141.0,E♭,m,V+
142.0,E♭,m,I
147.0,D♭,M,V
149.0,D♭,M,I
159.0,D♭,M,V
162.0,D♭,M,IV
164.0,D♭,M,I
175.0,D♭,M,V
181.0,D♭,M,I
191.5,F,m,I
192.5,F,m,V+
193.5,F,m,I
194.5,F,m,DimVII7
195.5,C,M,DimVII7
197.5,C,M,I
204.5,C,M,V
205.5,C,M,I
207.5,F,m,I
208.5,F,m,V+
209.5,F,m,I
210.5,F,m,DimVII7
211.5,C,M,DimVII7
213.5,C,M,I
220.5,C,M,V
221.5,C,M,I
224.5,C,M,V
241.5,C,M,V
243.5,C,M,I
245.5,C,M,V
247.5,C,M,I
249.5,C,M,II
250.5,C,M,I
251.5,C,M,V
254.5,F,m,V+
255.5,F,m,I
257.5,F,m,V+
259.5,F,m,I
261.5,F,m,V+
263.5,F,m,I
267.5,F,m,V+
273.5,F,m,II
275.5,F,m,I
276.5,F,m,V+
277.5,F,m,VI
278.5,F,m,IV
283.5,F,m,I
284.5,F,m,V+
289.5,F,m,I
295.5,F,m,V+
299.5,F,m,I
303.5,F,m,IV
307.5,F,m,I
311.5,F,m,V+
313.5,F,m,I
