offset,tonic,key,chord
0.0,C#,m,I
2.0,C#,m,IV
3.5,C#,m,I
4.0,C#,m,GerVI
5.0,C#,m,V+
8.0,C#,m,I
10.0,C#,m,IV
11.5,C#,m,I
12.0,C#,m,GerVI
13.0,C#,m,V+
16.0,C#,m,I
18.0,C#,m,II
20.0,C#,m,I
24.0,C#,m,I+
28.0,C#,m,II
32.0,C#,m,V+
36.0,C#,m,I
38.0,C#,m,IV
48.0,C#,m,I
50.0,C#,m,II
52.125,C#,m,I
56.125,C#,m,I+
60.125,C#,m,IV
64.125,C#,m,bII
68.125,C#,m,II
70.125,C#,m,GerVI
72.125,C#,m,I
74.125,C#,m,V+
76.125,C#,m,I
80.125,A,M,I
82.125,A,M,V7
84.125,A,M,I
86.125,A,M,V
90.125,A,M,I
94.125,A,M,I
96.125,F#,m,I
98.125,F#,m,V+7
102.125,F#,m,I
104.125,C#,m,V+
106.125,C#,m,I
110.125,C#,m,I
112.125,C#,m,II
114.125,C#,m,V+
116.125,C#,m,II
118.125,C#,m,V+
120.125,F#,M,DimVII7
122.125,G#,M,I
124.125,G#,M,V
126.125,G#,M,I
129.125,G#,M,V
132.125,G#,M,I
135.125,G#,M,V
138.125,G#,M,I
141.125,G#,M,V
144.125,G#,M,I
147.125,G#,M,V7
150.125,G#,M,I
153.125,G#,M,V7
156.125,G#,M,I
159.125,G#,M,V7
162.125,G#,M,I
172.125,C#,m,I
174.125,C#,m,II
176.25,C#,m,I
180.25,C#,m,I+
184.25,C#,m,IV
188.25,C#,m,V+7
192.25,C#,m,I
194.25,C#,m,II7
196.25,C#,m,V+
200.25,G#,m,DimVII7
202.25,G#,m,II
204.25,G#,m,V
208.25,G#,m,I
209.25,G#,m,IV
216.25,G#,m,I
218.25,G#,m,IV
222.25,G#,m,IV
224.25,G#,m,I
226.25,G#,m,II
228.25,G#,m,I
230.25,G#,m,II
55741/240,G#,m,I
56221/240,G#,m,II
56701/240,G#,m,I
57181/240,G#,m,II
57661/240,G#,m,I+
