offset,tonic,key,chord
0.5,Eb,M,I
2.5,Eb,M,V7
3.5,Eb,M,I
6.5,F,m,V+7
9.5,F,m,IV
11.0,F,m,I
12.5,F,m,IV+
14.0,C,m,V+7
15.5,C,m,I
17.0,Bb,M,DimVII7
18.5,Eb,M,V7
21.5,Eb,M,I
26.0,Eb,M,DimVII7
27.5,Eb,M,I
30.5,F,m,V+
33.5,F,m,I
36.5,F,m,IV+
38.0,C,m,V+7
39.5,C,m,I
41.0,Bb,M,DimVII7
42.5,Eb,M,V
45.5,Eb,M,I
48.5,Eb,M,V
51.5,F,M,I
54.5,Eb,M,IV
57.5,Eb,M,I
60.5,F,M,DimVII7
62.0,F,M,V
63.5,F,M,I
65.0,C,m,V+
66.5,C,m,I
68.0,B♭,M,V7
69.5,B♭,M,I
70.0,E,M,V
70.5,E,M,I
71.0,F,M,V
71.5,F,M,I
72.0,E♭,M,V
74.0,E♭,M,V
75.5,E♭,M,I
77.0,E♭,M,III
78.5,F,m,V+
81.5,F,m,IV
83.0,F,m,I
84.5,F,m,IV+
86.0,C,m,V+7
89.0,Bb,M,DimVII7
90.5,E♭,M,V
93.5,E♭,M,I
96.5,E♭,M,V
99.5,Bb,M,V
102.5,Eb,M,IV
105.5,Eb,M,I
108.5,F,m,DimVII7
110.0,F,m,V
111.5,F,m,I
113.0,F,m,II
114.5,B♭,M,II
116.0,B♭,M,V
117.5,B♭,M,I
118.0,E,M,V
118.5,E,M,I
119.0,F,M,V
119.5,F,M,I
120.0,E♭,M,V
122.0,E♭,M,V
123.5,E♭,M,I
125.0,E♭,M,III
126.5,F,m,V+
131.0,F,m,I
135.5,F,m,I
137.0,Bb,M,DimVII7
138.5,Eb,M,V
144.5,Eb,m,IV
147.5,Eb,m,I+
150.5,Eb,m,IV+
156.5,Eb,m,V+7
159.5,Eb,m,I+
162.5,E♭,M,V7
165.5,E♭,M,I
168.5,Eb,m,IV
171.5,Eb,m,I+
174.5,Eb,m,IV
179.0,Bb,M,V
180.5,Bb,M,I
182.0,C,m,V+7
183.5,C,m,I+
185.0,Bb,M,V
186.5,Eb,M,V
209.5,Eb,M,I
