offset,tonic,key,numeral
0.5,F#,M,V7
2.5,F#,M,I
4.5,F#,M,V7
6.5,F#,M,I
8.5,G#,m,V+
10.5,G#,m,I
11.5,F#,M,II
12.5,F#,M,I
13.0,F#,M,IV
13.5,F#,M,V
2321/160,F#,M,VI
2481/160,F#,M,V
2561/160,F#,M,I
2681/160,F#,M,V
3061/160,F#,M,I
3381/160,F#,M,V
4001/160,F#,M,I
4321/160,G#,m,V+
4641/160,G#,m,I
4961/160,F#,M,I
5041/160,F#,M,IV
5121/160,F#,M,V
2641/80,F#,M,I
2801/80,F#,m,V+
2961/80,F#,m,I
3281/80,F#,m,GerVI
2581/60,F#,m,IV+
2701/60,A#,M,I
3061/60,F#,M,V
8141/120,F,M,DimVII7
8261/120,A,M,V
4873/60,F#,m,V+7
4933/60,F#,m,I
4993/60,F#,m,V+7
5053/60,F#,m,VI
5113/60,F#,m,V
5173/60,F#,m,II
5353/60,F#,m,V+
5533/60,F#,m,I
1871/20,F#,m,V+
12191/120,F#,M,V
12431/120,F#,M,I
12671/120,F#,M,V
12911/120,F#,M,I
13151/120,G#,m,V+
13391/120,G#,m,I
13571/120,F#,M,II
13631/120,F#,M,V
13691/120,F#,M,IV
13751/120,F#,M,V
5549/48,F#,M,I
55967/480,F#,M,V
5645/48,F#,M,VI
5693/48,F#,M,V
5741/48,F#,M,I
