offset,tonic,key,chord
0.0,F#,M,I
9.0,F#,M,V
12.0,F#,M,I
21.0,F#,M,III
22.0,F#,M,V
24.0,F#,M,I
30.0,F#,M,VI
33.0,C#,M,I
36.0,C#,M,V
39.0,C#,M,I
48.0,F#,M,I
57.0,F#,M,V7
60.0,F#,M,I
69.0,F#,M,II
70.0,F#,M,V
72.0,B,M,V7
87.0,B,M,VI
90.0,G#,m,V+7
93.0,G#,m,I
96.0,F#,M,V
102.0,F#,M,I
105.0,F#,M,IV
108.0,F#,M,V
111.0,F#,M,I
113.0,F#,M,V
114.0,F#,M,I
120.0,F#,M,VI
126.0,F#,M,V
132.0,B,M,II
137.0,B,M,V
138.0,B,M,I
146.0,B,M,V
147.0,B,M,I
155.0,B,M,V
156.0,B,M,III
158.0,C#,M,V
159.0,F#,M,V
162.0,F#,M,I
168.0,B,M,V7
180.0,B,M,I
186.0,G#,m,V+
189.0,G#,m,I
192.0,F#,M,V
198.0,F#,M,I
201.0,F#,M,II
204.0,F#,M,V
210.0,F#,M,I
