offset,tonic,key,numeral
1.0,Eb,M,I
5.0,Eb,M,V
7.0,Eb,M,I
8.0,Eb,M,V
10.0,Eb,M,I
11.0,Eb,M,V
13.0,Eb,M,I
14.0,Eb,M,V
14.5,Eb,M,I
15.0,Eb,M,IV
16.0,G,m,DimVII7
17.0,Eb,M,I
17.5,Eb,M,GerVI
18.0,G,m,DimVII7
19.0,C,m,I
20.0,C,m,V+7
22.0,C,m,V
23.0,Eb,M,V7
26.0,Eb,M,II
29.0,Eb,M,I
31.0,Eb,M,IV
34.0,Eb,M,V
37.0,Eb,M,I
45.0,Eb,M,V
46.0,Eb,M,I
49.0,Eb,M,VI
52.0,Eb,M,II
55.0,Eb,M,V
58.0,Eb,M,I
61.0,Eb,M,IV
75.375,Eb,M,V
77.375,F,M,V
78.375,F,M,I
80.375,Eb,M,V
81.375,Eb,M,I
83.375,D,M,V
86.375,D,M,I
86.375,C,M,V
91.375,Bb,M,V
94.375,Bb,M,I
96.375,G,M,V
99.375,G,M,I
103.375,Eb,M,I
104.375,Eb,M,V
105.375,Eb,M,I
109.375,Eb,M,V
111.375,Eb,M,I
112.375,Eb,M,V
114.375,Eb,M,I
115.375,Eb,M,V
117.375,Eb,M,I
118.375,Eb,M,V
118.875,Eb,M,I
119.375,Eb,M,IV
120.375,Eb,M,GerVI
121.375,Eb,M,I
121.875,Eb,M,GerVI
122.375,C,m,GerVI
123.375,C,m,I
124.375,C,m,V+
126.375,C,m,V
127.375,Eb,M,V
130.375,Eb,M,II
132.375,Eb,M,VII
133.375,Eb,M,I
135.375,Eb,M,IV
137.375,Eb,M,I
138.375,Eb,M,V
141.375,Eb,M,I
146.375,Eb,M,VI
147.375,Eb,M,V
148.375,Eb,M,I
149.375,Eb,M,V
150.375,Eb,M,I
153.375,Eb,m,I
157.375,Eb,m,V+7
158.375,Eb,m,I
160.375,Eb,m,V+7
161.375,Eb,m,I
162.375,Eb,m,V+
165.375,Gb,M,IV
167.375,Gb,M,V
168.375,Gb,M,I
170.375,Gb,M,V
171.375,Gb,M,I
172.375,Gb,M,V
173.375,Bb,M,DimVII7
174.375,E,m,V+
177.375,E,m,I
181.375,E,m,V+7
182.375,E,m,I
184.375,E,m,V+
185.375,E,m,I
186.375,E,m,V+
189.375,E,m,I
197.375,E,m,V+7
198.375,E,m,I
201.375,Gb,M,I
204.375,Gb,M,V
207.375,Gb,M,I
210.375,Eb,m,V+7
213.375,Eb,m,I
215.375,Eb,m,VI
216.375,Eb,m,III
219.375,Eb,m,I
221.375,Eb,m,GerVI
222.375,Eb,m,V+
225.375,Eb,m,I
227.375,Eb,m,GerVI
228.375,Eb,m,I
230.375,Eb,m,V+7
231.375,Eb,m,I
233.375,Eb,m,GerVI
234.375,Eb,m,I
236.375,Eb,m,V+7
237.375,Eb,m,I
240.375,Eb,m,IV
242.375,Eb,m,V+
243.375,Eb,m,I
245.375,Eb,m,V+7
246.375,Eb,m,I
