offset,tonic,key,chord
22.0,A,m,V+
39.0,A,m,I
42.0,A,m,V+
45.0,A,m,I
51.0,A,m,V+7
57.0,A,m,VI
60.0,A,m,I+
63.0,A,m,IV
69.0,A,m,V+
72.0,A,m,I
18721/240,A,m,II
19441/240,A,m,VI
20161/240,A,m,I+
25201/240,A,m,I
25921/240,A,m,VII
26641/240,A,m,III
27361/240,A,m,VII
28081/240,A,m,III
28801/240,A,m,V+7
29521/240,A,m,I
30241/240,A,m,V+
30961/240,A,m,I
31441/240,A,m,IV
31681/240,A,m,VII
32401/240,A,m,III
33121/240,A,m,VII
33841/240,A,m,III
34321/240,A,m,I
34561/240,A,m,V+7
35281/240,A,m,IV
35521/240,A,m,I
36001/240,A,m,V+
36721/240,A,m,IV
37441/240,A,M,I
38161/240,A,M,II
39601/240,A,M,VI
40321/240,A,M,V
41041/240,F#,m,V+7
41521/240,A,M,I
42481/240,A,M,V
43201/240,A,M,I
43921/240,A,M,II
45361/240,A,M,♭VI
46081/240,A,M,I
47521/240,A,M,V
48241/240,A,M,I
48961/240,A,m,I
49681/240,A,m,♭II
51121/240,A,m,VI
51841/240,A,m,V+
52561/240,A,m,I
54001/240,A,m,V+
54721/240,A,m,I
55441/240,A,m,♭II
56881/240,A,m,VI
57601/240,A,m,I
59041/240,A,m,V+7
59761/240,A,m,I
61201/240,A,m,V+7
61921/240,A,m,DimVII7
62641/240,A,m,VI
63361/240,A,m,I+
64081/240,A,m,IV
65521/240,A,m,V+
66241/240,A,m,I
34201/120,A,m,VI
37081/120,A,m,I
37441/120,A,m,VII
37801/120,A,m,III
38161/120,A,m,VII
38521/120,A,m,III
38881/120,A,m,V+
39241/120,A,m,I
39601/120,A,m,V+
39961/120,A,m,I
40201/120,A,m,IV
40321/120,A,m,VII
40681/120,A,m,III
41041/120,A,m,VII
41401/120,A,m,III
41761/120,A,m,V+
42121/120,A,m,I
42481/120,A,m,V+
42841/120,A,m,II
43201/120,A,M,I
43561/120,A,M,IV
43801/120,A,M,II
44281/120,A,M,VI
44641/120,A,M,V
45001/120,A,M,III
45241/120,A,M,VI
45721/120,A,M,V
46081/120,A,M,I
46441/120,A,M,II
47161/120,A,M,♭VI
47521/120,A,M,I
48241/120,A,M,V
48601/120,A,M,I
48961/120,A,m,I
49321/120,A,m,♭II
50041/120,A,m,VI
50401/120,A,m,V+
50761/120,A,m,I
51481/120,A,m,V+
51841/120,A,m,I
52201/120,A,m,♭II
52921/120,A,m,GerVI
53281/120,A,m,I
54001/120,A,m,V+
54361/120,A,m,I
56161/120,A,m,I
56641/120,E,m,V+7
56881/120,A,m,V+7
59041/120,A,m,I
60121/120,A,m,I
60841/120,A,m,III
61201/120,A,m,VII
61561/120,A,m,III
61921/120,A,m,V+
62281/120,A,m,I
62641/120,E,M,V
63361/120,E,M,I
64081/120,E,M,V
64801/120,E,M,I
65161/120,E,M,III
65521/120,E,M,V
66241/120,E,M,I
67681/120,A,m,I
68041/120,A,m,II
68401/120,A,m,I
68761/120,A,m,II
69121/120,A,m,I
71281/120,A,m,I
71641/120,A,m,II
72001/120,A,m,I
72481/120,E,m,V+7
72721/120,E,m,V+
73081/120,E,m,I
